Time frequency,Unit of measure,Sex,n_hprob,diagnose,geo\TIME_PERIOD,1999.0
Annual,Number,Females,1.0,CARDIO_V,EU_V,45958.0
Annual,Number,Females,1.0,HEAD_EYE,EU_V,71142.0
Annual,Number,Females,1.0,HEARING,EU_V,19025.0
Annual,Number,Females,1.0,INFECTIO,EU_V,48982.0
Annual,Number,Females,1.0,MUSC_SKE,EU_V,1053827.0
Annual,Number,Females,1.0,OTHER,EU_V,107287.0
Annual,Number,Females,1.0,PULMONAR,EU_V,113536.0
Annual,Number,Females,1.0,SKIN_DIS,EU_V,53507.0
Annual,Number,Females,1.0,STRESS,EU_V,380653.0
Annual,Number,Females,1.0,TOTAL,EU_V,2376753.0
Annual,Number,Females,1.0,UNK,EU_V,482835.0
Annual,Number,Females,2.0,CARDIO_V,EU_V,8740.0
Annual,Number,Females,2.0,HEAD_EYE,EU_V,6608.0
Annual,Number,Females,2.0,HEARING,EU_V,2283.0
Annual,Number,Females,2.0,INFECTIO,EU_V,6992.0
Annual,Number,Females,2.0,MUSC_SKE,EU_V,101535.0
Annual,Number,Females,2.0,OTHER,EU_V,8560.0
Annual,Number,Females,2.0,PULMONAR,EU_V,18618.0
Annual,Number,Females,2.0,SKIN_DIS,EU_V,2691.0
Annual,Number,Females,2.0,STRESS,EU_V,39493.0
Annual,Number,Females,2.0,TOTAL,EU_V,209475.0
Annual,Number,Females,2.0,UNK,EU_V,13955.0
Annual,Number,Females,3.0,CARDIO_V,EU_V,1714.0
Annual,Number,Females,3.0,HEAD_EYE,EU_V,2339.0
Annual,Number,Females,3.0,HEARING,EU_V,0.0
Annual,Number,Females,3.0,INFECTIO,EU_V,2823.0
Annual,Number,Females,3.0,MUSC_SKE,EU_V,20871.0
Annual,Number,Females,3.0,OTHER,EU_V,3454.0
Annual,Number,Females,3.0,PULMONAR,EU_V,7664.0
Annual,Number,Females,3.0,SKIN_DIS,EU_V,496.0
Annual,Number,Females,3.0,STRESS,EU_V,9343.0
Annual,Number,Females,3.0,TOTAL,EU_V,53409.0
Annual,Number,Females,3.0,UNK,EU_V,4706.0
Annual,Number,Females,4.0,CARDIO_V,EU_V,661.0
Annual,Number,Females,4.0,HEAD_EYE,EU_V,1133.0
Annual,Number,Females,4.0,HEARING,EU_V,506.0
Annual,Number,Females,4.0,INFECTIO,EU_V,1715.0
Annual,Number,Females,4.0,MUSC_SKE,EU_V,6742.0
Annual,Number,Females,4.0,OTHER,EU_V,774.0
Annual,Number,Females,4.0,PULMONAR,EU_V,3039.0
Annual,Number,Females,4.0,SKIN_DIS,EU_V,884.0
Annual,Number,Females,4.0,STRESS,EU_V,4628.0
Annual,Number,Females,4.0,TOTAL,EU_V,20111.0
Annual,Number,Females,4.0,UNK,EU_V,30.0
Annual,Number,Females,GE5,CARDIO_V,EU_V,777.0
Annual,Number,Females,GE5,HEAD_EYE,EU_V,4518.0
Annual,Number,Females,GE5,HEARING,EU_V,0.0
Annual,Number,Females,GE5,INFECTIO,EU_V,632.0
Annual,Number,Females,GE5,MUSC_SKE,EU_V,13051.0
Annual,Number,Females,GE5,OTHER,EU_V,2158.0
Annual,Number,Females,GE5,PULMONAR,EU_V,773.0
Annual,Number,Females,GE5,SKIN_DIS,EU_V,697.0
