Time frequency,Unit of measure,Sex,Severity (days lost),Working time,Geopolitical entity (reporting)\Time,1999.0
Annual,Rate,Females,14 days or over,From 10 to 19 hours,European Union (aggregate changing according to the context),103.0
Annual,Rate,Females,14 days or over,From 20 to 29 hours,European Union (aggregate changing according to the context),73.0
Annual,Rate,Females,14 days or over,From 30 to 39 hours,European Union (aggregate changing according to the context),63.0
Annual,Rate,Females,14 days or over,From 40 to 49 hours,European Union (aggregate changing according to the context),78.0
Annual,Rate,Females,14 days or over,50 hours or over,European Union (aggregate changing according to the context),53.0
Annual,Rate,Females,14 days or over,Total,European Union (aggregate changing according to the context),75.0
Annual,Rate,Females,4 days or over,From 10 to 19 hours,European Union (aggregate changing according to the context),93.0
Annual,Rate,Females,4 days or over,From 20 to 29 hours,European Union (aggregate changing according to the context),76.0
Annual,Rate,Females,4 days or over,From 30 to 39 hours,European Union (aggregate changing according to the context),69.0
Annual,Rate,Females,4 days or over,From 40 to 49 hours,European Union (aggregate changing according to the context),69.0
Annual,Rate,Females,4 days or over,50 hours or over,European Union (aggregate changing according to the context),51.0
Annual,Rate,Females,4 days or over,Total,European Union (aggregate changing according to the context),71.0
Annual,Rate,Females,Total,From 1 to 9 hours,European Union (aggregate changing according to the context),238.0
Annual,Rate,Females,Total,From 10 to 19 hours,European Union (aggregate changing according to the context),126.0
Annual,Rate,Females,Total,From 20 to 29 hours,European Union (aggregate changing according to the context),85.0
Annual,Rate,Females,Total,From 30 to 39 hours,European Union (aggregate changing according to the context),70.0
Annual,Rate,Females,Total,From 40 to 49 hours,European Union (aggregate changing according to the context),83.0
Annual,Rate,Females,Total,50 hours or over,European Union (aggregate changing according to the context),59.0
Annual,Rate,Females,Total,Total,European Union (aggregate changing according to the context),83.0
Annual,Rate,Males,14 days or over,From 10 to 19 hours,European Union (aggregate changing according to the context),116.0
Annual,Rate,Males,14 days or over,From 20 to 29 hours,European Union (aggregate changing according to the context),159.0
Annual,Rate,Males,14 days or over,From 30 to 39 hours,European Union (aggregate changing according to the context),106.0
Annual,Rate,Males,14 days or over,From 40 to 49 hours,European Union (aggregate changing according to the context),133.0
Annual,Rate,Males,14 days or over,50 hours or over,European Union (aggregate changing according to the context),61.0
Annual,Rate,Males,14 days or over,Total,European Union (aggregate changing according to the context),120.0
Annual,Rate,Males,4 days or over,From 10 to 19 hours,European Union (aggregate changing according to the context),132.0
Annual,Rate,Males,4 days or over,From 20 to 29 hours,European Union (aggregate changing according to the context),132.0
Annual,Rate,Males,4 days or over,From 30 to 39 hours,European Union (aggregate changing according to the context),100.0
Annual,Rate,Males,4 days or over,From 40 to 49 hours,European Union (aggregate changing according to the context),140.0
Annual,Rate,Males,4 days or over,50 hours or over,European Union (aggregate changing according to the context),65.0
Annual,Rate,Males,4 days or over,Total,European Union (aggregate changing according to the context),123.0
Annual,Rate,Males,Total,From 1 to 9 hours,European Union (aggregate changing according to the context),331.0
Annual,Rate,Males,Total,From 10 to 19 hours,European Union (aggregate changing according to the context),184.0
Annual,Rate,Males,Total,From 20 to 29 hours,European Union (aggregate changing according to the context),136.0
Annual,Rate,Males,Total,From 30 to 39 hours,European Union (aggregate changing according to the context),83.0
Annual,Rate,Males,Total,From 40 to 49 hours,European Union (aggregate changing according to the context),133.0
Annual,Rate,Males,Total,50 hours or over,European Union (aggregate changing according to the context),50.0
Annual,Rate,Males,Total,Total,European Union (aggregate changing according to the context),113.0
Annual,Rate,Total,14 days or over,From 10 to 19 hours,European Union (aggregate changing according to the context),105.0
Annual,Rate,Total,14 days or over,From 20 to 29 hours,European Union (aggregate changing according to the context),85.0
Annual,Rate,Total,14 days or over,From 30 to 39 hours,European Union (aggregate changing according to the context),86.0
Annual,Rate,Total,14 days or over,From 40 to 49 hours,European Union (aggregate changing according to the context),112.0
Annual,Rate,Total,14 days or over,50 hours or over,European Union (aggregate changing according to the context),59.0
Annual,Rate,Total,14 days or over,Total,European Union (aggregate changing according to the context),100.0
Annual,Rate,Total,4 days or over,From 10 to 19 hours,European Union (aggregate changing according to the context),99.0
Annual,Rate,Total,4 days or over,From 20 to 29 hours,European Union (aggregate changing according to the context),84.0
Annual,Rate,Total,4 days or over,From 30 to 39 hours,European Union (aggregate changing according to the context),86.0
Annual,Rate,Total,4 days or over,From 40 to 49 hours,European Union (aggregate changing according to the context),112.0
Annual,Rate,Total,4 days or over,50 hours or over,European Union (aggregate changing according to the context),62.0
Annual,Rate,Total,4 days or over,Total,European Union (aggregate changing according to the context),100.0
Annual,Rate,Total,Total,From 1 to 9 hours,European Union (aggregate changing according to the context),260.0
Annual,Rate,Total,Total,From 10 to 19 hours,European Union (aggregate changing according to the context),135.0
Annual,Rate,Total,Total,From 20 to 29 hours,European Union (aggregate changing according to the context),92.0
Annual,Rate,Total,Total,From 30 to 39 hours,European Union (aggregate changing according to the context),77.0
Annual,Rate,Total,Total,From 40 to 49 hours,European Union (aggregate changing according to the context),114.0
Annual,Rate,Total,Total,50 hours or over,European Union (aggregate changing according to the context),52.0
Annual,Rate,Total,Total,Total,European Union (aggregate changing according to the context),100.0
