Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Unknown,Percentage of households,Austria,: u,: u,: u
Annual,Unknown,Percentage of households,Belgium,: u,: u,: u
Annual,Unknown,Percentage of households,Bulgaria,:,: u,: u
Annual,Unknown,Percentage of households,Cyprus,: u,: u,: u
Annual,Unknown,Percentage of households,Czechia,: u,: u,: u
Annual,Unknown,Percentage of households,Germany,: u,: u,: u
Annual,Unknown,Percentage of households,Denmark,: u,: u,: u
Annual,Unknown,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,: u,: u
Annual,Unknown,Percentage of households,Euro area – 20 countries (from 2023),:,: u,: u
Annual,Unknown,Percentage of households,Estonia,: u,: u,: u
Annual,Unknown,Percentage of households,Greece,: u,: u,: u
Annual,Unknown,Percentage of households,Spain,: u,: u,: u
Annual,Unknown,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,: u,: u
Annual,Unknown,Percentage of households,European Union - 27 countries (from 2020),:,: u,: u
Annual,Unknown,Percentage of households,Finland,: u,: u,:
Annual,Unknown,Percentage of households,France,: u,: u,: u
Annual,Unknown,Percentage of households,Croatia,: u,: u,: u
Annual,Unknown,Percentage of households,Hungary,: u,: u,: u
Annual,Unknown,Percentage of households,Ireland,: u,: u,:
Annual,Unknown,Percentage of households,Italy,: u,:,:
Annual,Unknown,Percentage of households,Lithuania,: u,: u,: u
Annual,Unknown,Percentage of households,Luxembourg,: u,: u,: u
Annual,Unknown,Percentage of households,Latvia,: u,: u,: u
Annual,Unknown,Percentage of households,Malta,: u,: u,: u
Annual,Unknown,Percentage of households,Netherlands,:,: u,: u
Annual,Unknown,Percentage of households,Poland,: u,: u,: u
Annual,Unknown,Percentage of households,Portugal,: u,: u,:
Annual,Unknown,Percentage of households,Romania,: u,: u,: u
Annual,Unknown,Percentage of households,Sweden,: u,: u,:
Annual,Unknown,Percentage of households,Slovenia,: u,: u,: u
Annual,Unknown,Percentage of households,Slovakia,: u,: u,: u
Annual,Unknown,Percentage of households,United Kingdom,: u,: u,:
Annual,From 30 to 39 years,Percentage of households,Austria,14.4,14.2,16.8 i
Annual,From 30 to 39 years,Percentage of households,Belgium,17.6,17.4,16.4 i
Annual,From 30 to 39 years,Percentage of households,Bulgaria,:,13.1,12.6 i
Annual,From 30 to 39 years,Percentage of households,Cyprus,19.2,20.8,20.1 i
Annual,From 30 to 39 years,Percentage of households,Czechia,18.7,16.4,15.2 i
Annual,From 30 to 39 years,Percentage of households,Germany,15.4,15.1 i,15.9 i
Annual,From 30 to 39 years,Percentage of households,Denmark,18.5,13.0,13.9 i
Annual,From 30 to 39 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,15.3 i,14.8 i
Annual,From 30 to 39 years,Percentage of households,Euro area – 20 countries (from 2023),:,15.3 i,14.8 i
Annual,From 30 to 39 years,Percentage of households,Estonia,16.8,17.7 i,17.5 i
Annual,From 30 to 39 years,Percentage of households,Greece,15.6,12.8,9.6 i
Annual,From 30 to 39 years,Percentage of households,Spain,19.4,16.2,13.1 i
Annual,From 30 to 39 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,15.4 i,14.7 i
Annual,From 30 to 39 years,Percentage of households,European Union - 27 countries (from 2020),:,15.7 i,14.7 i
Annual,From 30 to 39 years,Percentage of households,Finland,15.0,15.9,:
Annual,From 30 to 39 years,Percentage of households,France,16.1,14.8,14.2 i
Annual,From 30 to 39 years,Percentage of households,Croatia,12.3,12.9,11.3 i
Annual,From 30 to 39 years,Percentage of households,Hungary,15.8,13.6,11.5 i
Annual,From 30 to 39 years,Percentage of households,Ireland,21.2,18.8,:
Annual,From 30 to 39 years,Percentage of households,Italy,14.2,:,:
Annual,From 30 to 39 years,Percentage of households,Lithuania,15.6,14.8,15.5 i
Annual,From 30 to 39 years,Percentage of households,Luxembourg,19.8,18.5,22 i
Annual,From 30 to 39 years,Percentage of households,Latvia,14.0,14.7,14.7 i
Annual,From 30 to 39 years,Percentage of households,Malta,15.4,16.3,17.9 i
Annual,From 30 to 39 years,Percentage of households,Netherlands,:,15.7,15.6 i
Annual,From 30 to 39 years,Percentage of households,Poland,18.1,17.8,16.6 i
Annual,From 30 to 39 years,Percentage of households,Portugal,17.1,13.6,:
Annual,From 30 to 39 years,Percentage of households,Romania,18.0,15.3,12.8 i
Annual,From 30 to 39 years,Percentage of households,Sweden,16.6,15.7,:
Annual,From 30 to 39 years,Percentage of households,Slovenia,17.4,15.9,14.9 i
