Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,First quintile,Percentage of disposable income,Austria,162.7 i,138.2 i,129.8 i
Annual,First quintile,Percentage of disposable income,Belgium,140.4 i,124.7 i,118.9 i
Annual,First quintile,Percentage of disposable income,Bulgaria,102.9 e,124.6 i,113.9 i
Annual,First quintile,Percentage of disposable income,Cyprus,114.7 i,111.4 i,89.3 i
Annual,First quintile,Percentage of disposable income,Czechia,92.6 e,92.5 i,108.1 i
Annual,First quintile,Percentage of disposable income,Germany,127.4 i,150 i,143.4 i
Annual,First quintile,Percentage of disposable income,Denmark,207.7 i,130.3 i,117.5 i
Annual,First quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,135 i,131.6 i
Annual,First quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,135.3 i,131.4 i
Annual,First quintile,Percentage of disposable income,Estonia,107 i,110.2 i,108.3 i
Annual,First quintile,Percentage of disposable income,Greece,180.3 i,212.3 i,168 i
Annual,First quintile,Percentage of disposable income,Spain,160.1 i,141.2 i,129.3 i
Annual,First quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,138.9 i,130.4 i
Annual,First quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,134.6 i,130.4 i
Annual,First quintile,Percentage of disposable income,Finland,110 i,113.8 i,:
Annual,First quintile,Percentage of disposable income,France,107.7 i,100.5 i,114.1 i
Annual,First quintile,Percentage of disposable income,Croatia,174.9 i,163 i,121 i
Annual,First quintile,Percentage of disposable income,Hungary,121.8 i,123.8 i,113.4 i
Annual,First quintile,Percentage of disposable income,Ireland,144.1 i,124.1 i,:
Annual,First quintile,Percentage of disposable income,Lithuania,160.8 i,140.8 i,110.7 i
Annual,First quintile,Percentage of disposable income,Luxembourg,110.5 i,116.4 i,112.9 i
Annual,First quintile,Percentage of disposable income,Latvia,168.1 i,131.1 i,114 i
Annual,First quintile,Percentage of disposable income,Malta,148 i,133 i,136.2 i
Annual,First quintile,Percentage of disposable income,Netherlands,:,149.8 i,148.2 i
Annual,First quintile,Percentage of disposable income,Poland,122.3 i,120.1 i,104.1 i
Annual,First quintile,Percentage of disposable income,Portugal,142.7 i,133.3 i,:
Annual,First quintile,Percentage of disposable income,Romania,167.8 i,180 i,195.4 i
