Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Cities,Percentage of disposable income,Austria,101.1 i,81.1 i,80.7 i
Annual,Cities,Percentage of disposable income,Belgium,89.7 i,85.9 i,71.6 i
Annual,Cities,Percentage of disposable income,Bulgaria,50.5 e,70 i,52 i
Annual,Cities,Percentage of disposable income,Cyprus,92.1 i,84.2 i,74.8 i
Annual,Cities,Percentage of disposable income,Czechia,69.6 e,68.4 i,73.2 i
Annual,Cities,Percentage of disposable income,Germany,84.3 i,86.4 i,81.7 i
Annual,Cities,Percentage of disposable income,Denmark,96.1 i,74.4 i,67.1 i
Annual,Cities,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,78.7 i,73.7 i
Annual,Cities,Percentage of disposable income,Euro area – 20 countries (from 2023),:,78.8 i,73.8 i
Annual,Cities,Percentage of disposable income,Estonia,68.3 i,65.1 i,55.8 i
Annual,Cities,Percentage of disposable income,Greece,122.3 i,104.5 i,89.6 i
Annual,Cities,Percentage of disposable income,Spain,79.9 i,77.8 i,64.8 i
Annual,Cities,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.3 i,71.7 i
Annual,Cities,Percentage of disposable income,European Union - 27 countries (from 2020),:,77.9 i,71.7 i
Annual,Cities,Percentage of disposable income,Finland,77.4 i,81.2 i,:
Annual,Cities,Percentage of disposable income,France,70.1 i,65.9 i,68 i
Annual,Cities,Percentage of disposable income,Croatia,86.8 i,93.7 i,83.1 i
Annual,Cities,Percentage of disposable income,Hungary,81.1 i,84.8 i,78.3 i
Annual,Cities,Percentage of disposable income,Ireland,76.2 i,67.5 i,:
Annual,Cities,Percentage of disposable income,Italy,73.2 i,:,:
Annual,Cities,Percentage of disposable income,Lithuania,65.3 i,57.2 i,50.5 i
Annual,Cities,Percentage of disposable income,Luxembourg,75.4 i,60.8 i,62.3 i
Annual,Cities,Percentage of disposable income,Latvia,94 i,73.8 i,74.7 i
Annual,Cities,Percentage of disposable income,Malta,93.6 i,86 i,79.2 i
Annual,Cities,Percentage of disposable income,Netherlands,:,81.6 i,75.6 i
Annual,Cities,Percentage of disposable income,Poland,72.6 i,69.3 i,50.6 i
Annual,Cities,Percentage of disposable income,Portugal,88.1 i,85.2 i,:
Annual,Cities,Percentage of disposable income,Romania,:,87.9 i,84.5 i
Annual,Cities,Percentage of disposable income,Sweden,83.5 i,73.3 i,:
Annual,Cities,Percentage of disposable income,Slovenia,87.5 i,83.8 i,83.8 i
Annual,Cities,Percentage of disposable income,Slovakia,68 i,75.5 i,72.7 i
Annual,Cities,Percentage of disposable income,United Kingdom,77 e,84.9 i,:
Annual,Towns and suburbs,Percentage of disposable income,Austria,87.9 i,81.8 i,77.7 i
Annual,Towns and suburbs,Percentage of disposable income,Belgium,89.2 i,84.3 i,64.8 i
Annual,Towns and suburbs,Percentage of disposable income,Bulgaria,53.6 e,70.5 i,63.7 i
Annual,Towns and suburbs,Percentage of disposable income,Cyprus,104.9 i,97.7 i,81.8 i
Annual,Towns and suburbs,Percentage of disposable income,Czechia,67.5 e,67.9 i,70 i
Annual,Towns and suburbs,Percentage of disposable income,Germany,78.9 i,78.4 i,77.2 i
Annual,Towns and suburbs,Percentage of disposable income,Denmark,99.8 i,65 i,62.1 i
Annual,Towns and suburbs,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,79.2 i,74.4 i
Annual,Towns and suburbs,Percentage of disposable income,Euro area – 20 countries (from 2023),:,79.3 i,74.4 i
Annual,Towns and suburbs,Percentage of disposable income,Estonia,58.7 i,81.3 i,72.9 i
Annual,Towns and suburbs,Percentage of disposable income,Greece,116 i,113.9 i,91.3 i
Annual,Towns and suburbs,Percentage of disposable income,Spain,89.5 i,79.6 i,74.1 i
Annual,Towns and suburbs,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.9 i,72.6 i
Annual,Towns and suburbs,Percentage of disposable income,European Union - 27 countries (from 2020),:,78 i,72.6 i
Annual,Towns and suburbs,Percentage of disposable income,Finland,80.9 i,80.7 i,:
Annual,Towns and suburbs,Percentage of disposable income,France,64.3 i,70.7 i,71.5 i
Annual,Towns and suburbs,Percentage of disposable income,Croatia,94.6 i,92.3 i,75.4 i
Annual,Towns and suburbs,Percentage of disposable income,Hungary,83.4 i,84 i,77.2 i
Annual,Towns and suburbs,Percentage of disposable income,Ireland,82.8 i,74.2 i,:
Annual,Towns and suburbs,Percentage of disposable income,Italy,79.8 i,:,:
Annual,Towns and suburbs,Percentage of disposable income,Lithuania,:,69.5 i,60.3 i
Annual,Towns and suburbs,Percentage of disposable income,Luxembourg,71.5 i,92.6 i,69 i
Annual,Towns and suburbs,Percentage of disposable income,Latvia,: u,77.5 i,71.6 i
Annual,Towns and suburbs,Percentage of disposable income,Malta,84.1 i,75.7 i,58.9 i
Annual,Towns and suburbs,Percentage of disposable income,Netherlands,:,77.3 i,69.9 i
Annual,Towns and suburbs,Percentage of disposable income,Poland,71.5 i,65.2 i,48.1 i
Annual,Towns and suburbs,Percentage of disposable income,Portugal,99.7 i,83.4 i,:
Annual,Towns and suburbs,Percentage of disposable income,Romania,:,89.9 i,86.2 i
