Time frequency,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,One adult with dependent children,Percentage,Austria,16.2
Annual,One adult with dependent children,Percentage,Belgium,28.6
Annual,One adult with dependent children,Percentage,Bulgaria,43.4
Annual,One adult with dependent children,Percentage,Switzerland,14.5
Annual,One adult with dependent children,Percentage,Cyprus,41.7
Annual,One adult with dependent children,Percentage,Czechia,19.5
Annual,One adult with dependent children,Percentage,Germany,13.4
Annual,One adult with dependent children,Percentage,Denmark,12.6
Annual,One adult with dependent children,Percentage,Estonia,12.3
Annual,One adult with dependent children,Percentage,Greece,44.1
Annual,One adult with dependent children,Percentage,Spain,35.2
Annual,One adult with dependent children,Percentage,European Union - 27 countries (from 2020),22.8
Annual,One adult with dependent children,Percentage,Finland,10.8
Annual,One adult with dependent children,Percentage,France,28.0
Annual,One adult with dependent children,Percentage,Croatia,22.1
Annual,One adult with dependent children,Percentage,Hungary,40.2
Annual,One adult with dependent children,Percentage,Ireland,45.0
Annual,One adult with dependent children,Percentage,Italy,14.8
Annual,One adult with dependent children,Percentage,Lithuania,32.3
Annual,One adult with dependent children,Percentage,Luxembourg,8.6
Annual,One adult with dependent children,Percentage,Latvia,20.5
Annual,One adult with dependent children,Percentage,Malta,27.3
Annual,One adult with dependent children,Percentage,Netherlands,20.5
Annual,One adult with dependent children,Percentage,Poland,22.2
Annual,One adult with dependent children,Percentage,Portugal,21.3
Annual,One adult with dependent children,Percentage,Romania,66.6
Annual,One adult with dependent children,Percentage,Sweden,4.8
Annual,One adult with dependent children,Percentage,Slovenia,5.6
Annual,One adult with dependent children,Percentage,Slovakia,21.9
Annual,Two adults with dependent children,Percentage,Austria,7.0
Annual,Two adults with dependent children,Percentage,Belgium,9.2
Annual,Two adults with dependent children,Percentage,Bulgaria,30.7
Annual,Two adults with dependent children,Percentage,Switzerland,5.0
Annual,Two adults with dependent children,Percentage,Cyprus,20.6
Annual,Two adults with dependent children,Percentage,Czechia,5.4
Annual,Two adults with dependent children,Percentage,Germany,4.7
Annual,Two adults with dependent children,Percentage,Denmark,3.3
Annual,Two adults with dependent children,Percentage,Estonia,1.8
Annual,Two adults with dependent children,Percentage,Greece,31.8
Annual,Two adults with dependent children,Percentage,Spain,16.4
Annual,Two adults with dependent children,Percentage,European Union - 27 countries (from 2020),10.5
Annual,Two adults with dependent children,Percentage,Finland,2.3
Annual,Two adults with dependent children,Percentage,France,9.2
Annual,Two adults with dependent children,Percentage,Croatia,5.0
Annual,Two adults with dependent children,Percentage,Hungary,21.4
Annual,Two adults with dependent children,Percentage,Ireland,7.4
Annual,Two adults with dependent children,Percentage,Italy,12.2
Annual,Two adults with dependent children,Percentage,Lithuania,4.8
Annual,Two adults with dependent children,Percentage,Luxembourg,7.6
Annual,Two adults with dependent children,Percentage,Latvia,7.3
Annual,Two adults with dependent children,Percentage,Malta,7.9
Annual,Two adults with dependent children,Percentage,Netherlands,3.6
Annual,Two adults with dependent children,Percentage,Poland,3.9
Annual,Two adults with dependent children,Percentage,Portugal,9.6
Annual,Two adults with dependent children,Percentage,Romania,37.7
Annual,Two adults with dependent children,Percentage,Sweden,3.2
Annual,Two adults with dependent children,Percentage,Slovenia,2.8
Annual,Two adults with dependent children,Percentage,Slovakia,12.0
Annual,Two adults with one dependent child,Percentage,Austria,5.2
Annual,Two adults with one dependent child,Percentage,Belgium,9.2
Annual,Two adults with one dependent child,Percentage,Bulgaria,21.6
Annual,Two adults with one dependent child,Percentage,Switzerland,4.8
Annual,Two adults with one dependent child,Percentage,Cyprus,14.0
Annual,Two adults with one dependent child,Percentage,Czechia,1.7
Annual,Two adults with one dependent child,Percentage,Germany,2.7
Annual,Two adults with one dependent child,Percentage,Denmark,1.2
Annual,Two adults with one dependent child,Percentage,Estonia,1.9
Annual,Two adults with one dependent child,Percentage,Greece,26.8
Annual,Two adults with one dependent child,Percentage,Spain,15.3
Annual,Two adults with one dependent child,Percentage,European Union - 27 countries (from 2020),7.1
Annual,Two adults with one dependent child,Percentage,Finland,1.5
Annual,Two adults with one dependent child,Percentage,France,5.2
Annual,Two adults with one dependent child,Percentage,Croatia,2.0
Annual,Two adults with one dependent child,Percentage,Hungary,11.0
Annual,Two adults with one dependent child,Percentage,Ireland,6.3
Annual,Two adults with one dependent child,Percentage,Italy,7.0
Annual,Two adults with one dependent child,Percentage,Lithuania,1.3
Annual,Two adults with one dependent child,Percentage,Luxembourg,3.3
Annual,Two adults with one dependent child,Percentage,Latvia,3.9
Annual,Two adults with one dependent child,Percentage,Malta,6.9
Annual,Two adults with one dependent child,Percentage,Netherlands,3.7
Annual,Two adults with one dependent child,Percentage,Poland,3.1
Annual,Two adults with one dependent child,Percentage,Portugal,8.8
Annual,Two adults with one dependent child,Percentage,Romania,16.0
Annual,Two adults with one dependent child,Percentage,Sweden,1.3
Annual,Two adults with one dependent child,Percentage,Slovenia,0.1
Annual,Two adults with one dependent child,Percentage,Slovakia,6.6
Annual,Two adults with two dependent children,Percentage,Austria,3.0
Annual,Two adults with two dependent children,Percentage,Belgium,3.5
Annual,Two adults with two dependent children,Percentage,Bulgaria,25.8
Annual,Two adults with two dependent children,Percentage,Switzerland,4.3
Annual,Two adults with two dependent children,Percentage,Cyprus,15.6
Annual,Two adults with two dependent children,Percentage,Czechia,3.5
Annual,Two adults with two dependent children,Percentage,Germany,3.7
Annual,Two adults with two dependent children,Percentage,Denmark,2.0
Annual,Two adults with two dependent children,Percentage,Estonia,0.3
Annual,Two adults with two dependent children,Percentage,Greece,27.1
Annual,Two adults with two dependent children,Percentage,Spain,11.1
Annual,Two adults with two dependent children,Percentage,European Union - 27 countries (from 2020),8.0
Annual,Two adults with two dependent children,Percentage,Finland,1.5
Annual,Two adults with two dependent children,Percentage,France,5.5
Annual,Two adults with two dependent children,Percentage,Croatia,3.0
Annual,Two adults with two dependent children,Percentage,Hungary,14.2
Annual,Two adults with two dependent children,Percentage,Ireland,4.4
Annual,Two adults with two dependent children,Percentage,Italy,12.1
Annual,Two adults with two dependent children,Percentage,Lithuania,4.1
Annual,Two adults with two dependent children,Percentage,Luxembourg,2.3
Annual,Two adults with two dependent children,Percentage,Latvia,5.1
Annual,Two adults with two dependent children,Percentage,Malta,6.2
Annual,Two adults with two dependent children,Percentage,Netherlands,1.7
Annual,Two adults with two dependent children,Percentage,Poland,2.5
Annual,Two adults with two dependent children,Percentage,Portugal,5.0
Annual,Two adults with two dependent children,Percentage,Romania,37.5
Annual,Two adults with two dependent children,Percentage,Sweden,1.5
Annual,Two adults with two dependent children,Percentage,Slovenia,3.1
Annual,Two adults with two dependent children,Percentage,Slovakia,6.4
Annual,Two adults with three or more dependent children,Percentage,Austria,13.2
Annual,Two adults with three or more dependent children,Percentage,Belgium,16.0
Annual,Two adults with three or more dependent children,Percentage,Bulgaria,66.5
Annual,Two adults with three or more dependent children,Percentage,Switzerland,6.4
Annual,Two adults with three or more dependent children,Percentage,Cyprus,32.1
Annual,Two adults with three or more dependent children,Percentage,Czechia,14.8
Annual,Two adults with three or more dependent children,Percentage,Germany,8.0
Annual,Two adults with three or more dependent children,Percentage,Denmark,6.5
Annual,Two adults with three or more dependent children,Percentage,Estonia,3.8
Annual,Two adults with three or more dependent children,Percentage,Greece,40.7
Annual,Two adults with three or more dependent children,Percentage,Spain,30.9
Annual,Two adults with three or more dependent children,Percentage,European Union - 27 countries (from 2020),17.1
Annual,Two adults with three or more dependent children,Percentage,Finland,3.6
Annual,Two adults with three or more dependent children,Percentage,France,16.5
Annual,Two adults with three or more dependent children,Percentage,Croatia,8.5
Annual,Two adults with three or more dependent children,Percentage,Hungary,38.0
Annual,Two adults with three or more dependent children,Percentage,Ireland,10.6
Annual,Two adults with three or more dependent children,Percentage,Italy,18.3
Annual,Two adults with three or more dependent children,Percentage,Lithuania,12.5
Annual,Two adults with three or more dependent children,Percentage,Luxembourg,21.8
Annual,Two adults with three or more dependent children,Percentage,Latvia,13.8
Annual,Two adults with three or more dependent children,Percentage,Malta,16.9
Annual,Two adults with three or more dependent children,Percentage,Netherlands,6.2
Annual,Two adults with three or more dependent children,Percentage,Poland,6.9
Annual,Two adults with three or more dependent children,Percentage,Portugal,18.8
Annual,Two adults with three or more dependent children,Percentage,Romania,61.8
Annual,Two adults with three or more dependent children,Percentage,Sweden,6.8
Annual,Two adults with three or more dependent children,Percentage,Slovenia,4.1
Annual,Two adults with three or more dependent children,Percentage,Slovakia,31.5
Annual,Three or more adults with dependent children,Percentage,Austria,5.5
Annual,Three or more adults with dependent children,Percentage,Belgium,19.2
Annual,Three or more adults with dependent children,Percentage,Bulgaria,46.4
Annual,Three or more adults with dependent children,Percentage,Switzerland,8.0
Annual,Three or more adults with dependent children,Percentage,Cyprus,32.7
Annual,Three or more adults with dependent children,Percentage,Czechia,7.3
Annual,Three or more adults with dependent children,Percentage,Germany,8.1
Annual,Three or more adults with dependent children,Percentage,Denmark,4.6
Annual,Three or more adults with dependent children,Percentage,Estonia,11.0
Annual,Three or more adults with dependent children,Percentage,Greece,51.0
Annual,Three or more adults with dependent children,Percentage,Spain,32.8
Annual,Three or more adults with dependent children,Percentage,European Union - 27 countries (from 2020),20.1
Annual,Three or more adults with dependent children,Percentage,Finland,10.3
Annual,Three or more adults with dependent children,Percentage,France,20.2
