Time frequency,Risk of poverty threshold,Level of difficulty,Health problems,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Austria,5.7
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Belgium,3.6
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Bulgaria,3.5
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Switzerland,3.4
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Cyprus,2.3
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Czechia,3.5
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Germany,: u
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Denmark,6.1
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Euro area – 20 countries (from 2023),4.6 e
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Estonia,4.4
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Greece,4.7
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Spain,3.9
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,European Union - 27 countries (from 2020),4.7 e
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Finland,3.7
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,France,3.5
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Croatia,2.8
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Hungary,3.3
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Ireland,2.9
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Italy,4.9
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Lithuania,5.8
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Luxembourg,1.7
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Latvia,5.4
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Montenegro,2.1
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Malta,1.9
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Netherlands,10.3
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Norway,6.8
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Poland,4.5
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Portugal,1.8
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Romania,6.5
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Serbia,3.6
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Sweden,6.3
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Slovenia,4.3
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Slovakia,5.9
Annual,Total,Moderate or severe,Communicating,Total,Total,Percentage,Türkiye,2.7
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Austria,11.2
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Belgium,8.4
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Bulgaria,9.1
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Switzerland,9.0
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Cyprus,4.6
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Czechia,11.5
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Germany,: u
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Denmark,23.1
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Euro area – 20 countries (from 2023),12.0 e
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Estonia,9.9
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Greece,11.1
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Spain,14.2
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,European Union - 27 countries (from 2020),11.8 e
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Finland,15.8
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,France,12.5
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Croatia,7.9
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Hungary,8.5
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Ireland,6.1
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Italy,9.2
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Lithuania,7.7
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Luxembourg,11.5
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Latvia,7.2
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Montenegro,6.1
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Malta,6.0
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Netherlands,18.0
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Norway,21.3
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Poland,10.1
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Portugal,12.4
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Romania,11.1
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Serbia,7.8
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Sweden,14.2
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Slovenia,13.9
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Slovakia,11.2
Annual,Total,Moderate or severe,Hearing,Total,Total,Percentage,Türkiye,9.5
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Austria,12.7
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Belgium,11.6
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Bulgaria,7.9
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Switzerland,16.2
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Cyprus,5.7
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Czechia,11.9
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Germany,: u
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Denmark,26.7
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Euro area – 20 countries (from 2023),15.1 e
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Estonia,24.9
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Greece,11.7
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Spain,19.6
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,European Union - 27 countries (from 2020),14.8 e
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Finland,33.6
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,France,13.2
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Croatia,20.6
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Hungary,8.0
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Ireland,7.3
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Italy,9.6
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Lithuania,15.6
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Luxembourg,18.3
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Latvia,15.7
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Montenegro,5.7
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Malta,6.5
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Netherlands,26.0
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Norway,33.5
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Poland,12.8
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Portugal,18.4
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Romania,15.7
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Serbia,7.0
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Sweden,25.2
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Slovenia,16.9
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Slovakia,11.6
Annual,Total,Moderate or severe,Remembering or concentrating,Total,Total,Percentage,Türkiye,15.5
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Austria,12.5
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Belgium,10.8
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Bulgaria,18.5
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Switzerland,13.8
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Cyprus,11.0
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Czechia,26.2
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Germany,: u
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Denmark,28.2
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Euro area – 20 countries (from 2023),19.0 e
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Estonia,14.0
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Greece,13.6
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Spain,24.9
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,European Union - 27 countries (from 2020),20.3 e
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Finland,25.7
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,France,15.7
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Croatia,22.0
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Hungary,25.0
