Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2019.0,2023.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Albania,26.3,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Austria,14.2,17.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Belgium,17.7,18.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Bulgaria,34.0,39.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Switzerland,18.6,18.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Cyprus,14.7,15.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Czechia,9.3,10.0 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Germany,15.7,: u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Denmark,9.1,7.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Euro area – 20 countries (from 2023),18.8,18.2 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Estonia,20.0,22.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Greece,22.1,21.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Spain,22.4,20.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,European Union - 27 countries (from 2020),19.3,19.1 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Finland,10.0,8.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,France,14.3,18.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Croatia,18.9,20.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Hungary,14.8,20.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Ireland,17.9,13.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Iceland,12.6,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Italy,23.0,22.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Lithuania,24.1,29.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Luxembourg,22.1,19.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Latvia,28.5,30.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Montenegro,35.1,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,North Macedonia,30.0,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Malta,16.2,12.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Netherlands,10.4,13.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Norway,16.0,12.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Poland,22.7 u,20.3 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Portugal,17.0,17.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Romania,37.4,40.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Serbia,34.0,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Sweden,18.0,23.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovenia,13.6,13.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovakia,14.3,15.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Türkiye,:,19.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Albania,13.8,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Austria,8.9,8.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Belgium,8.5,7.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Bulgaria,9.2,11.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Switzerland,9.1,10.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Cyprus,9.6,10.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Czechia,5.3,4.7 u
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Germany,11.7,: u
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Denmark,9.6,7.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Euro area – 20 countries (from 2023),11.3,10.0 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Estonia,14.7,14.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Greece,11.6,14.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Spain,17.1,14.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,European Union - 27 countries (from 2020),11.2,10.2 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Finland,7.0,7.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,France,9.1,10.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Croatia,10.2,9.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Hungary,10.7,6.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Ireland,8.8,6.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Iceland,9.2,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Italy,12.8,9.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Lithuania,14.8,14.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Luxembourg,11.0,10.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Latvia,14.8,15.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Montenegro,15.3,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,North Macedonia,9.3,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,11.0,8.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,8.3,10.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Norway,10.0,7.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,11.5 u,11.6 u
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,9.4,9.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,13.7,12.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Serbia,17.0,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,10.2,10.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,8.5,9.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,5.9,8.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Türkiye,:,5.7
Annual,Tertiary education (levels 5-8),Percentage,Albania,10.4,:
Annual,Tertiary education (levels 5-8),Percentage,Austria,14.8,14.5
Annual,Tertiary education (levels 5-8),Percentage,Belgium,7.5,4.6
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,3.6,4.0
Annual,Tertiary education (levels 5-8),Percentage,Switzerland,9.0,7.9
