Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,25.6,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Austria,:,21.7,20.5,25.6,22.4,26.2,23.9,22.8,23.9,22.7
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Belgium,:,19.7,21.1,19.2,21.4,18.6 b,18.0 b,16.3,20.2,15.0
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Bulgaria,:,34.5,36.3 b,34.6,32.1,33.1,31.6,28.1,29.9,29.5
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Switzerland,:,20.3,19.8,24.0,21.1,20.2,22.1,22.4,20.4,23.2
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Cyprus,:,21.7,18.0,15.3,18.6,16.4,17.7,16.3,16.8,15.1
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Czechia,:,19.6,20.7,18.0,16.9,15.7,16.8,19.9,21.9,22.8
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Germany,:,24.6,23.1,23.5,24.9,26.1,27.4 b,23.8,22.0,23.7
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Denmark,:,25.1,25.8,25.4,25.5,25.5,23.7 b,23.9,24.4,25.5
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,27.5,27.7,26.9,26.9,26.7,27.6,26.7,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Euro area - 18 countries (2014),:,27.4,27.6,26.8,26.8,26.7,27.7 b,26.8,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,27.5,27.7,26.9,26.9,26.7,27.6 b,26.7,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,27.5,27.7,26.9,26.9,26.8,27.7,26.7,25.1,24.6
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Estonia,:,29.6,28.6,28.8,28.8,28.7,28.7,27.6,29.3,28.6
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Greece,:,33.4,34.7,32.7,31.7,30.6,31.0,30.3,26.1,25.1
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Spain,:,34.9,33.2,33.1,29.9,30.8,32.2,31.6,29.2,27.3
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,27.1,27.7,26.7,27.1,27.2,27.7,27.4,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,European Union - 27 countries (from 2020),:,27.7,28.1,27.2,27.4,27.2,27.7,27.4,25.6,25.6
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,27.1,27.7,26.7,27.1,27.2,:,:,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Finland,:,18.7,16.9,17.6,17.6,19.2,16.4,15.5,19.0 b,19.3
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,France,:,17.3,19.3,18.6,19.2,17.8,23.0 b,22.2,22.6 b,22.5
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Croatia,27.9,28.0,30.8,28.1,30.2,28.7,28.6,27.0,25.8,28.2 b
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Hungary,:,22.3,20.3,18.8,24.3,32.2,27.0,32.6,22.0,31.4
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Ireland,:,19.4,19.2,19.9,20.4,16.9 b,17.1 b,16.4,22.9,17.6
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Iceland,:,23.5,16.7,18.5,17.0,23.3,:,:,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Italy,:,32.9,36.0,32.2,33.9,32.9,31.9,31.8,29.3,26.8
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Lithuania,:,29.4,31.7,34.0,33.5,31.7,25.7,24.5,26.4,30.9
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Luxembourg,:,19.4,20.2 b,23.5,24.7,24.6,18.0 b,20.2 b,17.2 b,17.3
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Latvia,:,33.7,30.3,30.8,33.6,34.3,32.8,28.7,29.3,32.3
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,29.1,29.3,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,North Macedonia,:,34.4,31.7,36.6,38.1,32.4,35.8,:,:,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Malta,:,17.7,16.6,18.0,19.3,18.7,18.9,22.5,18.4,25.8
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Netherlands,:,18.7,19.2 b,20.7,20.7,18.6,19.2,21.2,22.5,18.8
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Norway,:,27.8,27.5,29.2,25.7,27.3,25.1,24.9 b,24.1,22.2 b
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Poland,:,23.9,25.6,25.8,26.4,24.5,22.9,23.0,23.9,23.0
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Portugal,:,32.1,29.3,30.2,26.2,24.6,26.9,29.0,22.7,27.1
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Romania,:,39.2,38.6,36.4,37.9,37.5,37.2,44.2,36.0,39.0
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Serbia,:,39.9,42.5,42.3,39.8,32.2,29.9,31.4,27.3,:
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Sweden,:,24.6,25.3,24.2,23.4,24.2,24.6,23.6,25.7,26.4
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Slovenia,:,21.8,22.0,21.3,19.2,19.5,18.5,18.7,19.9,20.4
