Time frequency,Country/region of birth,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Austria,7.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Belgium,4.9
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Bulgaria,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Cyprus,1.7
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Czechia,3.0
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Germany,5.7
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Denmark,8.9
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Euro area – 20 countries (from 2023),7.5
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Estonia,4.7 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Greece,3.8
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Spain,11.3
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,European Union - 27 countries (from 2020),7.4
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Finland,16.6
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,France,12.9
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Croatia,4.2 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Hungary,1.7
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Ireland,11.1 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Italy,3.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Lithuania,8.2 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Luxembourg,3.8
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Latvia,1.5
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Malta,7.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Netherlands,15.9
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Norway,4.6
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Poland,0.0 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Portugal,4.4
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Romania,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Sweden,8.8
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Slovenia,7.3
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Slovakia,2.2
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Austria,7.4
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Belgium,5.5
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Bulgaria,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Cyprus,3.0
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Czechia,4.7
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Germany,5.3
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Denmark,9.2
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Euro area – 20 countries (from 2023),7.0
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Estonia,2.5 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Greece,7.8
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Spain,17.4
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,European Union - 27 countries (from 2020),7.2
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Finland,14.0
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,France,7.1
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Croatia,0.0 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Hungary,1.3
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Ireland,8.3 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Italy,1.9
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Lithuania,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Luxembourg,6.0
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Latvia,1.2 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Malta,6.0
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Netherlands,12.4
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Norway,8.0
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Poland,1.6 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Portugal,4.9
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Romania,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Sweden,15.8
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Slovenia,2.8
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Slovakia,1.2
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Austria,7.3
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Belgium,5.2
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Bulgaria,: u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Cyprus,2.3
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Czechia,3.7
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Germany,5.5
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Denmark,9.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Euro area – 20 countries (from 2023),7.3
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Estonia,3.5
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Greece,5.2
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Spain,14.2
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,European Union - 27 countries (from 2020),7.3
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Finland,15.5
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,France,10.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Croatia,2.8 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Hungary,1.5
