Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,From 16 to 19 years,Total,Albania,:,:,12.9,13.9,11.8,10.7,11.6,:,:
Annual,Percentage,From 16 to 19 years,Total,Austria,6.0,7.6,5.1,4.3,7.0,5.6,7.8,4.2,4.0
Annual,Percentage,From 16 to 19 years,Total,Belgium,16.7,17.5,15.1,14.9,14.9,13.1,13.3,12.7,12.1
Annual,Percentage,From 16 to 19 years,Total,Bulgaria,13.0,10.9,11.4,10.9,12.1,10.6,11.5,10.0,8.1
Annual,Percentage,From 16 to 19 years,Total,Switzerland,3.7,4.7,4.2,6.4,7.9,4.9,6.0,4.7,4.5
Annual,Percentage,From 16 to 19 years,Total,Cyprus,8.1,9.3,9.2,6.9,4.7,7.5,5.9,4.9,5.7
Annual,Percentage,From 16 to 19 years,Total,Czechia,6.3,6.0,5.7,3.2,2.9,2.6,3.2,4.7,7.6
Annual,Percentage,From 16 to 19 years,Total,Germany,5.2,5.3,5.7,5.3,5.0,9.1 b,8.0,8.9,9.6
Annual,Percentage,From 16 to 19 years,Total,Denmark,5.9,7.9,6.0,6.5,5.0,3.6,5.0,4.3,4.6
Annual,Percentage,From 16 to 19 years,Total,Estonia,6.8,6.4,5.9,5.2,4.4,3.4,3.6,5.1,4.3
Annual,Percentage,From 16 to 19 years,Total,Greece,16.8,17.6,15.4,14.2,12.9,13.4,12.1,8.8,6.4
Annual,Percentage,From 16 to 19 years,Total,Spain,16.5,15.8,13.5,11.4,10.1,10.3,10.4,7.0,7.1
Annual,Percentage,From 16 to 19 years,Total,European Union - 27 countries (from 2020),9.3,9.1,8.5,8.0,7.6,8.8,8.9,7.9,7.8
Annual,Percentage,From 16 to 19 years,Total,Finland,5.9,6.7,8.2,11.4,9.0 b,8.6,5.4,8.7 b,8.1
Annual,Percentage,From 16 to 19 years,Total,France,10.2,8.8,8.3,7.8,7.6,10.7 b,11.9,9.8 b,9.8
Annual,Percentage,From 16 to 19 years,Total,Croatia,14.7,15.1,10.6,10.0,9.2,7.2,8.2,6.0,5.4
Annual,Percentage,From 16 to 19 years,Total,Hungary,10.1,6.4,4.8,4.0,4.9,3.7,5.1,7.6,4.7
Annual,Percentage,From 16 to 19 years,Total,Ireland,22.6,20.9,22.2,11.1,17.3 b,12.8 b,13.7,8.3,6.4
Annual,Percentage,From 16 to 19 years,Total,Iceland,3.5,3.1,2.2,2.4,2.7,:,:,:,:
Annual,Percentage,From 16 to 19 years,Total,Italy,9.1,9.8,8.6,8.4,7.9,9.9,9.9,8.8,6.8
Annual,Percentage,From 16 to 19 years,Total,Lithuania,7.5,9.8,7.8,9.4,7.5,8.9,9.9,8.2,8.5
Annual,Percentage,From 16 to 19 years,Total,Luxembourg,6.7,7.1,5.7,9.8,5.0,6.6 b,5.2 b,2.0 b,3.9
Annual,Percentage,From 16 to 19 years,Total,Latvia,7.5,6.1,9.1,9.2,8.8,8.6,7.4,4.9,7.4
Annual,Percentage,From 16 to 19 years,Total,Montenegro,22.6,25.0,24.8,23.7,20.3,16.9,21.6,27.4,:
Annual,Percentage,From 16 to 19 years,Total,North Macedonia,18.1,16.3,20.1,17.5,16.4,13.2,:,:,:
Annual,Percentage,From 16 to 19 years,Total,Malta,11.3,6.0,4.3,5.6,5.2,4.0,4.0,2.9,5.7
Annual,Percentage,From 16 to 19 years,Total,Netherlands,9.2,9.0,9.4,7.6,8.1,6.5,7.5,8.1,8.7
Annual,Percentage,From 16 to 19 years,Total,Norway,5.7,5.9,8.6,8.8,6.5,7.9,7.8 b,8.2,6.1
Annual,Percentage,From 16 to 19 years,Total,Poland,5.8,7.0,6.2,6.0,4.3,4.5,5.3,3.6,4.4
Annual,Percentage,From 16 to 19 years,Total,Portugal,10.7,7.9,8.2,7.6,6.1,5.9,5.9,4.7,6.2
Annual,Percentage,From 16 to 19 years,Total,Romania,6.8,7.1,6.7,9.6,9.7,7.3,4.6,4.9,5.3
Annual,Percentage,From 16 to 19 years,Total,Serbia,20.4,22.4,20.2,16.2,17.3,16.1,15.1,11.4,:
Annual,Percentage,From 16 to 19 years,Total,Sweden,9.6,7.9,11.1,10.8,7.8,11.0,11.9,10.8,9.5
Annual,Percentage,From 16 to 19 years,Total,Slovenia,6.2,6.6,4.6,3.0,3.3,2.7,3.0,2.4,4.8
Annual,Percentage,From 16 to 19 years,Total,Slovakia,5.8,7.7,7.7,6.9,9.4,5.3,2.9,3.9,8.6
Annual,Percentage,From 16 to 19 years,Total,Türkiye,13.3,11.5,10.8,10.5,11.2,12.4,13.5,11.5,9.9
Annual,Percentage,From 16 to 19 years,Total,United Kingdom,12.5,13.8,11.1,10.0,:,:,:,:,:
Annual,Percentage,From 16 to 29 years,Total,Albania,:,:,13.5,13.4,12.2,11.1,11.5,:,:
Annual,Percentage,From 16 to 29 years,Total,Austria,6.5,8.7,8.5,7.3,7.1,6.0,8.4,6.2,6.3
Annual,Percentage,From 16 to 29 years,Total,Belgium,14.7,14.8,13.8,12.3,12.7,11.3,11.2,11.9,9.9
Annual,Percentage,From 16 to 29 years,Total,Bulgaria,12.8,12.1,12.4,9.7,10.4,9.9,9.6,8.7,6.8
Annual,Percentage,From 16 to 29 years,Total,Switzerland,4.3,4.0,3.7,6.7,6.4,5.2,5.6,6.6,5.1
Annual,Percentage,From 16 to 29 years,Total,Cyprus,11.3,10.5,9.7,8.0,7.1,5.5,5.8,4.4,4.7
Annual,Percentage,From 16 to 29 years,Total,Czechia,5.5,5.5,4.8,3.4,3.8,4.3,4.9,4.1,5.1
Annual,Percentage,From 16 to 29 years,Total,Germany,9.4,9.8,9.2,9.3,8.4,10.0 b,10.8,11.1,11.5
Annual,Percentage,From 16 to 29 years,Total,Denmark,16.5,20.9,17.4,16.5,16.6,15.1,16.8,15.2,13.1
Annual,Percentage,From 16 to 29 years,Total,Estonia,5.2,4.2,4.9,5.0,4.7,4.1,4.7,5.3,6.7
Annual,Percentage,From 16 to 29 years,Total,Greece,20.0,21.3,19.7,17.3,16.2,14.9,15.2,10.6,9.3
Annual,Percentage,From 16 to 29 years,Total,Spain,17.5,17.0,14.0,11.1,10.7,9.6,12.2,8.3,8.3
Annual,Percentage,From 16 to 29 years,Total,European Union - 27 countries (from 2020),10.5,10.9,9.7,9.2,8.6,9.1,9.6,8.7,8.6
Annual,Percentage,From 16 to 29 years,Total,Finland,13.3,13.9,13.0,13.1,12.5 b,11.2,10.4,14.1 b,13.0
Annual,Percentage,From 16 to 29 years,Total,France,9.2,10.2,8.3,7.9,7.7,10.5 b,10.4,9.6 b,9.0
Annual,Percentage,From 16 to 29 years,Total,Croatia,11.6,11.4,9.9,8.7,7.4,6.6,7.2,4.8,4.6
Annual,Percentage,From 16 to 29 years,Total,Hungary,7.8,5.9,4.5,4.4,3.8,4.5,5.2,6.4,4.9
Annual,Percentage,From 16 to 29 years,Total,Ireland,21.3,18.7,17.4,10.9,12.7 b,11.1 b,13.0,8.2,7.5
Annual,Percentage,From 16 to 29 years,Total,Iceland,5.3,2.9,4.0,3.2,3.3,:,:,:,:
Annual,Percentage,From 16 to 29 years,Total,Italy,12.3,13.6,11.5,12.5,11.2,11.6,12.1,10.7,10.1
Annual,Percentage,From 16 to 29 years,Total,Lithuania,5.9,8.6,8.9,7.5,5.9,5.3,6.6,5.3,7.9
Annual,Percentage,From 16 to 29 years,Total,Luxembourg,6.0,8.8,7.4,10.0,8.3,10.8 b,6.0 b,4.0 b,6.3
Annual,Percentage,From 16 to 29 years,Total,Latvia,6.3,5.7,5.5,6.5,6.2,7.3,5.5,5.5,5.7
Annual,Percentage,From 16 to 29 years,Total,Montenegro,22.1,25.4,23.7,23.5,18.9,15.7,21.7,21.2,:
Annual,Percentage,From 16 to 29 years,Total,North Macedonia,17.8,15.8,17.3,16.4,13.8,13.9,:,:,:
Annual,Percentage,From 16 to 29 years,Total,Malta,7.4,5.2,5.0,3.6,4.1,4.0,3.5,1.5,2.6
Annual,Percentage,From 16 to 29 years,Total,Netherlands,12.1,10.9,11.9,9.8,10.1,9.4,8.7,9.0,8.8
Annual,Percentage,From 16 to 29 years,Total,Norway,9.1,8.4,11.9,11.5,10.3,11.2,10.0 b,12.1,10.8
Annual,Percentage,From 16 to 29 years,Total,Poland,5.2,5.3,4.4,4.6,4.1,3.7,3.7,2.8,3.4
Annual,Percentage,From 16 to 29 years,Total,Portugal,10.3,7.9,7.9,6.4,5.3,4.6,4.4,4.0,5.1
Annual,Percentage,From 16 to 29 years,Total,Romania,7.1,7.4,6.6,7.2,5.9,6.3,4.4,5.2,5.7
Annual,Percentage,From 16 to 29 years,Total,Serbia,19.3,19.6,19.4,16.8,15.6,15.2,15.4,12.0,:
Annual,Percentage,From 16 to 29 years,Total,Sweden,9.5,9.4,12.5,11.7,9.5,11.5,12.5,11.1,10.7
Annual,Percentage,From 16 to 29 years,Total,Slovenia,6.8,7.1,5.3,4.3,4.1,3.5,3.5,3.4,3.9
Annual,Percentage,From 16 to 29 years,Total,Slovakia,6.5,5.8,4.8,4.4,5.8,3.9,3.9,3.6,4.5
Annual,Percentage,From 16 to 29 years,Total,Türkiye,11.5,10.3,9.6,9.5,10.0,11.8,13.2,10.7,9.3
Annual,Percentage,From 16 to 29 years,Total,United Kingdom,11.8,11.1,10.9,8.7,:,:,:,:,:
Annual,Percentage,From 20 to 24 years,Total,Albania,:,:,14.9,14.1,11.6,11.3,11.3,:,:
Annual,Percentage,From 20 to 24 years,Total,Austria,5.4,8.0,7.1,7.1,5.0,5.8,7.9,7.4,7.2
Annual,Percentage,From 20 to 24 years,Total,Belgium,13.1,15.0,14.7,12.9,13.8,12.0,12.0,13.0,9.7
Annual,Percentage,From 20 to 24 years,Total,Bulgaria,14.1,10.6,12.7,10.6,10.7,12.9,10.9,10.0,6.3
Annual,Percentage,From 20 to 24 years,Total,Switzerland,3.8,3.0,2.2,5.3,7.0,7.1,6.1,7.0,4.0
Annual,Percentage,From 20 to 24 years,Total,Cyprus,12.0,10.4,8.0,8.9,9.5,5.3,6.6,4.6,4.7
Annual,Percentage,From 20 to 24 years,Total,Czechia,4.9,7.1,4.4,2.3,3.9,5.2,4.9,4.2,3.6
Annual,Percentage,From 20 to 24 years,Total,Germany,8.2,7.4,6.7,6.7,6.5,9.2 b,10.2,11.4,10.4
Annual,Percentage,From 20 to 24 years,Total,Denmark,17.7,18.7,14.2,15.4,15.8,13.9,18.5,13.6,10.6
Annual,Percentage,From 20 to 24 years,Total,Estonia,6.3,4.3,5.1,6.1,4.9,4.8,5.7,6.6,8.9
Annual,Percentage,From 20 to 24 years,Total,Greece,22.9,22.8,20.2,19.6,17.0,15.3,16.0,11.2,10.2
Annual,Percentage,From 20 to 24 years,Total,Spain,20.2,19.3,14.5,13.0,11.9,10.0,12.5,9.3,9.5
Annual,Percentage,From 20 to 24 years,Total,European Union - 27 countries (from 2020),10.9,11.1,9.5,9.3,8.7,8.9,9.1,8.6,8.5
Annual,Percentage,From 20 to 24 years,Total,Finland,16.4,16.2,14.7,15.2,14.8 b,15.4,15.9,18.4 b,15.0
Annual,Percentage,From 20 to 24 years,Total,France,9.3,11.8,9.1,8.6,9.7,9.2 b,8.8,9.3 b,8.6
Annual,Percentage,From 20 to 24 years,Total,Croatia,9.2,9.9,10.0,9.0,6.5,5.8,7.4,4.1,3.6
Annual,Percentage,From 20 to 24 years,Total,Hungary,8.1,5.6,4.5,5.9,3.7,3.9,4.2,6.4,4.5
Annual,Percentage,From 20 to 24 years,Total,Ireland,20.7,17.8,16.7,11.0,10.5 b,12.1 b,12.1,8.2,8.2
Annual,Percentage,From 20 to 24 years,Total,Iceland,6.8,2.6,5.0,2.6,2.2,:,:,:,:
Annual,Percentage,From 20 to 24 years,Total,Italy,13.3,13.4,10.8,13.5,10.6,11.0,10.8,8.9,10.4
Annual,Percentage,From 20 to 24 years,Total,Lithuania,5.2,11.3,9.7,8.1,4.0,2.7,8.2,6.1,12.3
Annual,Percentage,From 20 to 24 years,Total,Luxembourg,6.7,11.7,9.5,13.2,11.0,12.1 b,7.3 b,5.5 b,8.5
Annual,Percentage,From 20 to 24 years,Total,Latvia,7.1,5.9,4.2,5.4,6.6,6.3,4.2,4.6,5.1
Annual,Percentage,From 20 to 24 years,Total,Montenegro,22.0,27.0,24.0,23.6,19.5,16.6,21.2,19.4,:
Annual,Percentage,From 20 to 24 years,Total,North Macedonia,18.7,18.3,17.1,17.0,13.7,14.0,:,:,:
Annual,Percentage,From 20 to 24 years,Total,Malta,6.4,5.5,7.5,4.1,4.1,5.2,4.5,1.3,2.8
Annual,Percentage,From 20 to 24 years,Total,Netherlands,17.1,13.2,16.1,12.2,13.1,11.0,7.7,7.9,11.1
Annual,Percentage,From 20 to 24 years,Total,Norway,10.4,7.8,13.4,10.0,10.6,11.1,8.4 b,12.4,9.6
Annual,Percentage,From 20 to 24 years,Total,Poland,5.5,5.2,4.7,5.3,5.0,4.4,3.0,2.7,3.1
Annual,Percentage,From 20 to 24 years,Total,Portugal,9.9,8.5,8.8,6.1,5.1,4.1,3.1,4.2,5.9
Annual,Percentage,From 20 to 24 years,Total,Romania,6.9,8.6,6.9,5.2,4.6,6.5,5.0,5.9,5.0
Annual,Percentage,From 20 to 24 years,Total,Serbia,19.4,19.2,19.0,17.0,16.5,15.3,17.0,12.3,:
Annual,Percentage,From 20 to 24 years,Total,Sweden,7.3,10.1,12.1,10.0,8.8,9.6,10.0,12.1,11.7
Annual,Percentage,From 20 to 24 years,Total,Slovenia,6.6,7.0,6.2,5.5,4.2,3.5,3.3,3.8,3.5
Annual,Percentage,From 20 to 24 years,Total,Slovakia,6.8,5.4,3.2,4.4,5.8,3.7,4.5,4.0,3.4
