Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 15 to 29 years,Total,Albania,:,:,:,74.6,73.4,71.8,69.5,70.3,:,:
Annual,Percentage,Total,From 15 to 29 years,Total,Austria,22.4,22.5,23.6,23.5,20.1,22.5,21.2,21.7,22.7,22.1
Annual,Percentage,Total,From 15 to 29 years,Total,Belgium,3.4,1.9,5.7 b,7.2,7.9,8.0 b,7.8,8.2,8.9,8.6
Annual,Percentage,Total,From 15 to 29 years,Total,Bulgaria,57.8,59.7,61.8 b,61.6,61.5,60.2,57.9,57.2,54.6,55.3
Annual,Percentage,Total,From 15 to 29 years,Total,Switzerland,11.4,10.4,11.5,10.5,10.2,11.2,12.2,9.9,8.8,14.1
Annual,Percentage,Total,From 15 to 29 years,Total,Cyprus,3.6,2.3,4.5,5.7,5.1,3.7,4.3,3.6,3.6,4.0
Annual,Percentage,Total,From 15 to 29 years,Total,Czechia,29.8,26.8,25.6,23.5,22.4,22.3,21.8,24.6,22.6,23.8
Annual,Percentage,Total,From 15 to 29 years,Total,Germany,11.5,12.7,12.5,13.0,13.1,13.2,18.6 b,17.9,19.3,19.9
Annual,Percentage,Total,From 15 to 29 years,Total,Denmark,18.4,19.7,20.8,21.6,24.0,25.9,23.2,21.6,23.1,22.0
Annual,Percentage,Total,From 15 to 29 years,Total,Estonia,18.4,18.2,18.8,21.6,19.9,19.9,17.0,21.9,21.6,22.1
Annual,Percentage,Total,From 15 to 29 years,Total,Greece,46.8,49.2,48.9,48.5,48.9,48.7,48.2,48.4,45.9,45.4
Annual,Percentage,Total,From 15 to 29 years,Total,Spain,8.7,9.4,9.5,8.5,8.4,10.3,12.5,11.2,11.3,13.3
Annual,Percentage,Total,From 15 to 29 years,Total,European Union - 27 countries (from 2020),27.5 e,27.6 e,27.3 e,26.7 e,25.9 e,26.0 e,26.9,26.5,25.8,26.0
Annual,Percentage,Total,From 15 to 29 years,Total,Finland,12.7,13.0,13.9,11.9,13.7,13.8,15.8,15.6,17.6,19.2
Annual,Percentage,Total,From 15 to 29 years,Total,France,12.9,12.3,13.9,12.6,14.8,13.5,18.7 b,17.2,16.6 b,16.7
Annual,Percentage,Total,From 15 to 29 years,Total,Croatia,56.8,56.4,55.2,54.9,52.8,51.6,50.2,46.6,45.0,43.3
Annual,Percentage,Total,From 15 to 29 years,Total,Hungary,58.6,56.9,57.2,57.4,30.5 b,30.5,30.9,28.3,26.1,25.0
Annual,Percentage,Total,From 15 to 29 years,Total,Ireland,9.2,6.7,7.0,5.1,4.1,5.4 b,4.2 b,4.2,3.6,4.4
Annual,Percentage,Total,From 15 to 29 years,Total,Iceland,11.0,12.8,11.0,12.0,15.6,21.3,:,:,:,:
Annual,Percentage,Total,From 15 to 29 years,Total,Italy,41.7,42.5,43.3,42.3,42.0,43.5,41.1,43.7,40.1,40.5
Annual,Percentage,Total,From 15 to 29 years,Total,Lithuania,39.9,40.5,34.4,34.4,32.4,32.7,32.2,37.3,37.3,38.9
Annual,Percentage,Total,From 15 to 29 years,Total,Luxembourg,8.6,8.9,10.4 b,10.7,11.5,10.1,12.4 b,10.3 b,7.8 b,9.9
Annual,Percentage,Total,From 15 to 29 years,Total,Latvia,52.9,53.2,54.4,52.7,54.6,52.1,54.0,53.9,56.5,54.8
Annual,Percentage,Total,From 15 to 29 years,Total,Montenegro,67.6,69.7,70.6,70.4,73.7,73.9,76.8,73.1,72.5,:
Annual,Percentage,Total,From 15 to 29 years,Total,North Macedonia,51.0,58.8,55.0,53.3,53.4,51.5,47.2,:,:,:
Annual,Percentage,Total,From 15 to 29 years,Total,Malta,6.9,5.9,4.7,4.9,5.7,5.9,6.4,4.2,4.0,3.9
Annual,Percentage,Total,From 15 to 29 years,Total,Netherlands,10.3,9.9,10.0 b,9.6,9.7,10.2,10.5,7.5,7.3,9.6
Annual,Percentage,Total,From 15 to 29 years,Total,Norway,11.8,12.2,13.0,13.3,15.3,15.2,15.3,12.6 b,11.7,11.7
Annual,Percentage,Total,From 15 to 29 years,Total,Poland,57.1,57.2,53.5,53.8,51.9,49.7,48.5 b,46.8,45.7,43.4 b
Annual,Percentage,Total,From 15 to 29 years,Total,Portugal,16.5,17.0,18.0,16.6,17.3,16.2,14.3,16.2,15.8,22.1
Annual,Percentage,Total,From 15 to 29 years,Total,Romania,66.4,67.8,64.8,65.1,64.3,64.1,64.7,60.3,56.7,59.4
Annual,Percentage,Total,From 15 to 29 years,Total,Serbia,64.0,67.5,70.3,69.7,65.7,67.8,67.0,64.0,61.7,:
Annual,Percentage,Total,From 15 to 29 years,Total,Sweden,27.0,29.1,29.1,26.5,27.9,28.0,27.0,28.4,29.2,28.4
Annual,Percentage,Total,From 15 to 29 years,Total,Slovenia,21.9,20.7,19.2,19.6,17.7,16.2,15.2,16.2,16.3,15.0
Annual,Percentage,Total,From 15 to 29 years,Total,Slovakia,53.1,52.3,53.6,51.2,49.1,49.4,44.3,44.2,46.4,43.4
Annual,Percentage,Total,From 15 to 29 years,Total,Türkiye,56.1,55.6,54.6,54.0,53.0,52.1,51.6,51.0,49.9,49.6
Annual,Percentage,Total,From 15 to 29 years,Total,United Kingdom,12.6,12.2,13.1,6.6 b,8.5,:,:,:,:,:
Annual,Percentage,Total,From 15 to 29 years,Total,Kosovo*,:,:,:,:,68.6,:,:,:,:,:
