Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Cities,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.4,2.2,3.4,3.4,3.1,:,:
Annual,Percentage,Cities,Austria,29.3,16.4,16.7,16.0,17.3,15.9 b,19.9,19.5,16.7,14.8,14.4,14.4,13.5,15.4,14.1,14.2,13.1,14.1,12.5,11.2,11.6
Annual,Percentage,Cities,Belgium,35.6,59.2,61.9,61.3,61.8,61.8,63.2,57.9,64.9,58.5 b,56.7,57.9,55.3,47.9 b,47.9,42.1,41.7 b,42.2,44.5,43.3,42.6
Annual,Percentage,Cities,Bulgaria,:,:,:,2.7,2.5,3.8,4.6,3.9,3.9,4.0 b,2.8,2.9,3.6,3.9 b,3.5,3.6,3.7,3.9,4.3,5.1,5.4
Annual,Percentage,Cities,Switzerland,:,:,:,:,33.4,33.9,34.0,36.9,38.0,35.3 b,32.4,32.9 b,31.3,32.1,32.3,30.8,30.8,30.8,31.5,31.0,29.8
Annual,Percentage,Cities,Cyprus,:,:,71.9,75.5,77.7,75.4 b,74.3,73.5,72.2,73.0 b,73.5,71.8,74.0,72.1,71.7,72.7,70.2,71.3,70.4,72.2,72.8
Annual,Percentage,Cities,Czechia,:,:,6.0,6.3,7.9,9.1,11.3,13.5,13.3,12.3 b,12.2,12.4,13.1,13.3,14.2,15.5,16.0,17.2,16.2,15.6,16.0
Annual,Percentage,Cities,Germany,:,:,25.4,22.3,28.0,26.8,27.0,27.2,27.3,21.7 b,22.7,24.1,22.6,22.6,21.8,23.0,22.1,22.9 b,21.3,21.5,21.1
Annual,Percentage,Cities,Denmark,31.4,31.4,30.7,31.1,30.8,30.9,31.8,30.6,31.0,31.4 b,28.9,29.3,28.1,26.5,26.9,24.4,26.6,28.8,27.8,28.7,26.6
Annual,Percentage,Cities,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,32.7 e,33.3 e,33.1 e,32.5 e,30.9 e,31.0 e,30.7 e,30.9 e,30.8 e,30.9 e,30.8 e,29.5,29.1,30.9,:,:
