Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Females,From 18 to 64 years,Albania,:,:,:,:,:,:,21.7,23.7,20.6,14.9
Annual,Percentage,Total,Females,From 18 to 64 years,Austria,3.7,4.0,3.9,3.9,4.7,4.4,4.3,2.9,3.0,2.9
Annual,Percentage,Total,Females,From 18 to 64 years,Belgium,0.8,0.5,0.8,0.8,0.6,1.7 b,2.2,2.1,1.8 b,2.2
Annual,Percentage,Total,Females,From 18 to 64 years,Bulgaria,14.3,12.6,12.1,12.3 b,11.2,11.3 b,10.5,10.0,8.6,8.3
Annual,Percentage,Total,Females,From 18 to 64 years,Switzerland,1.4,1.8,2.1,1.3 b,1.6,2.5,2.1,2.4,1.6,1.8
Annual,Percentage,Total,Females,From 18 to 64 years,Cyprus,1.5,1.0,1.3,1.2,0.4,1.2,1.0,1.3,1.3,1.7
Annual,Percentage,Total,Females,From 18 to 64 years,Czechia,4.9,4.1,4.2,3.5,3.5,3.1,2.3,2.3,2.2,2.3
Annual,Percentage,Total,Females,From 18 to 64 years,Germany,2.6,2.2,1.9,2.2,2.1,2.1,2.2,2.5,2.4,1.2 b
Annual,Percentage,Total,Females,From 18 to 64 years,Denmark,2.8 b,2.2,2.1,2.5,3.0,2.2,3.2,3.7,3.6,3.2
Annual,Percentage,Total,Females,From 18 to 64 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.8 e,3.5 e,3.6 e,3.8 e,3.9 e,3.7 e,3.0 e,3.1 e,3.1,3.6
Annual,Percentage,Total,Females,From 18 to 64 years,Euro area - 18 countries (2014),3.8,3.6,3.7,3.8,3.9,3.6,3.0,3.1,3.1,3.6
Annual,Percentage,Total,Females,From 18 to 64 years,Euro area - 19 countries  (2015-2022),3.9,3.6,3.7,3.9,3.9,3.7,3.0,3.1,3.1,3.6
Annual,Percentage,Total,Females,From 18 to 64 years,Estonia,4.6,4.4,6.0,4.1 b,2.8,3.5,3.3,3.0,3.2,2.4
Annual,Percentage,Total,Females,From 18 to 64 years,Greece,7.3,7.4,7.0,6.2,6.9,6.7,6.3,6.1,6.0,5.9
Annual,Percentage,Total,Females,From 18 to 64 years,Spain,2.0 b,1.2,1.8,1.6,1.5,1.8,0.9,1.4,1.6,3.4
Annual,Percentage,Total,Females,From 18 to 64 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",5.4 e,5.1 e,5.1 e,5.1 e,5.1 e,4.8 e,4.2 e,4.0 e,3.9 e,:
Annual,Percentage,Total,Females,From 18 to 64 years,European Union - 27 countries (2007-2013),5.4,5.0,5.0,5.0,5.0,4.8,4.1,4.0,3.8 e,:
Annual,Percentage,Total,Females,From 18 to 64 years,European Union - 27 countries (from 2020),5.8 e,5.5 e,5.5 e,5.4 e,5.5 e,5.3 e,4.6 e,4.3 e,4.1 e,4.5 e
Annual,Percentage,Total,Females,From 18 to 64 years,European Union - 28 countries (2013-2020),5.4,5.1,5.1,5.1,5.1,4.8,4.2,4.0,3.9 e,:
Annual,Percentage,Total,Females,From 18 to 64 years,Finland,0.6,0.6,0.6,0.7,0.6,1.0,0.9,0.9,0.9,1.2
Annual,Percentage,Total,Females,From 18 to 64 years,France,2.6,2.4,2.1,2.4,2.3,2.8,2.3,3.1,2.6,4.2 b
Annual,Percentage,Total,Females,From 18 to 64 years,Croatia,9.9,10.6 b,9.6,8.1,7.5,6.8,6.3,6.4,5.8,5.1
Annual,Percentage,Total,Females,From 18 to 64 years,Hungary,14.7,15.7,16.5,16.5,15.1,16.8,15.8,7.3,7.2,6.9
Annual,Percentage,Total,Females,From 18 to 64 years,Ireland,0.8,0.7,1.4,1.4,1.1,1.3,0.8,1.1,1.1 b,1.2 b
Annual,Percentage,Total,Females,From 18 to 64 years,Iceland,2.0,2.9,2.6,2.1,2.5,1.7,1.6,1.7,3.9,:
Annual,Percentage,Total,Females,From 18 to 64 years,Italy,9.3,8.8,9.4,9.8,10.6,8.0,5.7,5.3,5.6,7.1
Annual,Percentage,Total,Females,From 18 to 64 years,Lithuania,7.0 b,6.8,8.8,10.7,8.9,8.7,8.2,6.8,7.7,6.3
Annual,Percentage,Total,Females,From 18 to 64 years,Luxembourg,1.7,1.9,1.7,1.5,1.8,2.0 b,2.6,2.0,1.8,1.5 b
Annual,Percentage,Total,Females,From 18 to 64 years,Latvia,17.7,15.7,16.3,16.3,15.2,14.2,15.3,14.0,13.0,11.5
Annual,Percentage,Total,Females,From 18 to 64 years,Montenegro,:,:,23.4,20.6,24.6,18.3,16.5,18.9,19.1,17.5
Annual,Percentage,Total,Females,From 18 to 64 years,North Macedonia,13.1,11.5,10.9,10.9 b,9.1,11.2,9.7,10.2,8.8,9.1
Annual,Percentage,Total,Females,From 18 to 64 years,Malta,1.7,0.9,1.2,1.3,1.2,1.6,1.6,1.3,1.7,1.3
Annual,Percentage,Total,Females,From 18 to 64 years,Netherlands,0.6,1.2,0.8,0.9,1.2,1.6 b,1.2,1.4,1.7,1.9
Annual,Percentage,Total,Females,From 18 to 64 years,Norway,1.8,1.3,1.6,0.9,1.1,1.4,1.2,1.0,1.1,1.3
Annual,Percentage,Total,Females,From 18 to 64 years,Poland,10.5,9.9,9.5,8.9,9.5,9.3,9.8,8.1,7.8,:
Annual,Percentage,Total,Females,From 18 to 64 years,Portugal,3.6,4.1,5.5,5.6,4.9,5.1,4.2,4.5,4.2,3.7
Annual,Percentage,Total,Females,From 18 to 64 years,Romania,22.1,20.4,20.3,18.5,18.1,18.1,15.9,15.1,13.3,13.0
Annual,Percentage,Total,Females,From 18 to 64 years,Serbia,:,:,16.5,17.3,17.2,15.9,15.4,11.8,14.6,8.5
Annual,Percentage,Total,Females,From 18 to 64 years,Sweden,2.6,2.5,2.2,2.2,3.0,3.4,2.9,3.0,2.9,2.6
Annual,Percentage,Total,Females,From 18 to 64 years,Slovenia,9.2 b,8.5,7.1,7.0,6.2,4.9,4.6,4.8,4.1,3.3
Annual,Percentage,Total,Females,From 18 to 64 years,Slovakia,4.4,4.9,4.1,3.8,3.5,3.9,4.7,3.5,3.9,3.3
Annual,Percentage,Total,Females,From 18 to 64 years,Türkiye,26.3,26.2,24.9,24.3,23.6,23.6,22.5,21.7,21.3,20.1
Annual,Percentage,Total,Females,From 18 to 64 years,United Kingdom,2.7,2.2 b,2.2,2.5,2.2,2.0,1.0 b,1.8,:,:
Annual,Percentage,Total,Females,From 18 to 64 years,Kosovo*,:,:,:,:,:,:,:,20.5,:,:
Annual,Percentage,Total,Females,Less than 18 years,Albania,:,:,:,:,:,:,27.1,28.2,26.3,19.9
Annual,Percentage,Total,Females,Less than 18 years,Austria,5.0,5.9,7.4,6.5,7.4,6.4,7.9,4.1,4.7,3.6
Annual,Percentage,Total,Females,Less than 18 years,Belgium,1.3,0.9,1.1,1.5,1.4,2.7 b,3.7,3.5,3.1 b,3.5
Annual,Percentage,Total,Females,Less than 18 years,Bulgaria,24.4,24.3,26.7,25.0 b,22.1,22.0 b,20.7,19.1,16.0,15.4
Annual,Percentage,Total,Females,Less than 18 years,Switzerland,2.0,1.8,1.8,2.1 b,3.3,4.2,4.7,3.0,2.1,2.8
Annual,Percentage,Total,Females,Less than 18 years,Cyprus,2.0,1.7,1.6,1.2,0.5,2.8,1.0,2.3,1.2,2.2
Annual,Percentage,Total,Females,Less than 18 years,Czechia,7.8,5.7,6.8,6.6,5.4,4.7,3.6,3.8,2.7,2.9
Annual,Percentage,Total,Females,Less than 18 years,Germany,3.6,4.3,3.0,2.7,2.5,3.0,3.6,3.9,4.1,2.7 b
Annual,Percentage,Total,Females,Less than 18 years,Denmark,5.1 b,3.6,3.1,4.9,5.1,1.9,3.1,3.9,3.4,3.9
Annual,Percentage,Total,Females,Less than 18 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.9 e,5.2 e,5.0 e,5.3 e,5.5 e,5.0 e,4.3 e,4.6 e,4.3,5.2
Annual,Percentage,Total,Females,Less than 18 years,Euro area - 18 countries (2014),5.0,5.3,5.1,5.3,5.4,5.0,4.3,4.5,4.2,5.1
Annual,Percentage,Total,Females,Less than 18 years,Euro area - 19 countries  (2015-2022),5.1,5.3,5.2,5.4,5.5,5.0,4.3,4.6,4.3,5.2
Annual,Percentage,Total,Females,Less than 18 years,Estonia,8.2,8.2,8.4,7.9 b,4.7,5.1,5.5,5.0,3.7,3.3
Annual,Percentage,Total,Females,Less than 18 years,Greece,8.0,6.6,7.5,7.8,9.1,8.4,7.8,8.3,8.5,8.5
Annual,Percentage,Total,Females,Less than 18 years,Spain,3.5 b,2.2,2.5,3.4,2.1,2.5,1.7,3.2,3.4,6.1
Annual,Percentage,Total,Females,Less than 18 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",7.8 e,7.6 e,7.7 e,7.4 e,7.6 e,7.2 e,6.2 e,6.2 e,5.9 e,:
Annual,Percentage,Total,Females,Less than 18 years,European Union - 27 countries (2007-2013),7.8,7.6,7.7,7.4,7.6,7.2,6.2,6.2,5.9 e,:
Annual,Percentage,Total,Females,Less than 18 years,European Union - 27 countries (from 2020),8.4 e,8.3 e,8.1 e,7.9 e,8.0 e,7.7 e,6.9 e,6.5 e,6.1 e,6.8 e
Annual,Percentage,Total,Females,Less than 18 years,European Union - 28 countries (2013-2020),7.8,7.6,7.7,7.4,7.6,7.2,6.2,6.2,5.9 e,:
Annual,Percentage,Total,Females,Less than 18 years,Finland,0.4,0.9,0.8,0.3,0.4,0.6,0.8,1.2,0.8,1.7
Annual,Percentage,Total,Females,Less than 18 years,France,3.7,4.0,3.7,3.8,4.3,4.7,3.9,4.6,3.4,6.4 b
Annual,Percentage,Total,Females,Less than 18 years,Croatia,13.6,11.3 b,9.8,8.7,8.1,8.5,9.0,7.7,7.9,6.8
Annual,Percentage,Total,Females,Less than 18 years,Hungary,25.7,28.5,28.5,28.7,26.7,29.4,28.5,13.3,19.0,17.5
