Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Cities,Percentage,Albania,:,:,:,60.9,55.4,51.5,46.3,50.0,:,:
Annual,Cities,Percentage,Austria,14.9,10.8,12.5,10.9,9.9,10.5,10.7,8.3,9.0,12.6
Annual,Cities,Percentage,Belgium,17.6,18.3,20.1,17.4,16.8,16.8 b,15.9,14.9,13.7,16.9
Annual,Cities,Percentage,Bulgaria,43.8,42.4,39.3 b,35.6,28.3,25.4,25.1,23.5,22.9,23.6
Annual,Cities,Percentage,Switzerland,7.2,6.3,7.7,6.6,6.6,7.7,5.8,7.2,5.3,6.7
Annual,Cities,Percentage,Cyprus,26.3,20.1,18.6,14.0,12.9,9.6,9.0,9.0,8.9,8.9
Annual,Cities,Percentage,Czechia,13.8,11.1,9.4,9.6,6.5,5.9,5.1,5.1,5.8,7.2
Annual,Cities,Percentage,Germany,13.5,13.1,10.9,9.3,8.7,7.7,11.2 b,10.6,13.2,13.4
Annual,Cities,Percentage,Denmark,8.1,7.1,7.1,6.9,7.2,6.3,6.8,6.2,6.2,8.9
Annual,Cities,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",18.3,16.2,15.4,13.6,13.3,12.7,13.2,12.3,:,:
Annual,Cities,Percentage,Euro area - 18 countries (2014),18.3,16.1,15.3,13.5,13.2,12.7,13.3,:,:,:
Annual,Cities,Percentage,Euro area - 19 countries  (2015-2022),18.3 e,16.2,15.4,13.6,13.3,12.7,13.2,12.3,:,:
Annual,Cities,Percentage,Euro area – 20 countries (from 2023),18.3,16.0,15.2,13.3,13.1,12.7,13.2,12.3,12.9,13.6
Annual,Cities,Percentage,Estonia,16.6,11.3,8.2,10.2,7.5,6.2,5.7,5.2,7.9,7.0
Annual,Cities,Percentage,Greece,34.2,35.6,34.6,33.4,33.0,30.0,29.1,27.6,27.4,27.2
Annual,Cities,Percentage,Spain,20.2,16.1,17.3,15.8,14.4,13.9,15.2,16.1,15.3,17.9
Annual,Cities,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",19.8,17.3,16.0,14.1,13.2,12.8,:,:,:,:
Annual,Cities,Percentage,European Union - 27 countries (2007-2013),19.8,17.3,16.0,14.1,13.2,12.8,:,:,:,:
Annual,Cities,Percentage,European Union - 27 countries (from 2020),19.7,17.4,16.2,14.5,13.6,12.8,13.1,12.0,12.7,13.4
Annual,Cities,Percentage,European Union - 28 countries (2013-2020),19.8,17.3,16.0,14.1,13.2,12.8,:,:,:,:
Annual,Cities,Percentage,Finland,4.3,3.5,3.6,5.4,5.8,4.9,4.6,3.7,5.0,6.7
Annual,Cities,Percentage,France,15.2,13.0,13.9,13.0,14.3,16.0,15.6 b,11.6,14.8 b,14.4
Annual,Cities,Percentage,Croatia,18.9,16.5,13.4,10.8,10.7,10.5,8.7,7.3,7.7,4.3
Annual,Cities,Percentage,Hungary,34.7,29.9,24.4,20.9,15.1,16.5,14.4,12.4,12.7,11.1
Annual,Cities,Percentage,Ireland,19.3,19.4,16.6,14.6,11.3,11.0 b,11.4 b,10.2,10.8,10.4
Annual,Cities,Percentage,Iceland,5.3,4.3,3.5,3.3,3.2,2.7,:,:,:,:
Annual,Cities,Percentage,Italy,23.4,22.1 b,19.5,15.6,15.7,14.0,13.5,13.1,10.1,10.1
Annual,Cities,Percentage,Lithuania,26.9,25.0,24.3,20.6,19.2,16.1,12.5,10.0,9.3,8.6
Annual,Cities,Percentage,Luxembourg,5.4,7.9,4.0 b,3.9,5.3,2.4,3.5 b,4.7 b,2.8 b,2.9
Annual,Cities,Percentage,Latvia,32.1,24.9,21.3,22.0,17.0,14.0,14.1,9.8,11.9,11.8
Annual,Cities,Percentage,North Macedonia,:,:,44.5,35.2,38.0,38.1,34.4,:,:,:
Annual,Cities,Percentage,Malta,24.0,16.7,11.7,8.7,10.2,10.2,9.6,11.9,12.6,10.9
