Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,12.4
Annual,Median equivalised income,Above 60%,Percentage,Austria,1.5
Annual,Median equivalised income,Above 60%,Percentage,Belgium,0.9
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,3.3
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,3.8
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,25.5
Annual,Median equivalised income,Above 60%,Percentage,Czechia,1.2
Annual,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,22.2
Annual,Median equivalised income,Above 60%,Percentage,Estonia,4.7
Annual,Median equivalised income,Above 60%,Percentage,Greece,9.8
Annual,Median equivalised income,Above 60%,Percentage,Spain,2.8
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),7.2 u
Annual,Median equivalised income,Above 60%,Percentage,Finland,1.1
Annual,Median equivalised income,Above 60%,Percentage,France,2.9
Annual,Median equivalised income,Above 60%,Percentage,Croatia,3.1
Annual,Median equivalised income,Above 60%,Percentage,Hungary,7.8
Annual,Median equivalised income,Above 60%,Percentage,Ireland,5.9
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,5.6 u
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,5.0
Annual,Median equivalised income,Above 60%,Percentage,Latvia,4.5
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,5.2
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,2.1
Annual,Median equivalised income,Above 60%,Percentage,Malta,2.8
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,31.5
Annual,Median equivalised income,Above 60%,Percentage,Norway,53.2
Annual,Median equivalised income,Above 60%,Percentage,Poland,2.7
Annual,Median equivalised income,Above 60%,Percentage,Portugal,2.8
Annual,Median equivalised income,Above 60%,Percentage,Romania,2.5
Annual,Median equivalised income,Above 60%,Percentage,Serbia,5.4
Annual,Median equivalised income,Above 60%,Percentage,Sweden,41.5
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,0.7
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,1.7
Annual,Median equivalised income,Below 60%,Percentage,Albania,1.7
Annual,Median equivalised income,Below 60%,Percentage,Austria,5.7
Annual,Median equivalised income,Below 60%,Percentage,Belgium,0.2
