Time frequency,Tenure status,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,"Owner, with mortgage or loan",Percentage,Albania,:,:,:,53.9,63.7,44.4,36.0,40.7,:,:
Annual,"Owner, with mortgage or loan",Percentage,Austria,:,5.6,6.6,7.0,8.0,5.2,6.6,6.6,6.1,6.4
Annual,"Owner, with mortgage or loan",Percentage,Belgium,:,9.4,9.4,9.3,7.4,6.8 b,6.6 b,6.8,7.1,7.2
Annual,"Owner, with mortgage or loan",Percentage,Bulgaria,:,30.7,25.1 b,19.1,16.9,16.4,10.8,11.4,13.2,12.4
Annual,"Owner, with mortgage or loan",Percentage,Switzerland,10.4,11.3,9.8,9.8,10.0,10.4,10.9,11.2,11.5,12.6
Annual,"Owner, with mortgage or loan",Percentage,Cyprus,:,14.1,15.1,11.1,8.1,6.6,8.6,9.8,8.3,8.4
Annual,"Owner, with mortgage or loan",Percentage,Czechia,:,4.8,5.7,5.6,4.0,4.0,3.7,2.8,4.5,3.8
Annual,"Owner, with mortgage or loan",Percentage,Germany,:,7.2,7.9,6.7,6.0,5.5,9.9 b,10.3,8.6,9.4
Annual,"Owner, with mortgage or loan",Percentage,Denmark,:,6.2,6.0,6.8,5.6,6.6,6.1 b,6.0,5.7,6.5
Annual,"Owner, with mortgage or loan",Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,11.8,11.3,10.0,9.9,9.1,10.1 b,10.6,:,:
Annual,"Owner, with mortgage or loan",Percentage,Euro area - 18 countries (2014),:,11.8,11.3,10.0,9.9,9.1,10.1 b,:,:,:
Annual,"Owner, with mortgage or loan",Percentage,Euro area - 19 countries  (2015-2022),:,11.8,11.3,10.0,9.9,9.1,10.1 b,10.7,:,:
Annual,"Owner, with mortgage or loan",Percentage,Euro area – 20 countries (from 2023),13.3,11.8,11.3,10.0,9.9,9.1,10.1 b,10.6,10.0,10.7
Annual,"Owner, with mortgage or loan",Percentage,Estonia,:,7.1,6.9,7.3,9.3,7.6,7.1,5.8,6.8,7.1
Annual,"Owner, with mortgage or loan",Percentage,Greece,:,28.5,30.3,30.3,30.2,26.3,23.4,27.8,23.8,23.8
Annual,"Owner, with mortgage or loan",Percentage,Spain,:,22.6,21.2,18.1,18.6,17.8,16.9,19.6,17.8,19.6
Annual,"Owner, with mortgage or loan",Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,8.7,:,:,:,:
Annual,"Owner, with mortgage or loan",Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,9.0 e,:,:,:,:
Annual,"Owner, with mortgage or loan",Percentage,European Union - 27 countries (from 2020),:,11.5,11.0,9.7,9.3,8.7,9.5 b,10.0,9.5,10.2
Annual,"Owner, with mortgage or loan",Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,8.7,:,:,:,:
Annual,"Owner, with mortgage or loan",Percentage,Finland,:,6.3,5.4,5.4,6.1,5.7 b,5.5,4.7,4.2 b,4.9
Annual,"Owner, with mortgage or loan",Percentage,France,:,8.8,8.7,7.6,7.9,6.9,7.2 b,6.8,7.1 b,8.7
Annual,"Owner, with mortgage or loan",Percentage,Croatia,16.3,10.3,10.5,8.9,7.0,4.9,5.1,4.3,7.2,7.3 b
Annual,"Owner, with mortgage or loan",Percentage,Hungary,:,29.9,29.5,22.5,14.9,15.7,12.5,12.4,12.2,13.6
Annual,"Owner, with mortgage or loan",Percentage,Ireland,:,12.3,10.9,8.3,8.6,8.4 b,6.3 b,7.1,8.2,7.1
Annual,"Owner, with mortgage or loan",Percentage,Iceland,:,7.5,6.9,6.0,6.3,8.0,:,:,:,:
Annual,"Owner, with mortgage or loan",Percentage,Italy,:,16.4,14.2,12.4,13.2,12.5,12.9,13.8,13.3,14.6
Annual,"Owner, with mortgage or loan",Percentage,Lithuania,:,8.8,10.6,8.7,10.3,14.8,9.5,6.2,8.0,9.6
Annual,"Owner, with mortgage or loan",Percentage,Luxembourg,:,11.5,13.5 b,12.8,12.8,14.1,12.9 b,14.6 b,12.0 b,14.8
Annual,"Owner, with mortgage or loan",Percentage,Latvia,:,10.3,8.8,9.2,8.5,5.6,5.7 p,6.2,5.9,5.4
Annual,"Owner, with mortgage or loan",Percentage,Montenegro,:,18.8,21.4,23.2,15.2,14.6,24.7,23.7,12.5,:
Annual,"Owner, with mortgage or loan",Percentage,North Macedonia,:,33.0,36.5,14.0,13.6 u,37.4,18.4,:,:,:
Annual,"Owner, with mortgage or loan",Percentage,Malta,:,13.1,11.0,8.9,9.0,9.7,10.8,10.7,8.8,10.1
Annual,"Owner, with mortgage or loan",Percentage,Netherlands,:,6.6,5.8 b,6.3,6.4,6.4,6.1,5.3,5.9,6.0
Annual,"Owner, with mortgage or loan",Percentage,Norway,:,6.6,6.6,6.9,7.4,6.7,7.7,7.3 b,7.9,7.8 b
Annual,"Owner, with mortgage or loan",Percentage,Poland,:,7.0,7.6,6.7,4.3,5.6,5.4,7.3,6.9,7.0
Annual,"Owner, with mortgage or loan",Percentage,Portugal,:,16.9,15.8,13.7,12.6,12.0,12.4,14.7,12.3,8.9
Annual,"Owner, with mortgage or loan",Percentage,Romania,:,20.3,31.0,9.5,7.6,10.0,10.2,1.3,4.8,7.3
Annual,"Owner, with mortgage or loan",Percentage,Serbia,:,11.2,4.4,27.8,3.9,1.5,0.0,1.7,5.5,:
Annual,"Owner, with mortgage or loan",Percentage,Sweden,:,6.8,6.4,5.5,5.1,5.9,5.8,5.0,6.6,6.5
Annual,"Owner, with mortgage or loan",Percentage,Slovenia,:,10.2,8.0,8.7,6.2,4.2,6.3,4.9,4.6,5.4
Annual,"Owner, with mortgage or loan",Percentage,Slovakia,:,15.1,13.9,12.4,12.2,10.1,8.9,8.1,14.0,:
Annual,"Owner, with mortgage or loan",Percentage,Türkiye,:,8.5,6.9,12.4,15.1,15.0,15.8,16.6,16.3,15.9
Annual,"Owner, with mortgage or loan",Percentage,United Kingdom,:,9.4,8.6,8.8 b,10.2,:,:,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Albania,:,:,:,58.2,53.8,50.6,46.2,46.7,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Austria,:,10.2,9.5,9.8,10.5,10.6,10.5,9.7,9.2,9.9
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Belgium,:,16.2,15.8,16.6,16.3,16.5 b,16.8 b,15.9,15.5,15.1
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Bulgaria,:,42.8,40.3 b,37.3,32.8,32.9,33.0,30.8,31.1,28.6
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Switzerland,20.7,25.9,26.7,24.1,21.4,31.1,24.8,27.2,26.1,28.8
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Cyprus,:,18.5,17.8,16.9,14.6,13.7,12.8,12.8,12.6,12.7
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Czechia,:,10.0,9.1,9.4,9.7,10.6,9.1,8.3,9.5,9.0
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Germany,:,12.2,12.2,12.4,12.3,11.9,13.7 b,14.2,13.6,12.3
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Denmark,:,16.3,14.8,14.3,13.3,14.0,16.0 b,17.7,17.5,15.3
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,19.4,19.1,18.4,18.0,17.7,18.1 b,18.5,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Euro area - 18 countries (2014),:,19.2,18.9,18.2,17.8,17.6,17.8 b,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Euro area - 19 countries  (2015-2022),:,19.4,19.1,18.4,18.0,17.7,18.0 b,18.4,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Euro area – 20 countries (from 2023),20.2,19.5,19.2,18.5,18.1,17.8,18.1 b,18.5,18.3,17.6
