Time frequency,International Standard Classification of Education (ISCED 2011),Statistical information,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Austria,7.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Belgium,7.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Bulgaria,5.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Switzerland,7.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Cyprus,7.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Czechia,7.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Germany,7.0 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Denmark,7.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Euro area – 20 countries (from 2023),7.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Estonia,7.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Greece,6.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Spain,7.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),European Union - 27 countries (from 2020),7.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Finland,8.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),France,6.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Croatia,6.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Hungary,7.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Ireland,7.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Italy,6.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Lithuania,7.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Luxembourg,6.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Latvia,7.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Malta,7.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Netherlands,7.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Norway,8.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Poland,6.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Portugal,7.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Romania,7.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Sweden,7.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Slovenia,7.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Slovakia,7.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Average,16 years or over,Total,Rating (0-10),Türkiye,5.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Austria,7.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Belgium,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Bulgaria,6.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Switzerland,7.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Cyprus,7.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Czechia,7.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Germany,7.2 u
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Denmark,7.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Euro area – 20 countries (from 2023),7.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Estonia,7.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Greece,6.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Spain,7.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),European Union - 27 countries (from 2020),7.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Finland,7.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),France,7.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Croatia,7.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Hungary,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Ireland,7.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Italy,7.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Lithuania,7.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Luxembourg,7.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Latvia,7.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Malta,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Netherlands,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Norway,8.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Poland,7.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Portugal,7.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Romania,7.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Sweden,7.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Slovenia,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Slovakia,7.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Average,16 years or over,Total,Rating (0-10),Türkiye,6.1
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Austria,7.7
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Belgium,7.7
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Bulgaria,6.9
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Switzerland,7.8
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Cyprus,8.0
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Czechia,8.1
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Germany,7.4 u
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Denmark,7.6
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Euro area – 20 countries (from 2023),7.4
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Estonia,7.7
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Greece,7.3
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Spain,7.3
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),European Union - 27 countries (from 2020),7.5
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Finland,8.0
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),France,7.2
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Croatia,7.8
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Hungary,8.0
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Ireland,7.6
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Italy,7.5
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Lithuania,8.1
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Luxembourg,7.3
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Latvia,7.8
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Malta,7.8
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Netherlands,7.7
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Norway,7.9
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Poland,7.6
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Portugal,7.2
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Romania,8.4
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Sweden,7.5
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Slovenia,7.9
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Slovakia,8.3
Annual,Tertiary education (levels 5-8),Average,16 years or over,Total,Rating (0-10),Türkiye,6.2
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Austria,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Belgium,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Bulgaria,6.2
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Switzerland,7.8
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Cyprus,7.9
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Czechia,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Germany,7.2 u
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Denmark,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Euro area – 20 countries (from 2023),7.3
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Estonia,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Greece,6.8
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Spain,7.3
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),European Union - 27 countries (from 2020),7.4
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Finland,7.9
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),France,7.1
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Croatia,7.4
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Hungary,7.8
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Ireland,7.6
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Italy,7.2
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Lithuania,7.8
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Luxembourg,7.2
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Latvia,7.6
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Malta,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Netherlands,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Norway,8.0
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Poland,7.4
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Portugal,7.3
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Romania,7.9
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Sweden,7.6
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Slovenia,7.8
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Slovakia,7.7
Annual,All ISCED 2011 levels,Average,16 years or over,Total,Rating (0-10),Türkiye,5.9
