Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Albania,:,:,:,:,:,:,:,75.1,71.1,64.5,64.0,66.8,:,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Austria,21.0,21.9,22.4,20.0,22.5,20.4,20.0,20.0,19.1,20.1,16.5,19.0,21.5,24.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Belgium,30.0,29.4,29.5,30.9,31.2,30.5,33.3,31.8,29.8,29.5 b,27.7,26.3,30.3,28.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Bulgaria,79.9,78.3,80.1,81.9,81.0 b,83.0,82.7 b,80.8,80.2,75.9,71.8,63.9,67.9,60.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Switzerland,19.8,23.8,22.9,19.7,20.9 b,20.1,23.3,20.7,21.1,21.2,20.5,18.4,19.4,20.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Cyprus,59.6,62.9,57.9,66.8,70.7,68.2,69.2,57.9,56.0,48.1,38.5,38.5,41.4,36.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Czechia,41.2,41.7,45.6,48.7,46.2,43.1,41.3,37.3,31.3,26.6,23.2,21.4,23.1,25.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Germany,16.6,17.9,17.7,19.4,17.4,16.4,16.4,13.5,13.4,12.5,12.0 b,12.8,15.3,17.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Denmark,9.2,8.9,11.6,12.8,14.4,11.2,11.5,11.4,11.2,11.6,12.7,12.6,13.7,16.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Euro area – 20 countries (from 2023),36.0,35.3,37.3,40.4,40.9,38.9,37.5,32.2,33.5,28.5,28.9,27.6,28.6,27.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Estonia,32.8,33.8,33.5,35.5,28.0 b,25.6,24.0,23.5,24.4,19.5,15.9,13.3,18.6,19.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Greece,71.8,70.8,79.8,85.4,86.5,84.1,84.7,84.3,82.1,80.8,80.8,82.6,81.6,81.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Spain,38.8,34.1,40.0,45.3,46.9,43.1,44.2,32.4,34.9,28.1,28.9,28.1,28.5,28.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,European Union - 27 countries (from 2020),38.4,38.0,39.8,42.4,42.5,40.6,39.0,34.2,34.8,30.0,30.5,28.9,29.5,28.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Finland,7.8,8.8,7.5,7.4,7.4,7.5,8.9,7.8,7.1,7.8,8.0,6.6,7.3,7.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,France,23.7,21.8,21.2,23.4,23.8,22.4,22.7,22.6,22.4,22.0,25.6 b,20.9,28.3 b,29.6
