Time frequency,Frequency,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2015.0,2022.0
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,89.1,90.0,82.1
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,91.8,88.0,79.8
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,55.5,56.7,41.0
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,:,95.5,92.3
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,86.5,78.0,63.9
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,86.9,91.2,80.8
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,92.9,91.7,: u
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,95.9,97.2,89.5
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,88.2,93.5,85.4
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,83.1,78.2,69.7
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,88.6,84.5,84.5
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),:,85.6,:
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,94.1,95.5,83.2
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,91.5,94.0,80.0
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,:,77.8,76.1
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Hungary,79.2,78.9,66.2
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,90.3,88.7 u,85.0
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,98.1,97.5,:
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,85.1,77.0,67.7
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,84.2,89.5,74.4
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,91.0,94.0,93.3
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,83.0,88.3,61.2
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,North Macedonia,:,56.9,:
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Malta,74.6,76.1,64.8
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Netherlands,92.9,96.4,91.1
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Norway,95.3,96.9,90.2
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Poland,81.0,82.4 u,80.0
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Portugal,88.5,88.8,84.6
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Romania,:,51.2,44.8
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Serbia,:,69.4,70.9
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Sweden,95.4,95.5,82.7
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovenia,88.1,89.5,76.9
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovakia,90.8,86.9,69.6
Annual,At least once,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,United Kingdom,89.5,88.2 u,:
