Time frequency,Classification of activities for time use,Income quantile,Degree of urbanisation,Household composition,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Albania,21.4
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Austria,0.0 n
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Belgium,8.1
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Bulgaria,6.7
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Switzerland,5.4 u
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Cyprus,5.8
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Czechia,3.5
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Germany,: u
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Denmark,6.6
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Estonia,3.0
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Greece,12.3
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Spain,12.0
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Finland,2.4
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,France,11.8
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Croatia,2.1
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Hungary,10.8
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Ireland,7.8
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Italy,7.9
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Lithuania,7.1
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Luxembourg,6.6
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Latvia,5.2
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Malta,4.2
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Netherlands,6.0
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Norway,3.5
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Poland,4.0 u
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Portugal,8.7
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Romania,7.2
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Serbia,7.9
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Sweden,3.7
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Slovenia,4.0
Annual,Cinema,Total,Total,Total,Financial reasons,Percentage,Slovakia,3.6
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Albania,14.7
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Austria,0.0 n
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Belgium,1.7
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Bulgaria,5.4
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Switzerland,2.8 u
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Cyprus,0.2
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Czechia,1.4
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Germany,: u
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Denmark,2.1
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Estonia,3.8
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Greece,6.4
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Spain,4.6
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Finland,4.3
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,France,2.1
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Croatia,4.3
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Hungary,3.7
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Ireland,3.7
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Italy,2.1
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Lithuania,6.8
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Luxembourg,1.9
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Latvia,11.9
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Malta,0.2
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Netherlands,1.0
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Norway,6.1
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Poland,6.4 u
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Portugal,4.8
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Romania,10.7
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Serbia,6.0
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Sweden,2.1
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Slovenia,2.9
Annual,Cinema,Total,Total,Total,No such activities in the neighbourhood,Percentage,Slovakia,1.7
Annual,Cinema,Total,Total,Total,No interest,Percentage,Albania,31.6
Annual,Cinema,Total,Total,Total,No interest,Percentage,Austria,0.0 n
Annual,Cinema,Total,Total,Total,No interest,Percentage,Belgium,39.6
Annual,Cinema,Total,Total,Total,No interest,Percentage,Bulgaria,7.5
Annual,Cinema,Total,Total,Total,No interest,Percentage,Switzerland,22.0 u
Annual,Cinema,Total,Total,Total,No interest,Percentage,Cyprus,27.5
Annual,Cinema,Total,Total,Total,No interest,Percentage,Czechia,26.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,Germany,: u
Annual,Cinema,Total,Total,Total,No interest,Percentage,Denmark,39.5
Annual,Cinema,Total,Total,Total,No interest,Percentage,Estonia,9.4
Annual,Cinema,Total,Total,Total,No interest,Percentage,Greece,25.7
Annual,Cinema,Total,Total,Total,No interest,Percentage,Spain,20.7
Annual,Cinema,Total,Total,Total,No interest,Percentage,Finland,18.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,France,28.2
Annual,Cinema,Total,Total,Total,No interest,Percentage,Croatia,26.1
Annual,Cinema,Total,Total,Total,No interest,Percentage,Hungary,19.6
Annual,Cinema,Total,Total,Total,No interest,Percentage,Ireland,33.0
Annual,Cinema,Total,Total,Total,No interest,Percentage,Italy,22.4
Annual,Cinema,Total,Total,Total,No interest,Percentage,Lithuania,11.0
Annual,Cinema,Total,Total,Total,No interest,Percentage,Luxembourg,23.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,Latvia,13.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,Malta,30.3
Annual,Cinema,Total,Total,Total,No interest,Percentage,Netherlands,31.2
Annual,Cinema,Total,Total,Total,No interest,Percentage,Norway,28.7
Annual,Cinema,Total,Total,Total,No interest,Percentage,Poland,19.3 u
Annual,Cinema,Total,Total,Total,No interest,Percentage,Portugal,37.6
Annual,Cinema,Total,Total,Total,No interest,Percentage,Romania,17.3
Annual,Cinema,Total,Total,Total,No interest,Percentage,Serbia,29.4
Annual,Cinema,Total,Total,Total,No interest,Percentage,Sweden,27.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,Slovenia,31.5
Annual,Cinema,Total,Total,Total,No interest,Percentage,Slovakia,17.9
Annual,Cinema,Total,Total,Total,No time,Percentage,Albania,7.0
