Time frequency,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2015.0
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,96.4,96.5
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,91.9,93.2
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,90.1,95.3
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,95.9,95.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,95.6,98.0
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,94.6 u,97.7
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,90.5,96.2
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,94.0,96.2
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,93.6,94.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,76.8,96.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,97.8,97.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),92.0 u,93.8 e
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,96.0,95.6
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,France,90.4 u,87.6 u
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,90.0 u,95.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,95.8,97.7
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,95.3 u,96.0 u
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,94.5,95.5
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,87.9 u,88.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,92.4 u,95.0
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,94.1 u,94.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,91.8,93.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,: u,91.3
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,92.2 u,94.9
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,93.8,92.3
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,97.1,96.9
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,93.0 u,95.3 u
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,92.9 u,93.9
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,92.9,95.2
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,93.7 u,96.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,94.7,95.6
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,97.0,97.6
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,96.9,97.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,92.8 u,95.4 u
