Time frequency,Classification of activities for time use,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Albania,20.2
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Austria,0.0 n
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Belgium,12.9
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Bulgaria,6.1
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Switzerland,8.1 u
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Cyprus,8.1
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Czechia,4.4
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Denmark,10.8
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Estonia,4.7
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Greece,8.5
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Spain,13.3
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Finland,4.1
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,France,15.7
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Croatia,2.4
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Hungary,14.1
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Ireland,10.4
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Italy,8.1
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Lithuania,9.4
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Luxembourg,9.3
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Latvia,6.9
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Montenegro,4.2
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Malta,8.4
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Netherlands,9.7
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Norway,6.8
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Poland,5.6 u
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Portugal,12.0
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Romania,7.0
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Serbia,9.0
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Sweden,6.7
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovenia,5.8
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovakia,3.4
Annual,Cinema,Financial reasons,Some or severe,Total,16 years or over,Percentage,Türkiye,12.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Albania,21.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Austria,0.0 n
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Belgium,16.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Bulgaria,9.5
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Switzerland,10.7 u
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Cyprus,12.1
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Czechia,5.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Denmark,13.5
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Estonia,13.2
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Greece,10.8
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Spain,18.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Finland,5.1
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,France,15.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Croatia,4.1
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Hungary,22.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Ireland,12.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Italy,8.8
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Lithuania,15.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Luxembourg,12.9
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Latvia,15.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Montenegro,5.1
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Malta,9.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Netherlands,11.2
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Norway,8.9
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Poland,7.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Portugal,11.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Romania,10.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Serbia,10.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Sweden,7.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovenia,7.1
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovakia,4.8
