Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT manufacturing,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,0 b
Annual,ICT manufacturing,Austria,0.39 b,0.37,0.28,0.27,0.29,0.28,: @C,0.29,0.29,0.29,0.31 b,0.31,0.31,0.33 b
Annual,ICT manufacturing,Bosnia and Herzegovina,: b,:,:,:,:,:,:,:,:,:,:,:,:,0 b
Annual,ICT manufacturing,Belgium,: @C,0.37,0.27,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.13 b,0.15,0.15 p,0.15 b
Annual,ICT manufacturing,Bulgaria,0.16 b,0.12,0.13,0.15,0.14,0.14,0.15,0.16,0.16,0.16,0.17 b,0.14,0.13,0.12 b
Annual,ICT manufacturing,Switzerland,: b,0.78,0.73 b,0.68,0.69 d,0.68,0.67,0.58,0.56,0.51 d,0.52,0.52,0.54,0.55 be
Annual,ICT manufacturing,Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: b@C
Annual,ICT manufacturing,Czechia,: @C,0.67,0.57,0.58,0.54,0.48,0.46,0.46,0.47,0.47,0.45,0.44,0.45,0.46 b
Annual,ICT manufacturing,Germany,0.43 b,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.33 b,0.33 p,0.3 p,0.31 bp
Annual,ICT manufacturing,Denmark,0.27 b,0.22,0.21,0.27,: @C,: @C,: @C,: @C,: @C,: @C,0.15,0.16,0.15,0.15 b
Annual,ICT manufacturing,Estonia,0.96 b,0.83,0.83,0.86,0.82,0.85,0.81,0.78,0.77,0.79,0.79 b,0.78,: @C,: b@C
Annual,ICT manufacturing,Greece,: @C,: @C,: @C,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03 b,0.03,0.03 p,0.03 bp
Annual,ICT manufacturing,Spain,0.12 b,0.1,0.11,0.09,0.08,0.08,0.08,: @C,: @C,: @C,0.08 b,: @C,: @C,: b@C
Annual,ICT manufacturing,European Union - 27 countries (from 2020),: b,:,:,:,:,:,:,:,:,:,:,0.27,0.27,0.25 b
Annual,ICT manufacturing,Finland,1.27 b,1.22,1.12,1.01,0.91,: @C,: @C,0.64,: @C,0.45 b,0.45,0.44,0.44,: b@C
Annual,ICT manufacturing,France,: b,:,0.29,0.29,0.28,0.26,0.24 b,0.25 b,0.24 be,0.22 be,0.31,0.32,0.33,0.2 bp
Annual,ICT manufacturing,Croatia,0.38 b,0.25,0.22,0.21,0.12,0.25,0.24,0.26,0.26,0.26,0.26,0.11 b,0.12,0.13 b
Annual,ICT manufacturing,Hungary,1.41 b,1.21,1.35,1.37,1.2,1.09,0.89,0.89,0.93,0.95,0.92 b,0.93,0.84,0.76 b
Annual,ICT manufacturing,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,0.71 b
Annual,ICT manufacturing,Iceland,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT manufacturing,Italy,0.34 b,0.32,0.3,0.3,0.29,0.26,0.23,0.22,0.22,0.22 b,0.22,0.22,: @C,: b@C
Annual,ICT manufacturing,Lithuania,0.19 b,: @C,0.2,0.18,0.16,0.12,0.13,0.12,0.12,0.15,0.13 b,0.14,0.15,0.19 b
Annual,ICT manufacturing,Luxembourg,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: b@C
Annual,ICT manufacturing,Latvia,0.12 b,0.1,0.1,0.1,0.12,0.12,0.14,0.14,0.16,0.17,0.18,0.19,0.19,0.21 b
Annual,ICT manufacturing,Montenegro,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
