Time frequency,Information society indicator,Individual type,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2009.0,2011.0,2012.0,2014.0,2015.0,2016.0,2017.0,2019.0
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Austria,69.77,75.46,73.28,77.45,78.26,76.93,73.65,68.59,73.82,71.19
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Belgium,59.02,60.73,57.49,70.23,64.73,67.23,58.09,60.4,58.2,51.58
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Bulgaria,42.49,44.83,51.45,55.34,61.66,65.24,56.86,49.93,57.34,54.1
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Cyprus,47.29,51.41,55.0,57.9,:,65.93,53.18,51.77,52.84,53.31
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Czechia,55.69,61.89,63.75,68.33,75.04,77.79,69.12,67.97 u,70.87,65.83 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Germany,70.06,71.17,71.73,74.8,:,79.46,72.83,72.17,72.97,75.0
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Denmark,84.24,78.4,81.51,83.52,84.72,82.41,82.07,79.36,76.06,74.51
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",58.28,61.71,64.21,68.19,68.44,71.36,63.92,63.4,64.24,64.67
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Estonia,50.07,54.82,60.25,63.71,67.99,73.15 b,70.91,62.93,60.83,66.78
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Greece,54.2,49.4,46.11,56.68,:,61.74,64.98,63.69,66.11,68.82
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Spain,55.05,59.44,59.54,60.68,67.16,67.64,63.14,62.11,63.07,65.03
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,European Union - 15 countries (1995-2004),59.04,62.64,64.74,69.42,67.31,72.12,63.29,63.13,65.08,:
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,European Union - 25 countries (2004-2006),58.84,61.84,63.89,:,:,:,:,:,:,:
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,European Union - 28 countries (2013-2020),:,60.2,62.91,67.97,66.12,70.73,63.13,63.37,65.17,64.8
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Finland,74.53,73.45,79.17,85.64,84.21,86.77,75.43,74.97,78.05,77.44
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,France,54.37,62.16,67.65,71.73,73.79,73.52,59.93,59.64,60.82,62.72
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Croatia,:,54.37,29.44,66.39,65.21,64.96,72.22,72.32,62.73,73.23
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Hungary,64.64,65.49,66.01,71.31,75.19,75.69,68.08,66.7,65.92,63.62
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Ireland,56.41,57.9,61.39,69.45,:,65.23,53.22,48.73,52.61,57.95
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Iceland,:,:,: u,84.64,85.74,75.13,:,:,75.07,72.22
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Italy,41.93,45.45,51.72,56.91,56.39,59.77,54.92,53.66,: u,49.83 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in cities,Percentage of individuals,Lithuania,60.48,61.67,63.63,65.41,66.0,74.2,65.11,67.42,69.72,70.61
