Time frequency,Economical indicator for structural business statistics,Power asymmetry,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Bulgaria,: @C
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Hungary,4.0
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Italy,20.0
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Portugal,30.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Bulgaria,65.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Hungary,109.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Italy,410.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Portugal,257.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,32.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,60.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,115.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,117.0
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Bulgaria,: @C
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Hungary,31.0
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Italy,100.0
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Portugal,111.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Bulgaria,136.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Hungary,204.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Italy,646.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Portugal,515.0
Annual,Enterprises - number,High buyer importance,Industry and construction (except manufacturing),Number,Bulgaria,0.0
Annual,Enterprises - number,High buyer importance,Industry and construction (except manufacturing),Number,Hungary,0.0
Annual,Enterprises - number,High buyer importance,Industry and construction (except manufacturing),Number,Italy,7.0
Annual,Enterprises - number,High buyer importance,Industry and construction (except manufacturing),Number,Portugal,1.0
Annual,Enterprises - number,High buyer importance,Manufacturing,Number,Bulgaria,39.0
Annual,Enterprises - number,High buyer importance,Manufacturing,Number,Hungary,54.0
Annual,Enterprises - number,High buyer importance,Manufacturing,Number,Italy,385.0
Annual,Enterprises - number,High buyer importance,Manufacturing,Number,Portugal,32.0
Annual,Enterprises - number,High buyer importance,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,15.0
Annual,Enterprises - number,High buyer importance,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,40.0
Annual,Enterprises - number,High buyer importance,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,81.0
Annual,Enterprises - number,High buyer importance,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,40.0
Annual,Enterprises - number,High buyer importance,Services of the business economy (except trade),Number,Bulgaria,6.0
Annual,Enterprises - number,High buyer importance,Services of the business economy (except trade),Number,Hungary,33.0
Annual,Enterprises - number,High buyer importance,Services of the business economy (except trade),Number,Italy,95.0
Annual,Enterprises - number,High buyer importance,Services of the business economy (except trade),Number,Portugal,10.0
Annual,Enterprises - number,High buyer importance,Total - all NACE activities,Number,Bulgaria,60.0
Annual,Enterprises - number,High buyer importance,Total - all NACE activities,Number,Hungary,127.0
Annual,Enterprises - number,High buyer importance,Total - all NACE activities,Number,Italy,568.0
Annual,Enterprises - number,High buyer importance,Total - all NACE activities,Number,Portugal,83.0
Annual,Enterprises - number,Low switching costs,Industry and construction (except manufacturing),Number,Bulgaria,41.0
Annual,Enterprises - number,Low switching costs,Industry and construction (except manufacturing),Number,Hungary,55.0
Annual,Enterprises - number,Low switching costs,Industry and construction (except manufacturing),Number,Italy,161.0
Annual,Enterprises - number,Low switching costs,Industry and construction (except manufacturing),Number,Portugal,112.0
Annual,Enterprises - number,Low switching costs,Manufacturing,Number,Bulgaria,330.0
Annual,Enterprises - number,Low switching costs,Manufacturing,Number,Hungary,555.0
Annual,Enterprises - number,Low switching costs,Manufacturing,Number,Italy,2743.0
Annual,Enterprises - number,Low switching costs,Manufacturing,Number,Portugal,868.0
Annual,Enterprises - number,Low switching costs,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,147.0
Annual,Enterprises - number,Low switching costs,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,184.0
Annual,Enterprises - number,Low switching costs,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,609.0
Annual,Enterprises - number,Low switching costs,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,293.0
Annual,Enterprises - number,Low switching costs,Services of the business economy (except trade),Number,Bulgaria,140.0
Annual,Enterprises - number,Low switching costs,Services of the business economy (except trade),Number,Hungary,341.0
Annual,Enterprises - number,Low switching costs,Services of the business economy (except trade),Number,Italy,774.0
Annual,Enterprises - number,Low switching costs,Services of the business economy (except trade),Number,Portugal,306.0
Annual,Enterprises - number,Low switching costs,Total - all NACE activities,Number,Bulgaria,658.0
Annual,Enterprises - number,Low switching costs,Total - all NACE activities,Number,Hungary,1135.0
Annual,Enterprises - number,Low switching costs,Total - all NACE activities,Number,Italy,4286.0
Annual,Enterprises - number,Low switching costs,Total - all NACE activities,Number,Portugal,1579.0
Annual,Enterprises - number,Strong power asymmetry,Industry and construction (except manufacturing),Number,Bulgaria,: @C
Annual,Enterprises - number,Strong power asymmetry,Industry and construction (except manufacturing),Number,Hungary,8.0
Annual,Enterprises - number,Strong power asymmetry,Industry and construction (except manufacturing),Number,Italy,23.0
Annual,Enterprises - number,Strong power asymmetry,Industry and construction (except manufacturing),Number,Portugal,5.0
Annual,Enterprises - number,Strong power asymmetry,Manufacturing,Number,Bulgaria,83.0
Annual,Enterprises - number,Strong power asymmetry,Manufacturing,Number,Hungary,83.0
Annual,Enterprises - number,Strong power asymmetry,Manufacturing,Number,Italy,685.0
Annual,Enterprises - number,Strong power asymmetry,Manufacturing,Number,Portugal,229.0
Annual,Enterprises - number,Strong power asymmetry,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,35.0
Annual,Enterprises - number,Strong power asymmetry,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,57.0
Annual,Enterprises - number,Strong power asymmetry,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,162.0
Annual,Enterprises - number,Strong power asymmetry,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,78.0
Annual,Enterprises - number,Strong power asymmetry,Services of the business economy (except trade),Number,Bulgaria,: @C
Annual,Enterprises - number,Strong power asymmetry,Services of the business economy (except trade),Number,Hungary,25.0
Annual,Enterprises - number,Strong power asymmetry,Services of the business economy (except trade),Number,Italy,159.0
Annual,Enterprises - number,Strong power asymmetry,Services of the business economy (except trade),Number,Portugal,69.0
Annual,Enterprises - number,Strong power asymmetry,Total - all NACE activities,Number,Bulgaria,139.0
Annual,Enterprises - number,Strong power asymmetry,Total - all NACE activities,Number,Hungary,173.0
Annual,Enterprises - number,Strong power asymmetry,Total - all NACE activities,Number,Italy,1029.0
Annual,Enterprises - number,Strong power asymmetry,Total - all NACE activities,Number,Portugal,380.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Bulgaria,111.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Hungary,59.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Italy,386.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Portugal,140.0
Annual,Enterprises - number,Total,Manufacturing,Number,Bulgaria,923.0
Annual,Enterprises - number,Total,Manufacturing,Number,Hungary,693.0
Annual,Enterprises - number,Total,Manufacturing,Number,Italy,6569.0
Annual,Enterprises - number,Total,Manufacturing,Number,Portugal,1046.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,461.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,259.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,1677.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,401.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Bulgaria,383.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Hungary,369.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Italy,1946.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Portugal,383.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Bulgaria,1878.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Hungary,1380.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Italy,10577.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Portugal,1970.0
