Time frequency,Economical indicator for structural business statistics,Power asymmetry,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Bulgaria,0.0
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Hungary,3.0
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Italy,19.0
Annual,Enterprises - number,Captive relationship,Industry and construction (except manufacturing),Number,Portugal,23.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Bulgaria,76.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Hungary,229.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Italy,870.0
Annual,Enterprises - number,Captive relationship,Manufacturing,Number,Portugal,362.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,18.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,46.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,94.0
Annual,Enterprises - number,Captive relationship,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,53.0
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Bulgaria,43.0
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Hungary,49.0
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Italy,120.0
Annual,Enterprises - number,Captive relationship,Services of the business economy (except trade),Number,Portugal,100.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Bulgaria,137.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Hungary,327.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Italy,1104.0
Annual,Enterprises - number,Captive relationship,Total - all NACE activities,Number,Portugal,538.0
Annual,Enterprises - number,High supplier importance,Industry and construction (except manufacturing),Number,Bulgaria,0.0
Annual,Enterprises - number,High supplier importance,Industry and construction (except manufacturing),Number,Hungary,0.0
Annual,Enterprises - number,High supplier importance,Industry and construction (except manufacturing),Number,Italy,15.0
Annual,Enterprises - number,High supplier importance,Industry and construction (except manufacturing),Number,Portugal,17.0
Annual,Enterprises - number,High supplier importance,Manufacturing,Number,Bulgaria,100.0
Annual,Enterprises - number,High supplier importance,Manufacturing,Number,Hungary,276.0
Annual,Enterprises - number,High supplier importance,Manufacturing,Number,Italy,944.0
Annual,Enterprises - number,High supplier importance,Manufacturing,Number,Portugal,323.0
Annual,Enterprises - number,High supplier importance,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,18.0
