Time frequency,Economical indicator for structural business statistics,Enterprise,Enterprise group identification,Geopolitical entity (reporting)\Time,2007.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Czechia,163 p
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Germany,1900.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Denmark,349.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Spain,57 p
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,European Union (aggregate changing according to the context),7220 u
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Finland,276.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Ireland,402.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Italy,934.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Netherlands,590.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Norway,182.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Portugal,240.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Sweden,122.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,Slovenia,131.0
Annual,Enterprises - number,Enterprises with international sourcing,Enterprise group,United Kingdom,2056.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Czechia,9 p
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Germany,174.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Denmark,35.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Spain,47 p
Annual,Enterprises - number,Enterprises with international sourcing,Group head,European Union (aggregate changing according to the context),462 u
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Finland,6.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Ireland,49.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Italy,17.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Netherlands,22 u
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Norway,14.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Portugal,18.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Sweden,0 u
Annual,Enterprises - number,Enterprises with international sourcing,Group head,Slovenia,22.0
Annual,Enterprises - number,Enterprises with international sourcing,Group head,United Kingdom,63.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Czechia,17 p
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Germany,438.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Denmark,73.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Spain,24 p
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,European Union (aggregate changing according to the context),1403 u
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Finland,67.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Ireland,40.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Italy,235.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Netherlands,103 u
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Norway,16.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Portugal,41.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Sweden,3 u
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,Slovenia,56.0
Annual,Enterprises - number,Enterprises with international sourcing,Global group head,United Kingdom,306.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Czechia,31 p
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Germany,624.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Denmark,22.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Spain,6 p
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,European Union (aggregate changing according to the context),1555 u
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Finland,7.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Ireland,90.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Italy,206.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Netherlands,38 u
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Norway,24.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Portugal,70.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Sweden,7 u
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,Slovenia,20.0
Annual,Enterprises - number,Enterprises with international sourcing,Not enterprise group,United Kingdom,434.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Czechia,136 p
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Germany,1288.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Denmark,241.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Spain,10 p
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,European Union (aggregate changing according to the context),5379 u
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Finland,204.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Ireland,313.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Italy,682.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Netherlands,465.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Norway,152.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Portugal,181.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Sweden,119.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,Slovenia,53.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary,United Kingdom,1687.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Czechia,97 p
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Germany,282.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Denmark,94.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),European Union (aggregate changing according to the context),: @C
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Finland,66.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Ireland,126.0
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Netherlands,165 u
Annual,Enterprises - number,Enterprises with international sourcing,Subsidiary with global group head in EU27 (2007-2013),Norway,68.0
