Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2009.0,2012.0,2015.0,2018.0
Annual,Coefficient of variation for absolute value,Austria,4.0,3.5,3.4,3.6
Annual,Coefficient of variation for absolute value,Belgium,3.9,3.5,3.3,2.8
Annual,Coefficient of variation for absolute value,Bulgaria,:,5.6,4.6,6.7
Annual,Coefficient of variation for absolute value,Cyprus,:,8.4,7.0,5.2
Annual,Coefficient of variation for absolute value,Czechia,3.9,3.7,3.6,3.7
Annual,Coefficient of variation for absolute value,Germany,1.5,1.4,1.3,1.8
Annual,Coefficient of variation for absolute value,Denmark,4.5,3.8,3.7,3.7
Annual,Coefficient of variation for absolute value,Estonia,9.3,8.8,7.8,7.6
Annual,Coefficient of variation for absolute value,Greece,4.0,3.6,3.3,4.2
Annual,Coefficient of variation for absolute value,Spain,1.8,1.6,1.6,2.6
Annual,Coefficient of variation for absolute value,European Union - 27 countries (2007-2013),:,0.5,0.5,0.8
Annual,Coefficient of variation for absolute value,European Union - 27 countries (from 2020),:,:,0.5,0.9
Annual,Coefficient of variation for absolute value,European Union - 28 countries (2013-2020),:,:,0.5,0.8
Annual,Coefficient of variation for absolute value,European Union (aggregate changing according to the context),0.6,0.5,0.5,0.9
Annual,Coefficient of variation for absolute value,Finland,3.5,3.7,3.6,9.0
Annual,Coefficient of variation for absolute value,France,1.3,1.2,1.2,1.8
Annual,Coefficient of variation for absolute value,Croatia,:,:,6.7,6.2
Annual,Coefficient of variation for absolute value,Hungary,3.9,4.1,4.1,5.4
Annual,Coefficient of variation for absolute value,Ireland,5.5,5.0,5.1,6.0
Annual,Coefficient of variation for absolute value,Italy,1.7,1.6,1.5,3.1
Annual,Coefficient of variation for absolute value,Lithuania,6.2,6.4,5.3,6.7
Annual,Coefficient of variation for absolute value,Luxembourg,15.9,13.4,14.4,9.5
Annual,Coefficient of variation for absolute value,Latvia,7.7,6.7,5.8,5.8
Annual,Coefficient of variation for absolute value,Malta,:,18.6,18.2,9.2
Annual,Coefficient of variation for absolute value,Netherlands,3.3,3.2,3.3,2.7
Annual,Coefficient of variation for absolute value,Poland,2.6,2.2,2.1,2.4
Annual,Coefficient of variation for absolute value,Portugal,3.9,3.3,3.3,4.7
Annual,Coefficient of variation for absolute value,Romania,:,3.9,3.8,4.0
Annual,Coefficient of variation for absolute value,Sweden,2.9,2.7,2.5,3.8
Annual,Coefficient of variation for absolute value,Slovenia,10.5,9.0,8.7,8.9
Annual,Coefficient of variation for absolute value,Slovakia,5.9,6.5,6.2,5.5
Annual,Coefficient of variation for absolute value,United Kingdom,1.9,1.9,1.8,1.8
Annual,"Index, 2009=100",Austria,100.0,107.4,111.4,119.6
Annual,"Index, 2009=100",Belgium,100.0,96.6,106.1,107.6
Annual,"Index, 2009=100",Czechia,100.0,94.9,99.8,103.4
Annual,"Index, 2009=100",Germany,100.0,103.2,107.0,112.6
Annual,"Index, 2009=100",Denmark,100.0,106.6,111.7,113.8
Annual,"Index, 2009=100",Estonia,100.0,112.0,130.4,126.0
Annual,"Index, 2009=100",Greece,100.0,109.3,116.6,130.9
Annual,"Index, 2009=100",Spain,100.0,102.2,104.5,111.3
Annual,"Index, 2009=100",European Union (aggregate changing according to the context),100.0,104.6,109.2,113.3
Annual,"Index, 2009=100",Finland,100.0,111.6,118.7,118.9
Annual,"Index, 2009=100",France,100.0,101.8,102.3,107.5
Annual,"Index, 2009=100",Hungary,100.0,95.8,98.4,112.6
Annual,"Index, 2009=100",Ireland,100.0,111.7,108.1,112.3
Annual,"Index, 2009=100",Italy,100.0,105.1,110.2,112.8
Annual,"Index, 2009=100",Lithuania,100.0,84.5,107.6,107.7
Annual,"Index, 2009=100",Luxembourg,100.0,123.7,107.8,126.0
Annual,"Index, 2009=100",Latvia,100.0,110.3,123.4,118.8
Annual,"Index, 2009=100",Netherlands,100.0,107.3,112.0,110.1
Annual,"Index, 2009=100",Poland,100.0,111.4,116.8,118.6
Annual,"Index, 2009=100",Portugal,100.0,101.8,103.5,119.9
Annual,"Index, 2009=100",Sweden,100.0,124.2,143.8,140.8
Annual,"Index, 2009=100",Slovenia,100.0,99.3,106.3,109.3
