Time frequency,Unit of measure,Sex,Age class,Activity and employment status,Frequency,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2023.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Austria,57.3,57.2,58.1,58.6,59.1,59.5,59.4,60.1,61.0,61.5,64.9,64.1 b,64.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,31.4 b,30.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Belgium,62.9,63.9 b,64.5,63.8,63.3,63.3,62.8,63.9 b,63.8,63.2,64.5,63.3 b,62.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Bulgaria,58.1 b,62.0 b,61.2,60.7,61.4,61.2,61.3,60.3,62.8,61.3 b,62.8,64.2 b,68.3
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Switzerland,63.6 b,63.8,64.6,64.4,64.7,65.3,65.4,66.0,65.6,66.3,67.3,66.3 b,66.2
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Cyprus,54.1,54.9,54.5,55.2,55.1,54.4,54.8,53.8,55.2,54.6,56.5,58.1 b,58.8
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Czechia,61.8,58.9 b,60.5,61.4,60.6,60.0,61.1,61.5,62.5,62.9,66.7,66.7 b,65.9
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Germany,53.0 b,52.1 b,53.4 b,54.2,54.6,55.1,56.0,63.6,64.8,65.6,70.5 b,70.8 b,72.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Denmark,61.0,59.9,58.7,58.1,58.7,59.5,60.3 b,60.2 b,60.8,61.9,63.5,63.1 b,62.7 b
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Never,Euro area – 20 countries (from 2023),53.9,54.0,54.2,56.7,56.8,56.8,56.9,59.0,59.6,59.8,64.0,60.3 b,62.3
