Time frequency,International Standard Classification of Education (ISCED 2011),Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.5
Annual,Tertiary education (levels 5-8),Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.6
Annual,Tertiary education (levels 5-8),Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.9
Annual,Tertiary education (levels 5-8),Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.8
Annual,Tertiary education (levels 5-8),Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,5.0
Annual,Tertiary education (levels 5-8),Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.7
Annual,Tertiary education (levels 5-8),Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.7
Annual,Tertiary education (levels 5-8),Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.8
