Time frequency,Crop production,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Cereals (excluding rice),Tonne,Algeria,3525100.0 d,4012800.0 d,3597800.0 d,1533600.0 d,5252200.0 d,4001600.0 d,4245700.0 d,5133648.0 d,4910973.5 d,3432178.0 d,3755489.5 d,3432300.0 d,3470200.0 d,6057000.0 d,:
Annual,Cereals (excluding rice),Tonne,Egypt,16890429.0,16222462.0,15329784.0,16394647.0,17138938.0,15170776.0,16208488.0,17753804.0,18317822.0,18244782.0,18232000.0,17984000.0,17869000.0,:,:
Annual,Cereals (excluding rice),Tonne,Israel,262173.0 d,180728.0 d,203318.0 d,111942.0 d,287975.0 d,267931.0 d,280144.0 d,356812.0 d,372776.9 d,344935.0 d,326100.0 d,298100.0 d,229700.0 d,195600.0 d,:
Annual,Cereals (excluding rice),Tonne,Jordan,102331.0 e,61856.0 e,53289.0 e,47461.0 e,60907.0 e,87266.0 e,83042.0 e,84014.0 e,102147.0 e,77827.0,88773.0 e,99000.0,98300.0,81000.0,:
Annual,Cereals (excluding rice),Tonne,Lebanon,394300.0,429600.0,391500.0,383500.0,416500.0,:,:,:,:,:,:,182400.0 e,:,:,:
Annual,Cereals (excluding rice),Tonne,Morocco,4227020.0,9192760.0,2462860.0,5277420.0,10401890.0,7774870.0,8604158.4,5231639.0,9825912.0,6897620.0,11690200.0,3479800.0,9679700.0,10380000.0 p,5186500.0 p
Annual,Cereals (excluding rice),Tonne,Palestine*,79077.0 e,71189.0 e,69693.0 e,54076.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Cereals (excluding rice),Tonne,Tunisia,2097000.0 d,1610300.0 d,1988400.0 d,1188093.0 d,2533600.0 d,1079646.0 d,2310300.0 d,2273000.0 d,1295100.0 d,2317100.0 d,1307800.0 d,:,:,:,:
Annual,Common wheat and spelt,Tonne,Algeria,846018.5 d,915130.0 d,789964.0 d,297221.0 d,952000.0 d,796200.0 d,715100.0 d,1025112.5 d,966679.6 d,591863.4 d,636791.6 d,502500.0 d,445500.0 d,803200.0 d,:
Annual,Common wheat and spelt,Tonne,Israel,213626.0,142840.0,170293.0,85754.4,132963.0,112324.0,122024.0,189487.0,151800.0,173000.0,157000.0,168000.0,70500.0,72180.0,:
Annual,Common wheat and spelt,Tonne,Jordan,34363.3,22928.0,20997.0 e,7835.0 e,12484.0 e,22125.0 e,19801.0 e,19205.0 e,28517.0 e,27452.0,21925.0 e,31200.0,12100.0,16400.0,:
