Time frequency,Unit of measure,Live animals,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Number,Live bovine animals,Algeria,1586070.0,1607890.0,1633810.0,1640730.0,1682433.0,1747700.0,1790140.0,1843930.0,1909455.0,2049652.0,2149549.0,2081000.0,1895100.0,:
Annual,Number,Live bovine animals,Egypt,4484655.0,4609781.0,4932656.0,5023162.0,4524950.0,4728721.0,4779743.0,4946410.0,4744971.0,4762491.0,4883196.0,5012000.0,4387000.0,:
Annual,Number,Live bovine animals,Israel,373000.0,406000.0,394000.0,416000.0,400000.0,421000.0,432000.0,435000.0,465000.0,461000.0,500000.0,506700.0,509000.0,546200.0
Annual,Number,Live bovine animals,Jordan,67520.0,69100.0,80990.0,79380.0,64520.0,65390.0,67600.0,68510.0,69738.0,69408.0,73600.0,74700.0,75700.0,76400.0
Annual,Number,Live bovine animals,Lebanon,:,77000.0,77400.0,73700.0,74900.0,:,:,:,:,:,:,86300.0 e,:,:
Annual,Number,Live bovine animals,Morocco,2664400.0,2670400.0,2592800.0,2651200.0,2861200.0,2895800.0,3037900.0,3178800.0,3173000.0,3239000.0,3291000.0,3315000.0,3364000.0,3441188.0 p
Annual,Number,Live bovine animals,Palestine*,33746.0 e,36284.0 e,34255.0 e,32986.0 e,:,33925.0,39625.0,:,33980.0,:,:,:,:,:
Annual,Number,Live bovine animals,Tunisia,685000.0,685000.0,710000.0,695000.0,679000.0,670990.0,655730.0,654260.0,646157.0,671200.0,656000.0,686000.0,646000.0 d,:
Annual,Number,Dairy cows,Algeria,828800.0,847600.0,860000.0,:,882300.0,915400.0,940690.0,966097.0,1008575.0,1072512.0,1107800.0,1066400.0,971600.0,:
Annual,Number,Dairy cows,Israel,120000.0,120000.0,126000.0,128000.0,122000.0,120000.0,119000.0,119000.0,119000.0,120000.0,116000.0,115200.0,115000.0,118700.0
Annual,Number,Dairy cows,Jordan,39960.0,39200.0,48540.0,47560.0,36900.0,38530.0,38410.0,38380.0,38280.0,40571.0,43350.0,43700.0,45000.0,44100.0
Annual,Number,Dairy cows,Lebanon,43800.0,43900.0,45300.0,40200.0,40800.0,:,:,:,:,:,:,53200.0 e,:,:
Annual,Number,Dairy cows,Morocco,1492300.0,1492300.0,1511500.0,1558900.0,1594500.0,1608000.0,1613300.0,1654700.0,1816000.0 p,:,:,:,:,:
Annual,Number,Dairy cows,Palestine*,20045.0 e,20847.0 e,18735.0 e,19414.0 e,:,19891.0,:,:,16034.0,:,:,:,:,:
Annual,Number,Dairy cows,Tunisia,442000.0,450000.0,454000.0,449000.0,440000.0,399480.0,389870.0,386880.0,423935.0,437500.0,450000.0,458000.0,437000.0 d,:
Annual,Number,Live swine,Israel,20000.0,20000.0,21000.0,21000.0,23000.0,23000.0,24000.0,24000.0,19000.0,19000.0,19000.0,19000.0,19000.0,19000.0
Annual,Number,Live swine,Jordan,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,Number,Live swine,Lebanon,11000.0,10000.0,9000.0,:,:,:,:,:,:,:,:,:,:,:
