Time frequency,Fishing regions,Species,Aquatic environment,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Area not specified,Total fishery products,Brackish water,Algeria,14.0,14.6,25.8,77.4,:,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Brackish water,Israel,669.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Brackish water,Jordan,250.0,250.0,40.0,350.0,350.0,350.0,370.0,380.0,385.0,:,400.0,350.0,380.0,400.0
Annual,Area not specified,Total fishery products,Brackish water,Lebanon,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Brackish water,Palestine*,0.0 e,0.0 e,0.0 e,0.0 e,:,:,:,32.0 e,16.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e
Annual,Area not specified,Total fishery products,Brackish water,Tunisia,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Freshwater,Algeria,330.0,258.4,335.0,2695.0,:,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Freshwater,Egypt,83803.0,104976.0,97710.0,79688.0,87335.0,84648.0,89712.0,66623.0,67671.0,66060.0,69704.0,73484.0,77732.0,:
Annual,Area not specified,Total fishery products,Freshwater,Israel,18539.0,19491.0,19168.0,17731.0,18442.0,17907.0,18061.0,17338.0,18594.0,16764.0,16952.0,16532.0,14855.0,14229.7
Annual,Area not specified,Total fishery products,Freshwater,Jordan,311.0,320.0,313.0,381.6,440.6,486.1,586.0,661.0,705.0,:,949.0,1119.0,1225.0,1329.8
Annual,Area not specified,Total fishery products,Freshwater,Lebanon,700.0 e,750.0 e,1100.0 e,1600.0,1700.0,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Freshwater,Morocco,790.0,870.0,1195.0,290.0,310.0,340.0,270.0,280.0,540.0,650.0,580.0,630.0,660.0 e,604.0 e
Annual,Area not specified,Total fishery products,Freshwater,Palestine*,10.0 e,17.0 e,27.0 e,65.0 e,100.0 e,158.0 e,115.0 e,147.0 e,99.0 e,34.0 e,36.0 e,30.0 e,65.0,420.0
Annual,Area not specified,Total fishery products,Freshwater,Tunisia,1093.0,1087.0,1084.0,1096.0,1191.0,1123.0,878.0,970.0,995.0,1034.0,:,:,:,:
Annual,Area not specified,Total fishery products,Seawater,Algeria,24.0,16.0,44.0,8.5,:,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Seawater,Israel,3196.0,2724.0,2251.0,2261.0,1003.0,1007.0,1456.0,2241.0,2618.0,2644.0,2677.0,2342.0,2100.0,2000.0
Annual,Area not specified,Total fishery products,Seawater,Lebanon,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Seawater,Morocco,1467.0,291.0,441.0,214.0,272.0,332.0,279.0,412.5,433.0,468.0,470.0,510.0,539.4 p,494.7 p
Annual,Area not specified,Total fishery products,Seawater,Palestine*,3.0 e,5.0 e,10.0 e,5.0 e,15.0 e,122.0 e,74.0 e,90.0 e,169.0 e,150.0 e,220.0 e,250.0 e,435.0,679.0
Annual,Area not specified,Total fishery products,Seawater,Tunisia,1834.0,1869.0,2368.0,2641.0,3502.0,4322.0,6010.0,8228.0,10969.0,10930.0,:,:,:,:
Annual,Area not specified,Total fishery products,Total,Algeria,368.0,289.0,404.8,2780.9,2163.0,1759.0,2250.0,2648.0,2193.0,2411.0,1327.0,1960.0,4200.0,5100.0
Annual,Area not specified,Total fishery products,Total,Egypt,539747.0,595029.0,635516.0,693815.0,705490.0,919585.0,986820.0,1017738.0,1097544.0,1136091.0,1174831.0,1370660.0,1451841.0,:
Annual,Area not specified,Total fishery products,Total,Israel,22404.0,22215.0,21419.0,19992.0,19445.0,18914.0,19517.0,19341.0,21212.0,19408.0,19629.0,18874.0,16955.0,16229.7
Annual,Area not specified,Total fishery products,Total,Lebanon,700.0 e,750.0 e,1100.0 e,1600.0,1700.0,:,:,:,:,:,:,:,:,:
Annual,Area not specified,Total fishery products,Total,Morocco,2257.0,1161.0,1636.0,504.0,582.0,672.0,549.0,692.5,973.0,1118.0,1050.0,1140.0,1199.4 e,1098.7 e
Annual,Area not specified,Total fishery products,Total,Palestine*,13.0 e,22.0 e,37.0 e,70.0 e,115.0 e,280.0 e,189.0 e,269.0 e,284.0 e,184.0 e,256.0 e,280.0 e,500.0,1099.0
Annual,Area not specified,Total fishery products,Total,Tunisia,2927.0,2956.0,3452.0,3737.0,4693.0,5445.0,7238.0 i,9198.0,11964.0,11682.0,:,:,:,:
