Time frequency,itm_newa,unit,geo\TIME_PERIOD,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
Annual,10000.0,MEUR_KP00,IL,2071.8,2232.8,1970.5,1710.5,1755.1,1848.2,1838.7,1904.6,1887.8,2042.8,2205.8,2211.5,2340.7,2417.2
Annual,10000.0,MEUR_KP00,MA,4254.2,5152.9,5188.1,6337.5,6443.8,5377.3,7034.3,4715.5,5603.0 p,7639.9 p,7762.8 p,8033.0 p,7033.7,8570.9
Annual,10000.0,MEUR_KP00,TN,1682.3,1536.6,1180.7,1599.5,1667.7,1415.1,1444.9,1402.9 p,1332.4,1477.8,1256.7,1465.1,1509.5,1260.0
Annual,10000.0,MIO_EUR,DZ,2534.4,2962.3,2948.1,3454.2,4708.8,4292.5,4483.5,4395.8,4174.4 p,:,:,:,:,:
Annual,10000.0,MIO_EUR,IL,2071.8,2236.8,2134.6,1940.4,1981.3,2253.9,2323.1,2530.4,2785.4,2973.7,3280.2,3442.9,3505.9,3767.5
Annual,10000.0,MIO_EUR,MA,4254.2,5161.6,5045.8,5733.1,5588.2,5112.7,6844.8,5089.5 p,6490.0 p,7546.6 p,7574.5 p,8013.0 p,7419.3,9098.5
Annual,10000.0,MIO_EUR,TN,1682.3,1690.3,1340.0,1781.4,1981.9,1811.0,2046.0,1864.0 p,1829.7,2036.8,1750.7,2185.5,2412.2,2231.8
Annual,13000.0,MEUR_KP00,IL,1653.8,1656.6,1367.8,1141.8,1141.0,1142.0,1179.4,1172.6,1350.3,1267.8,1413.1,1463.0,1560.5,1597.1
Annual,13000.0,MEUR_KP00,MA,2835.8,2905.4,3080.8,3142.2,3419.0,3438.9,3520.1,3600.5,3795.8 p,4014.9 p,4187.2 p,4429.5 p,4528.5,4654.2
Annual,13000.0,MEUR_KP00,TN,1067.1,1049.9,1025.0,848.5,853.0,868.0,833.0,832.9 p,813.0,792.7,816.2,790.6,803.4,791.1
Annual,13000.0,MIO_EUR,DZ,2635.2,3121.2,2616.1,2585.0,2254.0,2792.3,2839.2,3083.1,3130.8 p,:,:,:,:,:
Annual,13000.0,MIO_EUR,IL,1653.8,1659.6,1481.8,1295.2,1287.9,1392.6,1490.1,1557.9,1992.3,1845.5,2101.4,2277.6,2337.3,2489.2
Annual,13000.0,MIO_EUR,MA,2835.8,2795.1,2871.5,2810.3,2999.0,2946.4,3168.9,3312.5,3578.1 p,3823.9 p,3936.4 p,4222.5 p,4571.3,4792.2
Annual,13000.0,MIO_EUR,TN,1067.1,1055.3,1037.9,902.4,975.8,1011.6,996.3,1079.2 p,1054.8,1101.2,1192.4,1243.0,1471.1,1549.0
Annual,18000.0,MEUR_KP00,EG,:,:,:,:,:,:,:,16365.1,16321.9,17775.2,18720.6,:,:,:
Annual,18000.0,MEUR_KP00,IL,3725.6,3889.4,3338.3,2852.3,2896.1,2990.2,3018.1,3077.2,3238.1,3310.6,3618.9,3674.4,3901.1,4014.3
Annual,18000.0,MEUR_KP00,MA,7090.0,8058.3,8268.8,9479.7,9862.7,8816.1,10554.4,8316.1,9398.8 p,11654.8 p,11950.0 p,12462.5 p,11562.2,13225.1
Annual,18000.0,MEUR_KP00,PS,766.3 de,716.3 de,670.5 de,627.1 de,500.7 de,561.0 de,517.5 de,459.2 de,466.4 de,517.2 de,476.3 de,518.3 de,509.6 de,:
Annual,18000.0,MEUR_KP00,SY,7640.5,7267.9,7672.1,6231.1,5494.9,5861.3,:,:,:,:,:,:,:,:
Annual,18000.0,MEUR_KP00,TN,3146.2,2974.3,2565.6,2777.8,2851.8,2588.3,2564.0,2514.1 p,2403.1,2527.1,2333.6,2423.0,2476.4,2203.1
Annual,18000.0,MIO_EUR,DZ,6128.3,7299.3,6781.2,7216.1,7927.9,7834.4,8699.1,9188.3,9215.6 p,11372.8,12839.4,14314.1,17375.3,19268.0
Annual,18000.0,MIO_EUR,EG,:,20122.5,17767.3,12690.0,13504.1,16047.9,17235.5,16365.1,17884.2,22443.6,27126.8,:,:,:
Annual,18000.0,MIO_EUR,IL,3725.6,3896.5,3616.4,3235.6,3269.2,3646.5,3813.2,4088.3,4777.7,4819.3 i,5381.7,5720.4,5843.2,6256.7
Annual,18000.0,MIO_EUR,MA,7090.0,7956.7,7917.3,8543.4,8587.2,8059.1,10013.7,8402.0,10068.1 p,11370.5 p,11510.9 p,12235.5 p,11990.6,13890.8
Annual,18000.0,MIO_EUR,PS,797.3 e,743.6 e,679.3 e,612.0 e,500.7 e,579.3 e,571.9 e,587.9 e,573.6 e,592.3 e,707.8 e,804.2 e,794.4 e,:
Annual,18000.0,MIO_EUR,SY,7640.5,7622.2,7979.9,6771.6,6204.6,6771.9,:,:,:,:,:,:,:,:
Annual,18000.0,MIO_EUR,TN,3146.2,3160.3,2768.5,3078.3,3373.4,3231.4,3457.7,3346.4 p,3273.8,3526.7,3356.3,3687.9,4173.8,4058.1
Annual,19000.0,MEUR_KP00,EG,:,5147.5,:,2819.6,2550.5,2792.7,2774.6,3518.4 bd,3470.9 d,3749.1 d,3900.7 d,:,:,:
Annual,19000.0,MEUR_KP00,IL,2379.9,2420.3,2042.7,1802.3,1730.3,1729.5,1757.8,1860.3,1963.6,1841.3,2166.1,2185.1,2188.0,2321.1
Annual,19000.0,MEUR_KP00,MA,2488.4,2599.5,2496.3,2552.3,2671.7,2631.6,2782.3,2271.0 p,2450.6 p,2660.8 p,2888.9,2977.2 p,2866.4,2951.7
Annual,19000.0,MEUR_KP00,PS,380.7 de,384.6 de,411.9 de,382.9 de,259.5 de,371.2 de,326.0 de,240.6 de,237.3 de,268.1 de,225.1 de,224.7 de,245.6 de,:
Annual,19000.0,MEUR_KP00,TN,814.8,745.7,637.0,686.4,716.7,617.2,626.8,599.6 p,546.9,535.1,494.1,513.0,524.3,466.5
Annual,19000.0,MIO_EUR,DZ,1143.5,1344.1,1240.5,1322.4,1450.4,1465.6,1669.2,1775.3,1712.7,2219.6,2608.2,2830.5,3459.5,3830.2
Annual,19000.0,MIO_EUR,EG,:,5498.8,4923.4,3192.2,3361.3,3533.6,3628.0,3518.4,3813.4,4615.3,5494.6,:,:,:
Annual,19000.0,MIO_EUR,IL,2041.7,2417.9,1878.6,1810.3,2179.9,2232.9,2326.5,2591.1,3079.3,2672.6,3165.2,3593.3,3887.0,4117.5
Annual,19000.0,MIO_EUR,MA,2488.4,2568.6,2341.2,2283.9,2418.2,2479.7,2735.1,2399.0,2856.9 p,2481.2 p,2681.8 p,2835.6 p,2802.0,2850.3
Annual,19000.0,MIO_EUR,PS,345.2 e,364.9 e,377.2 e,367.1 e,259.5 e,375.7 e,358.8 e,330.0 e,289.2 e,281.3 e,332.4 e,355.5 e,386.1 e,:
Annual,19000.0,MIO_EUR,SY,2647.8,2707.6,2888.5,2383.2,1866.3,1978.1,:,:,:,:,:,:,:,:
Annual,19000.0,MIO_EUR,TN,814.8,837.5,733.6,823.0,889.9,850.5,916.3,886.8 p,869.5,933.6,886.1,964.2,1091.7,1061.7
Annual,19010.0,MEUR_KP00,IL,233.1,209.3,216.0,167.3,146.3,154.2,159.4,164.0,168.4,168.2,195.1,183.0,164.7,186.7
Annual,19010.0,MEUR_KP00,MA,317.1,378.9,359.0,376.8,355.7,342.2,326.8 p,:,:,:,:,:,:,:
Annual,19010.0,MEUR_KP00,TN,48.3,32.1,29.3,31.6,32.8,30.2,33.0,28.4 p,27.8,28.2,26.0,27.0,27.6,24.5
