Time frequency,Unit of measure,Hydrological parameters - flows - sources - water supply - treatment of water,Abstraction and use sector or treatment type,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Million cubic metres,Fresh surface water,Total gross abstraction,Algeria,3650.0,3700.0,3850.0,2800.0,2950.0,4600.0,4600.0,4800.0,1596.0,1702.0,1730.0,2900.0,1699.0,:
Annual,Million cubic metres,Fresh surface water,Total gross abstraction,Egypt,:,:,:,:,:,55.5,55.5,55.5,55.5,55.5,55.5,55.5,:,:
Annual,Million cubic metres,Fresh surface water,Total gross abstraction,Israel,845.0,651.0,625.0,634.0,479.0,504.0,521.0,516.0,645.0,470.0,381.0,331.0,339.0,343.0
Annual,Million cubic metres,Fresh surface water,Total gross abstraction,Jordan,351.4,365.3,345.0,335.9,274.4,286.8,279.1,238.9,258.5,258.6,274.0,274.0,288.0,298.1
Annual,Million cubic metres,Fresh surface water,Total gross abstraction,Tunisia,518.0,551.0,570.0,546.0 p,546.0 p,546.0 p,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Fresh ground water,Total gross abstraction,Algeria,2800.0,2800.0,3000.0,4150.0,4200.0,2603.0,2915.0,3000.0,3047.0,3117.0,7224.0,6330.0,8103.0,:
Annual,Million cubic metres,Fresh ground water,Total gross abstraction,Egypt,:,:,:,:,:,6.3,6.3,7.5,7.7,6.7,6.9,6.9,:,:
Annual,Million cubic metres,Fresh ground water,Total gross abstraction,Israel,883.0,986.0,1064.0,961.0,834.0,836.0,738.0,802.0,651.0,801.0,792.0,868.0,862.0,769.0
Annual,Million cubic metres,Fresh ground water,Total gross abstraction,Jordan,506.0,480.0,493.3,487.4,484.2,502.0,503.7,495.0,588.5,588.5,601.8,601.8,618.8,624.9
Annual,Million cubic metres,Fresh ground water,Total gross abstraction,Morocco,4100.0,4100.0,4100.0,4100.0,4100.0,4100.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Fresh ground water,Total gross abstraction,Palestine*,268.3,275.2,286.0,250.9,257.8,270.8,266.9,292.6,:,:,:,:,:,:
Annual,Million cubic metres,Fresh ground water,Total gross abstraction,Tunisia,1930.3,1955.6,1970.7,2009.3,2016.2,2175.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total surface and ground water,Total gross abstraction,Algeria,6450.0,6500.0,6850.0,6950.0,7150.0,7203.0,7515.0,7800.0,4643.0,4820.0,8954.0,9230.0,9802.0,:
Annual,Million cubic metres,Total surface and ground water,Total gross abstraction,Egypt,:,:,:,:,:,61.8 i,61.8 i,63.0 i,63.2 i,62.2 i,62.4 i,62.4 i,:,:
Annual,Million cubic metres,Total surface and ground water,Total gross abstraction,Israel,1728.0,1637.0,1689.0,1595.0,1313.0,1340.0,1259.0,1318.0,1296.0,1271.0,1173.0,1199.0,1201.0,1112.0
Annual,Million cubic metres,Total surface and ground water,Total gross abstraction,Jordan,857.4,845.3,838.3,823.3,758.5,788.8,782.8,733.9,847.0,847.1,875.8,875.8,906.8,923.0
Annual,Million cubic metres,Total surface and ground water,Total gross abstraction,Lebanon,1250.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total surface and ground water,Total gross abstraction,Tunisia,2448.3,2506.6,2540.7,2555.3,2562.2,2721.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total surface and ground water,Abstraction by public water supply,Algeria,4860.0,4910.0,5650.0,5887.0,6445.0,6701.0,6756.0,7515.0,:,:,:,:,:,:
Annual,Million cubic metres,Total surface and ground water,Abstraction by public water supply,Jordan,:,:,838.0,823.0,758.0,789.0,783.0,734.0,:,:,:,:,:,:
Annual,Million cubic metres,Total surface and ground water,Abstraction by public water supply,Tunisia,1381.3,1432.3,1486.5,1488.0 p,1492.0 p,1584.0 p,:,:,:,:,:,:,:,:
