Time frequency,Unit of measure,Hydrological parameters - flows - sources - water supply - treatment of water,Abstraction and use sector or treatment type,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Million cubic metres,Public water supply,Population connected to public water supply (% of national population) - (only available for public water supply),Algeria,90.0,90.0,95.0,95.0,96.0,96.0,96.5,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Annual,Million cubic metres,Public water supply,Population connected to public water supply (% of national population) - (only available for public water supply),Egypt,:,98.0,98.0,98.0,93.0 i,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Public water supply,Population connected to public water supply (% of national population) - (only available for public water supply),Israel,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Annual,Million cubic metres,Public water supply,Population connected to public water supply (% of national population) - (only available for public water supply),Jordan,82.4,97.7,97.7,97.7,97.9,97.7,:,:,96.7,96.7,96.7,96.7,98.0,98.0
Annual,Million cubic metres,Public water supply,Population connected to public water supply (% of national population) - (only available for public water supply),Morocco,70.9,71.9,73.4,76.3,76.5,77.5,79.5,80.2,:,:,:,:,:,:
Annual,Million cubic metres,Public water supply,Population connected to public water supply (% of national population) - (only available for public water supply),Palestine*,95.9,93.8,:,94.1,94.1,94.2,93.8,96.6,97.5,:,94.9,:,:,:
Annual,Million cubic metres,Public water supply,Population connected to public water supply (% of national population) - (only available for public water supply),Tunisia,80.6,81.0,81.4,81.9,82.3,82.6,82.8,83.0,83.0,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Total supply,Algeria,:,:,:,5768.0,6013.0,6187.0,6227.0,6422.0,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Total supply,Jordan,940.5,925.2,940.3,936.0,871.1,900.7,898.8,848.4,1043.9,1022.3,985.0,985.0,964.6,1076.4
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Total supply,Tunisia,2092.0,2070.6,2098.7,2108.3,2117.2 p,2272.0 p,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, forestry, fishing (total)",Algeria,:,:,:,3461.0,3560.0,3600.0,3620.0,3800.0,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, forestry, fishing (total)",Egypt,:,:,:,:,:,61.3,60.9,61.5,62.1,62.4,62.4,62.2,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, forestry, fishing (total)",Jordan,610.5,595.8,597.3,581.4,508.2,508.6,511.8,462.4,548.8,546.6,491.1,491.1,551.8,562.4
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, forestry, fishing (total)",Lebanon,:,:,:,:,:,810.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, forestry, fishing (total)",Morocco,9415.0,8512.0,9043.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, forestry, fishing (total)",Tunisia,1706.8,1677.4,1691.8,1685.6,1686.6 p,1838.4 p,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, for irrigation purposes",Jordan,603.0,588.0,589.6,573.9,500.3,501.3,504.8,455.3,541.7,539.5,483.9,483.9,544.7,555.3
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, for irrigation purposes",Lebanon,:,:,:,:,:,158.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, for irrigation purposes",Morocco,:,:,:,:,:,:,:,9800.0,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to agriculture, for irrigation purposes",Tunisia,1706.8,1677.4,1691.8,1685.6,1686.6 p,1838.4 p,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Supply to manufacturing industries (total),Algeria,:,:,:,288.0,296.0,310.0,315.0,315.0,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Supply to manufacturing industries (total),Egypt,:,:,:,:,:,1.2,1.2,1.2,1.2,1.2,1.2,1.2,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Supply to manufacturing industries (total),Jordan,39.0,38.4,49.2,39.4,37.3,40.5,40.2,32.3,51.7,51.7,37.4,37.4,32.1,34.5
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Supply to manufacturing industries (total),Tunisia,88.5,88.5,88.2,88.0,89.6 p,74.9 p,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),Supply to the production and distribution of electricity (total),Algeria,:,:,:,115.0,115.0,115.0,115.0,115.0,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to the domestic sector, households",Algeria,:,:,:,1846.0,1980.0,2100.0,2115.0,2130.0,:,1124.7,1178.5,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to the domestic sector, households",Egypt,:,:,:,:,:,9.4,9.6,9.6,9.7,10.0,10.4,10.4,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to the domestic sector, households",Jordan,291.0,291.0,293.8,315.2,325.6,351.7,346.8,353.7,443.4,424.0,456.5,456.5,469.7,479.5
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to the domestic sector, households",Lebanon,:,:,:,:,:,505.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to the domestic sector, households",Morocco,430.0,441.0,461.0,500.0,491.0,501.0,517.0,:,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to the domestic sector, households",Palestine*,:,:,:,:,:,60.3,65.4,122.6,:,:,:,:,:,:
Annual,Million cubic metres,Total water use from all supply categories (public/self/other),"Supply to the domestic sector, households",Tunisia,232.2,243.0,251.9,266.4,272.5,289.6,299.5,321.7,320.1,:,:,:,:,:
