Time frequency,Age class,Sex,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Total,Females,Population on 1 January - total,Algeria,16148003.0,16424001.0,16718353.0,17036069.0,17364165.0,17593581.0,17952596.0,18320270.0,18714596.0,:,19931975.0,19939924.0,20364760.0,:,:
Annual,Total,Females,Population on 1 January - total,Egypt,34180000.0,35137495.0,35650000.0,36400034.0,37194071.0,38044895.0,38912400.0,39892519.0,40940467.0,41977272.0,43083043.0,44141306.0,44199517.0,46643821.0,47553716.0
Annual,Total,Females,Population on 1 January - total,Israel,3476970 d,3537020 d,3599390 d,3662450 d,3751510 d,3817300 d,3887780 d,3957750 d,4031050 d,4105170 d,4185630 d,4268200 d,4349355 d,4433560 d,4517403 d
Annual,Total,Females,Population on 1 January - total,Jordan,2710000 d,2790000 d,2870000 d,2960000 d,3050000 d,3150000 d,3250000 d,3288000 d,3492000 d,3815000 d,4140000 d,4498000 d,4610000 d,4730000 d,:
Annual,Total,Females,Population on 1 January - total,Lebanon,:,:,1901475 de,:,1880205 de,:,:,1981059 d,:,:,:,:,:,:,:
Annual,Total,Females,Population on 1 January - total,Libya,:,:,:,:,:,:,:,2988495.0,3064088.0,:,:,:,3257679.0,3283108.0,3288753.0
Annual,Total,Females,Population on 1 January - total,Morocco,15209020 e,15405687 e,15602700 e,15800066.0,15997781.0,16195849.0,16394267.0,16593035.0,16792151.0,16943719.0,17123153.0,17305657.0,17490129.0,17675520.0,17860669.0
Annual,Total,Females,Population on 1 January - total,Palestine*,:,:,1805171.0,1856285.0,1905656.0,1954957.0,2004260.0,2053633.0,2103008.0,2152314.0,2201617.0,2250988.0,2300358.0,2354933.0,2415288.0
Annual,Total,Females,Population on 1 January - total,Tunisia,4982679 d,5037469 d,5120031 d,5172581 d,5232378 d,5285358 d,5356842 d,5416529 d,5461998 d,5526511 di,5596404 de,5683853 de,5755256 de,5819461 de,:
Annual,Total,Males,Population on 1 January - total,Algeria,16487005.0,16769506.0,17070153.0,17445347.0,17783950.0,18018912.0,18390733.0,18771005.0,19179071.0,19591197.0,20448323.0,20455898.0,20898297.0,:,:
Annual,Total,Males,Population on 1 January - total,Egypt,35817000.0,36739694.0,37290000.0,38038966.0,38904605.0,39794598.0,40705117.0,41674006.0,42726580.0,43769349.0,44880233.0,45944961.0,47079660.0,49634693.0,50547295.0
Annual,Total,Males,Population on 1 January - total,Israel,3392560 d,3453700 d,3517300 d,3581180 d,3667570 d,3734750 d,3807290 d,3878850 d,3953410 d,4029290 d,4111240 d,4195220 d,4279236 d,4364384 d,4450191 d
Annual,Total,Males,Population on 1 January - total,Jordan,2887000 d,2968000 d,3058000 d,3146000 d,3243000 d,3340000 d,3448000 d,3705000 d,3935000 d,4299000 d,4664000 d,5061000 d,5188000 d,5323000 d,:
