Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Annual,"Poverty line, total (national currency)",Egypt,:,:,:,:,:,1423.0 d,:,:,2224.0 d,:,3076.5 d,:,3920.0 d,:,:
Annual,"Poverty line, total (national currency)",Israel,1342.0,1385.0,1371.0,1388.0,1421.0,1493.0,1592.0,1674.0,1742.0,1815.0,1931.0,2000.0,2256.0,2391.0,2461.0
Annual,"Poverty line, total (national currency)",Jordan,:,:,392.0,:,:,:,556.0,:,680.0,:,814.0,:,:,:,:
Annual,"Poverty line, total (national currency)",Lebanon,:,:,:,:,3649.0,:,:,:,:,:,:,:,:,:,:
Annual,"Poverty line, total (national currency)",Libya,:,:,:,418.0 d,:,:,:,:,666.0 d,:,:,:,:,:,:
Annual,"Poverty line, total (national currency)",Palestine*,:,455.6 de,:,350.1 de,348.1 de,383.4 de,412.6 de,421.7 de,:,396.5 de,459.4 de,457.6 de,:,:,:
Annual,"Poverty line, total (national currency)",Syria,:,:,:,:,1458.0,:,:,:,:,:,:,:,:,:,:
Annual,"Poverty line, urban (national currency)",Algeria,:,:,:,:,:,:,:,:,:,:,:,42011.0,:,:,:
Annual,"Poverty line, urban (national currency)",Egypt,:,:,:,:,:,:,:,:,2228.0 d,:,3169.5 d,:,4076.0 d,:,:
Annual,"Poverty line, urban (national currency)",Israel,1321.0,1370.0,1356.0,1373.0,1404.0,1469.0,1567.0,1664.0,1726.0,1791.0,1913.0,1978.0,2227.0,2357.4,2412.0
Annual,"Poverty line, urban (national currency)",Jordan,:,:,395.0,:,:,:,559.0,:,683.0,:,814.0,:,:,:,:
Annual,"Poverty line, urban (national currency)",Morocco,:,3421.0,:,:,3613.0,:,:,3834.0,:,:,:,:,:,:,:
Annual,"Poverty line, urban (national currency)",Syria,:,:,:,:,1548.0,:,:,:,:,:,:,:,:,:,:
Annual,"Poverty line, urban (national currency)",Tunisia,902.0 d,:,:,:,:,1038.0 d,:,:,:,:,1277.0 d,:,:,:,:
Annual,"Poverty line, rural (national currency)",Algeria,:,:,:,:,:,:,:,:,:,:,:,37412.0,:,:,:
Annual,"Poverty line, rural (national currency)",Egypt,:,:,:,:,:,:,:,:,2217.0 d,:,3009.2 d,:,3812.0 d,:,:
Annual,"Poverty line, rural (national currency)",Israel,1734.0,1715.0,1717.0,1587.0,1701.0,1900.0,1933.0,1899.0,2051.0,2274.0,2265.0,2388.0,2646.0,2991.3,3172.0
Annual,"Poverty line, rural (national currency)",Jordan,:,:,377.0,:,:,:,541.0,:,671.0,:,814.0,:,:,:,:
Annual,"Poverty line, rural (national currency)",Morocco,:,3098.0,:,:,3271.0,:,:,3569.0,:,:,:,:,:,:,:
Annual,"Poverty line, rural (national currency)",Syria,:,:,:,:,1417.0,:,:,:,:,:,:,:,:,:,:
Annual,"Poverty line, rural (national currency)",Tunisia,581.0 d,:,:,:,:,669.0 d,:,:,:,:,820.0 d,:,:,:,:
Annual,"Extreme poverty line, urban (national currency)",Algeria,:,:,:,:,:,:,:,:,:,:,:,23178.0,:,:,:
Annual,"Extreme poverty line, urban (national currency)",Egypt,:,:,:,:,:,:,:,:,:,:,2082.3 d,:,2621.0 d,:,:
Annual,"Extreme poverty line, urban (national currency)",Jordan,:,:,188.0,:,:,:,240.0,:,293.0,:,336.0,:,:,:,:
Annual,"Extreme poverty line, urban (national currency)",Morocco,:,2543.0,:,:,:,:,:,2888.0,:,:,:,:,:,:,:
Annual,"Extreme poverty line, urban (national currency)",Syria,:,:,:,:,925.0,:,:,:,:,:,:,:,:,:,:
Annual,"Extreme poverty line, urban (national currency)",Tunisia,534.0 d,:,:,:,:,615.0 d,:,:,:,:,757.0 d,:,:,:,:
Annual,"Extreme poverty line, rural (national currency)",Algeria,:,:,:,:,:,:,:,:,:,:,:,22849.0,:,:,:
Annual,"Extreme poverty line, rural (national currency)",Egypt,:,:,:,:,:,:,:,:,:,:,2044.9 d,:,2534.0 d,:,:
Annual,"Extreme poverty line, rural (national currency)",Jordan,:,:,183.0,:,:,:,233.0,:,288.0,:,336.0,:,:,:,:
Annual,"Extreme poverty line, rural (national currency)",Morocco,:,2466.0,:,:,:,:,:,2839.0,:,:,:,:,:,:,:
Annual,"Extreme poverty line, rural (national currency)",Syria,:,:,:,:,893.0,:,:,:,:,:,:,:,:,:,:
Annual,"Extreme poverty line, rural (national currency)",Tunisia,405.0 d,:,:,:,:,466.0 d,:,:,:,:,571.0 d,:,:,:,:
Annual,"Extreme poverty line, total (national currency)",Egypt,:,:,:,:,:,994.5 d,:,:,1648.0 d,:,2061.0 d,:,2570.0 d,:,:
Annual,"Extreme poverty line, total (national currency)",Jordan,:,:,187.0,:,:,:,239.0,:,292.0,:,336.0,:,:,:,:
Annual,"Extreme poverty line, total (national currency)",Lebanon,:,:,:,:,2312.0,:,:,:,:,:,:,:,:,:,:
Annual,"Extreme poverty line, total (national currency)",Libya,:,:,:,336.0 d,:,:,:,:,416.0 d,:,:,:,:,:,:
Annual,"Extreme poverty line, total (national currency)",Palestine*,:,:,:,287.3 de,291.8 de,309.5 de,329.7 de,351.0 de,:,314.7 de,360.6 de,365.7 de,:,:,:
Annual,"Extreme poverty line, total (national currency)",Syria,:,:,:,:,911.0,:,:,:,:,:,:,:,:,:,:
