Time frequency,Unit of measure,Type of activity,Tourism indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Number,Collective tourist accommodation establishments,Number of establishments,Israel,1794.0,1812.0,1943.0,2133.0,1678.0,1669.0,1704.0,1665.0,1676.0,1602.0,1568.0,1552.0,1572.0,1590.0
Annual,Number,Collective tourist accommodation establishments,Number of establishments,Lebanon,:,399.0,399.0,:,:,402.0,722.0,:,:,736.0,751.0,763.0,:,:
Annual,Number,Collective tourist accommodation establishments,Number of establishments,Morocco,1148 dp,1354 dp,1544 dp,1720 dp,1806 dp,2003 dp,2188 dp,2521 dp,3006 dp,3199 dp,3509 dp,3690 dp,3881 dp,4055 dp
Annual,Number,Hotels and similar establishments,Number of establishments,Algeria,1105.0,1134.0,1140.0,1147.0,1151.0,1152.0,1184.0,1155.0,1176.0,1185.0,1195.0,1231.0,1289.0,1368.0
Annual,Number,Hotels and similar establishments,Number of establishments,Egypt,1442.0,1422.0,1429.0,1446.0,1477.0,1433.0,1321.0,1233.0,1193.0,1124.0,1057.0,1031.0,:,:
Annual,Number,Hotels and similar establishments,Number of establishments,Israel,334.0,331.0,331.0,335.0,336.0,332.0,338.0,342.0,357.0,366.0,374.0,388.0,407.0,419.0
Annual,Number,Hotels and similar establishments,Number of establishments,Jordan,468.0,476.0,470.0,481.0,482.0,487.0,491.0,497.0,519.0,536.0,558.0,573.0,595.0,588.0
Annual,Number,Hotels and similar establishments,Number of establishments,Lebanon,:,300.0,300.0,:,:,303.0,544.0,:,:,557.0,:,575.0,:,:
Annual,Number,Hotels and similar establishments,Number of establishments,Libya,245.0,256.0,268.0,277.0,303.0,305.0,:,:,:,:,:,:,:,:
Annual,Number,Hotels and similar establishments,Number of establishments,Morocco,1148 p,1354 p,1544 p,1720 p,1806 p,2003 p,2188 p,2521 p,3006 p,3199 p,3509 p,3690 p,3881 p,4055 p
Annual,Number,Hotels and similar establishments,Number of establishments,Palestine*,77.0,79.0,82.0,87.0,100.0,95.0,103.0,98 d,113 d,109 d,112 d,125 d,130 d,130 d
Annual,Number,Hotels and similar establishments,Number of establishments,Tunisia,816 d,825 d,834 d,836 d,856 d,856 d,861 d,846 d,847 d,848 d,864 d,824 d,:,:
