Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0,2024.0
Annual,Person,Austria,30095.0,36860.0,38015.0,:
Annual,Person,Belgium,24675.0,31640.0,33420.0,:
Annual,Person,Bulgaria,2465.0,2410.0,2610.0,:
Annual,Person,Switzerland,74285 u,141090 u,150975 u,:
Annual,Person,Cyprus,: m,: m,: m,:
Annual,Person,Czechia,545.0,770.0,655.0,:
Annual,Person,Germany,: m,: m,: m,:
Annual,Person,Denmark,2505.0,2665.0,2280.0,:
Annual,Person,Estonia,75.0,35.0,65.0,:
Annual,Person,Greece,14335.0,4730.0,9965.0,:
Annual,Person,Spain,13745.0,14650.0,20905.0,:
Annual,Person,European Union - 27 countries (from 2020),375425 d,541425 d,562175 d,:
Annual,Person,Finland,5140.0,43465.0,35485.0,:
Annual,Person,France,111900.0,182485.0,166820.0,:
Annual,Person,Croatia,: m,: m,390.0,:
Annual,Person,Hungary,0.0,0.0,5.0,:
Annual,Person,Ireland,7695.0,18495.0,27595.0,:
Annual,Person,Iceland,385.0,1165.0,1875.0,1545.0
Annual,Person,Italy,78025 d,110295 d,130390 d,:
Annual,Person,Liechtenstein,55.0,150.0,135.0,:
Annual,Person,Lithuania,4040.0,740.0,260.0,:
Annual,Person,Luxembourg,3485.0,5775.0,6685.0,:
Annual,Person,Latvia,180.0,165.0,365.0,:
Annual,Person,Montenegro,50.0,:,60.0,:
Annual,Person,Malta,1030.0,495.0,695.0,:
Annual,Person,Netherlands,38225.0,54650.0,59510.0,:
Annual,Person,Norway,2065.0,8965.0,14630.0,:
Annual,Person,Poland,5995.0,3980.0,4375.0,6260.0
Annual,Person,Portugal,1535.0,1990.0,2695.0,:
Annual,Person,Romania,: m,: m,: m,:
Annual,Person,Sweden,24175.0,23710.0,17635.0,:
Annual,Person,Slovenia,5475.0,375.0,665.0,:
Annual,Person,Slovakia,90.0,1040.0,685.0,:
