Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Austria,90.0,110.0,95.0,90.0,230.0,105.0,500.0,405.0,125.0,100.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Belgium,60.0,65.0,55.0,90.0,165.0,170.0,95.0,85.0,80.0,65.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Bulgaria,90.0,80.0,270.0,260.0,220.0,150.0,105.0,100.0,95.0,75.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Switzerland,10.0,60.0,110.0,85.0,105.0,110.0,120.0,105.0,95.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Cyprus,5.0,10.0,5.0,5.0,15.0,10.0,25.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Czechia,565.0,645.0,1125 d,720.0,1535.0,1185.0,1565.0,835.0,660.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Germany,1195.0,1005.0,860.0,1030.0,1270.0,1340.0,1225.0,1190.0,1065.0,795.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Denmark,60.0,50.0,50.0,100.0,120.0,95.0,130.0,95.0,75.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Estonia,35.0,40.0,25.0,35.0,65.0,50.0,80.0,65.0,35.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Greece,15.0,20.0,25.0,25.0,25.0,20.0,20.0,15.0,10.0,15.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Spain,125.0,115.0,135.0,120.0,200.0,165.0,190.0,170.0,120.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Finland,50.0,55.0,75.0,115.0,165.0,130.0,105.0,95.0,70.0,85.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,France,5 d,5 d,5 d,5 d,0 d,0 d,5 d,0 d,5 d,5 d
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Croatia,10.0,20.0,15.0,25.0,35.0,25.0,10.0,15.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Ireland,75.0,55.0,65.0,75.0,135.0,75.0,75.0,90.0,65.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Iceland,5.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Italy,75.0,70.0,50.0,50.0,95.0,85.0,70.0,40.0,15.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Liechtenstein,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Lithuania,90.0,90.0,85.0,80.0,85.0,110.0,185.0,120.0,65.0,35.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Luxembourg,5.0,0.0,0.0,5.0,10.0,10.0,5.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Latvia,10.0,20.0,20.0,25.0,50.0,40.0,55.0,40.0,25.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Malta,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Netherlands,160.0,115.0,150.0,195.0,300.0,285.0,320.0,190.0,170.0,120.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Norway,140.0,115.0,120.0,65.0,280.0,240.0,220.0,205.0,135.0,105.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Poland,1015.0,1080.0,1295.0,2155.0,3655.0,3750.0,4700.0,1805.0,1110.0,1250.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Portugal,10.0,20.0,15.0,20.0,20.0,15.0,15.0,20.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Romania,60.0,105.0,80.0,85.0,110.0,110.0,95.0,85.0,80.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Sweden,55.0,45.0,50.0,60.0,105.0,160.0,85.0,55.0,45.0,25.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovenia,10.0,10.0,10.0,5.0,15.0,25.0,15.0,10.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovakia,70.0,85.0,90.0,110.0,175.0,105.0,110.0,110.0,155.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Austria,245.0,220.0,205.0,190.0,310.0,175.0,315.0,390.0,215.0,255.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Belgium,180.0,195.0,145.0,170.0,325.0,290.0,220.0,195.0,165.0,170.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Bulgaria,315.0,270.0,330.0,485.0,565.0,440.0,310.0,275.0,245.0,230.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Switzerland,100.0,185.0,310.0,245.0,210.0,240.0,195.0,175.0,175.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Cyprus,25.0,15.0,25.0,30.0,40.0,20.0,80.0,40.0,25.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Czechia,800.0,1070.0,1955 d,895.0,1600.0,1355.0,1055.0,880.0,915.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Germany,3555.0,3010.0,2540.0,2820.0,3290.0,3225.0,2675.0,2910.0,2740.0,2000.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Denmark,135.0,125.0,95.0,220.0,210.0,180.0,245.0,205.0,190.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Estonia,70.0,120.0,95.0,90.0,110.0,90.0,150.0,120.0,90.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Greece,35.0,45.0,30.0,45.0,75.0,35.0,30.0,30.0,35.0,25.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Spain,445.0,610.0,670.0,590.0,690.0,585.0,615.0,685.0,510.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Finland,130.0,205.0,145.0,175.0,180.0,205.0,195.0,210.0,190.0,170.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,France,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Croatia,45.0,65.0,45.0,55.0,80.0,65.0,45.0,65.0,40.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Ireland,190.0,125.0,135.0,175.0,190.0,135.0,135.0,150.0,120.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Iceland,10.0,15.0,15.0,5.0,10.0,5.0,5.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Italy,215.0,205.0,120.0,160.0,200.0,230.0,230.0,100.0,40.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Liechtenstein,5.0,0.0,10.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Lithuania,205.0,215.0,180.0,145.0,165.0,145.0,295.0,210.0,115.0,90.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Luxembourg,10.0,5.0,10.0,10.0,5.0,20.0,10.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Latvia,45.0,85.0,100.0,85.0,115.0,90.0,95.0,130.0,90.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Malta,0.0,10.0,0.0,5.0,10.0,10.0,5.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Netherlands,315.0,285.0,325.0,355.0,515.0,410.0,410.0,395.0,340.0,315.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Norway,275.0,350.0,285.0,160.0,435.0,385.0,380.0,435.0,330.0,235.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Poland,1860.0,2265.0,2460.0,3220.0,3300.0,3155.0,2350.0,2245.0,1840.0,1910.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Portugal,50.0,75.0,80.0,60.0,85.0,40.0,70.0,65.0,75.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Romania,290.0,390.0,345.0,440.0,440.0,370.0,255.0,320.0,240.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Sweden,105.0,110.0,125.0,130.0,185.0,285.0,165.0,130.0,75.0,75.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovenia,30.0,30.0,30.0,15.0,40.0,45.0,30.0,30.0,25.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovakia,175.0,215.0,215.0,265.0,410.0,155.0,175.0,150.0,145.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Austria,335.0,330.0,300.0,280.0,540.0,280.0,810.0,795.0,345.0,350.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Belgium,235.0,260.0,195.0,265.0,490.0,460.0,320.0,275.0,245.0,235.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Bulgaria,400.0,350.0,600.0,750.0,785.0,590.0,415.0,380.0,340.0,310.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Switzerland,110.0,250.0,420.0,335.0,315.0,350.0,310.0,280.0,270.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Cyprus,30.0,25.0,30.0,35.0,60.0,30.0,105.0,50.0,25.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Czechia,1360.0,1710.0,3080 d,1610.0,3135.0,2540.0,2620.0,1715.0,1575.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Germany,4750.0,4015.0,3400.0,3850.0,4560.0,4565.0,3900.0,4105.0,3800.0,2795.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Denmark,195.0,180.0,145.0,320.0,330.0,275.0,375.0,300.0,270.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Estonia,105.0,160.0,120.0,125.0,175.0,135.0,230.0,180.0,125.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Greece,50.0,65.0,55.0,70.0,100.0,55.0,45.0,45.0,45.0,40.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Spain,570.0,725.0,805.0,705.0,890.0,745.0,810.0,855.0,630.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Finland,180.0,260.0,220.0,290.0,340.0,335.0,295.0,300.0,260.0,250.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,France,5 d,5 d,5 d,5 d,0 d,0 d,5 d,0 d,5 d,5 d
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Croatia,55.0,85.0,60.0,80.0,115.0,90.0,60.0,80.0,50.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Ireland,265.0,175.0,200.0,250.0,330.0,210.0,215.0,240.0,185.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Iceland,15.0,20.0,20.0,10.0,20.0,10.0,5.0,10.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Italy,290.0,275.0,170.0,210.0,295.0,315.0,300.0,140.0,50.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Liechtenstein,5.0,0.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Lithuania,295.0,305.0,260.0,230.0,250.0,255.0,475.0,330.0,180.0,125.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Luxembourg,15.0,5.0,10.0,15.0,15.0,30.0,15.0,15.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Latvia,55.0,105.0,120.0,110.0,160.0,130.0,155.0,165.0,115.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Malta,5.0,10.0,0.0,10.0,15.0,10.0,5.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Netherlands,475.0,405.0,475.0,550.0,815.0,695.0,730.0,585.0,505.0,440.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Norway,415.0,470.0,405.0,225.0,715.0,630.0,600.0,640.0,465.0,335.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Poland,2875.0,3345.0,3755.0,5375.0,6950.0,6905.0,7050.0,4050.0,2945.0,3160.0
