Time frequency,Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,EU27 countries (from 2020) except reporting country,Number,Austria,31566.0,31764.0,30908.0,35228.0,35053.0,32535.0,34381.0,36458.0,41030.0,45582.0
Annual,EU27 countries (from 2020) except reporting country,Number,Belgium,55233.0,53057.0,51740.0,55337.0,58063.0,57198.0,63932.0,51663.0,57011.0,56676.0
Annual,EU27 countries (from 2020) except reporting country,Number,Bulgaria,12566 p,19150 p,19632 p,19606 p,20197 p,22923 p,28241 p,3018 p,16856.0,7539.0
Annual,EU27 countries (from 2020) except reporting country,Number,Switzerland,50013.0,54885.0,60486.0,63438.0,68902.0,72567.0,71209.0,64758.0,67543.0,70816.0
Annual,EU27 countries (from 2020) except reporting country,Number,Cyprus,:,:,:,:,:,:,:,13125.0,11308.0,6868.0
Annual,EU27 countries (from 2020) except reporting country,Number,Czechia,12356 b,13509.0,12108.0,18078.0,12787.0,12482.0,35754.0,16496.0,8451.0,14415.0
Annual,EU27 countries (from 2020) except reporting country,Number,Germany,123515 e,153816 e,154971 e,190238 e,216659 e,228086 e,258391 e,214002 e,239794 e,238650 e
Annual,EU27 countries (from 2020) except reporting country,Number,Denmark,19171.0,19991.0,19971.0,21057.0,22777.0,23944.0,24384.0,20827.0,18873.0,24145.0
Annual,EU27 countries (from 2020) except reporting country,Number,Estonia,5848.0,3800.0,8682 be,9954.0,8750.0,7627.0,9489.0,8515.0,8339.0,6498.0
Annual,EU27 countries (from 2020) except reporting country,Number,Greece,45587.0,41581 b,42573.0,41921.0,40125.0,40198.0,33110.0,30136.0,32786.0,33079.0
Annual,EU27 countries (from 2020) except reporting country,Number,Spain,185880.0,159097.0,144594.0,138796.0,155105.0,126934.0,122478.0,102718.0,72194 b,58410.0
Annual,EU27 countries (from 2020) except reporting country,Number,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,1046281 ep,1138624 be,1220458 e
Annual,EU27 countries (from 2020) except reporting country,Number,Finland,7622.0,8835.0,9560.0,10258.0,10110.0,10920.0,9821.0,8249.0,7920.0,9004.0
Annual,EU27 countries (from 2020) except reporting country,Number,France,73491.0,100659.0,91284.0,86179.0,59058.0,:,:,26404.0,62699.0,110447.0
Annual,EU27 countries (from 2020) except reporting country,Number,Croatia,4652.0,12393.0,19431.0,28150.0,38432.0,30119.0,27378.0,17272.0,20884.0,25415.0
Annual,EU27 countries (from 2020) except reporting country,Number,Hungary,25003.0,30275.0,30873.0,28805.0,26920.0,34916.0,33678.0,26978.0,29158.0,30675.0
Annual,EU27 countries (from 2020) except reporting country,Number,Ireland,23536.0,19724.0,18850.0,19340.0,20622.0,12941.0,19018.0,32508.0,31262.0,35625.0
Annual,EU27 countries (from 2020) except reporting country,Number,Iceland,2336.0,2264.0,2436.0,2786.0,2569.0,3178.0,3495.0,4959.0,3677.0,4044.0
Annual,EU27 countries (from 2020) except reporting country,Number,Italy,54049.0,61644.0,67877.0,72188.0,75793.0,79026.0,82622.0,72189.0,72873.0,72133.0
Annual,EU27 countries (from 2020) except reporting country,Number,Liechtenstein,135.0,155.0,133.0,166.0,148.0,178.0,184.0,165.0,194.0,201.0
Annual,EU27 countries (from 2020) except reporting country,Number,Lithuania,13416.0,13124.0,14374.0,16843.0,16731.0,13111.0,11262.0,7399.0,8957.0,6622.0
Annual,EU27 countries (from 2020) except reporting country,Number,Luxembourg,8063 e,8631.0,9862.0,10689.0,11244.0,11534.0,12688.0,12516.0,13480.0,14261.0
Annual,EU27 countries (from 2020) except reporting country,Number,Latvia,10177.0,8829.0,9209.0,8636.0,8451.0,9064.0,9178.0,7948.0,8292.0,11573.0
Annual,EU27 countries (from 2020) except reporting country,Number,Montenegro,:,:,:,:,:,:,:,6.0,:,8.0
Annual,EU27 countries (from 2020) except reporting country,Number,North Macedonia,387.0,299.0,426.0,278.0,135.0,130.0,500.0,687.0,903.0,1338.0
Annual,EU27 countries (from 2020) except reporting country,Number,Malta,:,:,:,:,:,:,:,9018.0,8624.0,7281.0
Annual,EU27 countries (from 2020) except reporting country,Number,Netherlands,50737.0,51777.0,51201.0,53277.0,53623.0,56441.0,57450.0,57647.0,63475.0,65888.0
Annual,EU27 countries (from 2020) except reporting country,Number,Norway,10852.0,17260.0,17718.0,22396.0,20956.0,18184.0,14300.0,13563.0,22023.0,21830.0
Annual,EU27 countries (from 2020) except reporting country,Number,Poland,176022.0,153186 ep,143861 ep,137869 ep,150085 ep,125871 ep,119624 ep,102867.0,125643.0,135569.0
Annual,EU27 countries (from 2020) except reporting country,Number,Portugal,26887 e,23116 e,17423 e,18087 e,15328 e,16060.0,17297.0,14047.0,12904.0,15812.0
