Time frequency,Sex,Age class,Country of citizenship,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,4 years or less,Total,Person,Austria,380.0,357.0,326.0,309.0,286.0,270.0,280.0,276.0,379.0,372.0
Annual,Females,4 years or less,Total,Person,Belgium,2629.0,2353.0,3357.0,3400.0,3547.0,3614.0,3808.0,3314.0,3237.0,3019.0
Annual,Females,4 years or less,Total,Person,Bulgaria,0.0,465.0,532.0,588.0,573.0,187.0,748.0,181.0,128.0,155.0
Annual,Females,4 years or less,Total,Person,Switzerland,14710.0,14404.0,14283.0,:,:,:,:,11787.0,10986.0,10552.0
Annual,Females,4 years or less,Total,Person,Cyprus,118.0,166.0,237.0,294.0,299.0,306.0,259.0,196.0,203.0,136.0
Annual,Females,4 years or less,Total,Person,Czechia,5281.0,5543.0,5685.0,5577.0,5332.0,5189.0,4839.0,4659.0,4624.0,4597.0
Annual,Females,4 years or less,Total,Person,Germany,:,:,:,:,0.0,:,36.0,4.0,7.0,14.0
Annual,Females,4 years or less,Total,Person,Denmark,:,:,:,:,:,:,:,0.0,:,:
Annual,Females,4 years or less,Total,Person,Estonia,723.0,741.0,752.0,737.0,762.0,762.0,691.0,651.0,649.0,512.0
Annual,Females,4 years or less,Total,Person,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Females,4 years or less,Total,Person,Spain,343.0,211.0,64832 b,65895.0,65352.0,63896.0,58207.0,54540.0,54478.0,47736.0
Annual,Females,4 years or less,Total,Person,Finland,:,:,:,:,0.0,347.0,285.0,514.0,547.0,135.0
Annual,Females,4 years or less,Total,Person,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p,1.0,2.0
Annual,Females,4 years or less,Total,Person,Croatia,:,58.0,79.0,100.0,80.0,77.0,57.0,63.0,61.0,59.0
