Time frequency,Unit of measure,Level of efficiency,Type of network,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0
Annual,Kilometre,High,District cooling,Austria,:,:,:,36.0
Annual,Kilometre,High,District cooling,Belgium,:,0.0,:,:
Annual,Kilometre,High,District cooling,Euro area – 20 countries (from 2023),:,255.265,:,325.12
Annual,Kilometre,High,District cooling,Estonia,7.2,9.5,11.1,13.4
Annual,Kilometre,High,District cooling,Spain,29.1,31.1,33.6,81.32
Annual,Kilometre,High,District cooling,European Union - 27 countries (from 2020),:,255.265,:,325.12
Annual,Kilometre,High,District cooling,Finland,157.0,159.0,169.0,178.0
Annual,Kilometre,High,District cooling,Italy,7.761,8.065,8.758,13.8
Annual,Kilometre,High,District cooling,Luxembourg,:,2.6,2.6,2.6
Annual,Kilometre,High,District cooling,Malta,:,:,:,0.0
Annual,Kilometre,High,District cooling,Portugal,45.0,45.0,45.0,:
Annual,Kilometre,High,District cooling,Slovenia,0.26,0.0,0.0,0.0
Annual,Kilometre,High,District heating,Austria,5600.0,5600.0,5800.0,6000.0
Annual,Kilometre,High,District heating,Belgium,:,113.902,:,:
Annual,Kilometre,High,District heating,Bulgaria,2440.0,2448.0,2476.0,2523.0
Annual,Kilometre,High,District heating,Euro area – 20 countries (from 2023),:,32831.663,:,34681.238
Annual,Kilometre,High,District heating,Estonia,1447.0,1408.0,1525.0,1569.0
Annual,Kilometre,High,District heating,Greece,58137.0,848.31,825.03,609.26
Annual,Kilometre,High,District heating,Spain,136.8,143.8,148.9,210.2
Annual,Kilometre,High,District heating,European Union - 27 countries (from 2020),:,43043.273,:,45629.24
Annual,Kilometre,High,District heating,Finland,14023.0,14429.0,15482.0,14737.5
Annual,Kilometre,High,District heating,France,5244.774,5410.006,5767.721,6344.728
Annual,Kilometre,High,District heating,Italy,3939.727,3950.755,4031.006,4301.0
Annual,Kilometre,High,District heating,Luxembourg,:,114.0,120.5,120.5
Annual,Kilometre,High,District heating,Malta,:,:,:,0.0
Annual,Kilometre,High,District heating,Romania,7586.914,7763.61,7759.951,8425.002
Annual,Kilometre,High,District heating,Slovenia,731.99,813.89,796.26,789.05
Annual,Kilometre,High,District heating - hot water,Austria,5600.0,5600.0,5800.0,6000.0
Annual,Kilometre,High,District heating - hot water,Bulgaria,2417.0,2425.0,2438.0,2485.0
Annual,Kilometre,High,District heating - hot water,Euro area – 20 countries (from 2023),:,26402.474,:,26243.09
Annual,Kilometre,High,District heating - hot water,Estonia,1447.0,1408.0,:,:
Annual,Kilometre,High,District heating - hot water,Greece,58137.0,848.31,825.03,609.26
Annual,Kilometre,High,District heating - hot water,European Union - 27 countries (from 2020),:,36586.284,:,37148.292
Annual,Kilometre,High,District heating - hot water,Finland,14023.0,14429.0,15482.0,14737.5
Annual,Kilometre,High,District heating - hot water,France,3789.939,3962.164,4259.489,4779.83
Annual,Kilometre,High,District heating - hot water,Luxembourg,:,110.0,116.5,116.5
Annual,Kilometre,High,District heating - hot water,Malta,:,:,:,0.0
Annual,Kilometre,High,District heating - hot water,Portugal,45.0,45.0,45.0,:
Annual,Kilometre,High,District heating - hot water,Romania,7563.514,7758.81,7755.151,8420.202
Annual,Kilometre,High,District heating - steam,Austria,0.0,:,:,:
Annual,Kilometre,High,District heating - steam,Bulgaria,23.0,23.0,38.0,38.0
Annual,Kilometre,High,District heating - steam,Euro area – 20 countries (from 2023),:,1451.842,:,1568.898
Annual,Kilometre,High,District heating - steam,European Union - 27 countries (from 2020),:,1479.642,:,1611.698
Annual,Kilometre,High,District heating - steam,France,1454.835,1447.842,1508.232,1564.898
Annual,Kilometre,High,District heating - steam,Luxembourg,:,4.0,4.0,4.0
Annual,Kilometre,High,District heating - steam,Malta,:,:,:,0.0
Annual,Kilometre,High,District heating - steam,Romania,23.4,4.8,4.8,4.8
Annual,Kilometre,Low,District cooling,Belgium,:,0.0,:,:
Annual,Kilometre,Low,District cooling,Euro area – 20 countries (from 2023),:,303.775,:,344.812
Annual,Kilometre,Low,District cooling,Estonia,0.5,0.96,0.8,0.83
Annual,Kilometre,Low,District cooling,Spain,45.1,46.1,46.5,9.0
Annual,Kilometre,Low,District cooling,European Union - 27 countries (from 2020),:,303.775,:,344.812
Annual,Kilometre,Low,District cooling,Finland,6.0,6.0,6.0,8.0
Annual,Kilometre,Low,District cooling,France,238.53,224.83,238.022,249.522
Annual,Kilometre,Low,District cooling,Italy,24.105,24.425,23.064,31.0
Annual,Kilometre,Low,District cooling,Luxembourg,:,0.0,0.0,0.0
Annual,Kilometre,Low,District cooling,Malta,:,:,:,0.0
Annual,Kilometre,Low,District cooling,Slovenia,1.2,1.46,1.46,1.46
Annual,Kilometre,Low,District heating,Belgium,:,48.603,:,:
Annual,Kilometre,Low,District heating,Bulgaria,676.0,676.0,676.0,682.0
Annual,Kilometre,Low,District heating,Euro area – 20 countries (from 2023),:,5982.672,:,4563.472
Annual,Kilometre,Low,District heating,Greece,:,:,159.0,230.0
Annual,Kilometre,Low,District heating,Spain,71.5,73.7,84.4,47.8
Annual,Kilometre,Low,District heating,European Union - 27 countries (from 2020),:,11675.687,:,10883.105
Annual,Kilometre,Low,District heating,Finland,669.0,496.0,400.0,406.0
Annual,Kilometre,Low,District heating,France,519.476,595.907,571.594,546.882
Annual,Kilometre,Low,District heating,Italy,1015.048,1104.142,1145.254,955.0
Annual,Kilometre,Low,District heating,Latvia,3459.0,3517.0,2352.0,2281.0
Annual,Kilometre,Low,District heating,Malta,:,:,:,0.0
Annual,Kilometre,Low,District heating,Romania,5869.0,5017.015,5234.623,5637.633
Annual,Kilometre,Low,District heating,Slovenia,148.0,147.32,126.4,96.79
Annual,Kilometre,Low,District heating - hot water,Belgium,:,48.603,:,:
Annual,Kilometre,Low,District heating - hot water,Bulgaria,676.0,676.0,676.0,682.0
Annual,Kilometre,Low,District heating - hot water,Euro area – 20 countries (from 2023),:,1025.165,:,1059.329
Annual,Kilometre,Low,District heating - hot water,Greece,:,:,:,170.0
Annual,Kilometre,Low,District heating - hot water,European Union - 27 countries (from 2020),:,6717.68,:,7378.962
Annual,Kilometre,Low,District heating - hot water,Finland,669.0,496.0,400.0,406.0
Annual,Kilometre,Low,District heating - hot water,France,416.42,480.562,459.616,438.329
Annual,Kilometre,Low,District heating - hot water,Malta,:,:,:,0.0
Annual,Kilometre,Low,District heating - hot water,Romania,5868.5,5016.515,5234.623,5637.633
Annual,Kilometre,Low,District heating - steam,Belgium,:,0.0,:,:
Annual,Kilometre,Low,District heating - steam,Bulgaria,0.0,0.0,:,:
Annual,Kilometre,Low,District heating - steam,Euro area – 20 countries (from 2023),:,115.345,:,108.553
Annual,Kilometre,Low,District heating - steam,European Union - 27 countries (from 2020),:,115.845,:,108.553
Annual,Kilometre,Low,District heating - steam,France,103.056,115.345,111.978,108.553
Annual,Kilometre,Low,District heating - steam,Malta,:,:,:,0.0
Annual,Kilometre,Low,District heating - steam,Romania,0.5,0.5,0.0,0.0
Annual,Number,High,District cooling,Belgium,:,0.0,:,:
Annual,Number,High,District cooling,Euro area – 20 countries (from 2023),:,37.0,:,41.0
Annual,Number,High,District cooling,Estonia,2.0,3.0,3.0,3.0
Annual,Number,High,District cooling,Spain,5.0,5.0,5.0,8.0
Annual,Number,High,District cooling,European Union - 27 countries (from 2020),:,37.0,:,41.0
Annual,Number,High,District cooling,Finland,7.0,7.0,7.0,6.0
Annual,Number,High,District cooling,Italy,17.0,20.0,19.0,23.0
Annual,Number,High,District cooling,Luxembourg,:,1.0,1.0,1.0
