Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,AT,9.9,8.4,8.6,8.8,8.7,8.7,8.5
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,BA,10.8000 e,:,87.24,87.56,67.0,67.0,67.0
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,BE,11.8767,9.2666,14.6409,10.3558,10.6367,10.7504,10.7175
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,BG,5.53,6.7,7.736,6.3037,6.4481,7.3051,6.6781
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,CZ,19.1241,17.8093,18.7115,18.1551,17.1496,18.9842,19.2789
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,DE,:,11.0,20.99,13.87,10.32,11.14,11.25
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,DK,19.0,19.0,12.0,10.0,12.0,13.0,14.3
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,EA,:,:,: e,:,:,: @C,:
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,EE,9.9103,14.2633,19.7751,18.0084,18.6429,29.5859,29.3545
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,EL,1.99,8.2,:,10.26,10.1503,8.65,8.3699
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,ES,:,:,5.4000 e,6.5271,5.57,1.9576,2.0331
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,EU27_2020,8.4295 e,12.3260 e,15.5185 e,13.1328,12.3534,10.986,:
Annual,Consumption from 1 000 GJ to 9 999 GJ -band I2,4100.0,PC,FI,3.1577,3.13,2.86,2.83,2.3900 e,2.5300 e,0.769
