Time frequency,Customer,Components of energy prices,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Household,Network distribution costs,4100.0,PC,AT,81.0000 e,79.0000 e,79.0000 e,79.5000 e,79.8000 e,71.3000 e,71.3000 e
Annual,Household,Network distribution costs,4100.0,PC,BA,14.0,14.0,13.0,13.0,13.0,9.0,8.0
Annual,Household,Network distribution costs,4100.0,PC,BE,89.9749 e,90.5684,90.57,89.95,89.88,90.23,90.0
Annual,Household,Network distribution costs,4100.0,PC,BG,90.36,88.39,89.4092,89.3254,86.0436,84.9583,83.6314
Annual,Household,Network distribution costs,4100.0,PC,CZ,96.0,95.0,94.0,95.0,95.0,93.2,91.6
Annual,Household,Network distribution costs,4100.0,PC,DE,:,:,84.86,84.15,86.5,78.4,82.29
Annual,Household,Network distribution costs,4100.0,PC,DK,94.0,93.0,91.0,91.0,90.0,91.0,91.0
Annual,Household,Network distribution costs,4100.0,PC,EE,77.0000 e,: u,: u,: u,53.0,53.0000 u,53.0000 u
Annual,Household,Network distribution costs,4100.0,PC,EL,: @C,83.38,84.22,86.86,85.8166,87.1006,88.9975
Annual,Household,Network distribution costs,4100.0,PC,ES,:,:,64.8500 e,63.66,64.38,82.7239,74.826
Annual,Household,Network distribution costs,4100.0,PC,FR,79.7065,77.5824,77.6497,80.6414,79.7673,80.5605,84.0933
Annual,Household,Network distribution costs,4100.0,PC,GE,:,88.0,89.0,90.0,91.2,91.0,93.0
Annual,Household,Network distribution costs,4100.0,PC,HR,74.14,75.61,82.39,81.6817,77.72,72.59,74.44
Annual,Household,Network distribution costs,4100.0,PC,HU,56.9023 e,56.9000 e,32.0606,86.7387,64.9111,65.6107,65.6107
Annual,Household,Network distribution costs,4100.0,PC,IE,68.8042,75.1791,74.2863,:,:,:,71.4
Annual,Household,Network distribution costs,4100.0,PC,IT,:,:,75.068,75.3972,75.5701,65.8795,55.974
Annual,Household,Network distribution costs,4100.0,PC,LT,79.7771,82.0191,85.4985,78.0703,83.2261,92.7686,93.7282
Annual,Household,Network distribution costs,4100.0,PC,LU,92.11,86.26,85.36,85.36,86.33,86.05,:
Annual,Household,Network distribution costs,4100.0,PC,LV,87.7,87.18,85.56,87.28,88.15,90.24,92.2
Annual,Household,Network distribution costs,4100.0,PC,MD,96.9,97.3003,97.25,97.3108,82.7409,90.7496,93.7897
Annual,Household,Network distribution costs,4100.0,PC,MK,7.0621,75.55,90.59,88.3,89.7312,68.5,99.8
Annual,Household,Network distribution costs,4100.0,PC,NL,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,:
Annual,Household,Network distribution costs,4100.0,PC,PL,: u,62.2971,99.9967,99.9732,99.9262,99.5546,99.459
Annual,Household,Network distribution costs,4100.0,PC,PT,97.0,96.42,96.5,97.9,98.8,98.93,98.82
Annual,Household,Network distribution costs,4100.0,PC,RO,77.5914 e,79.9308 e,80.3528,82.6364,82.3666,78.8624,80.5017
Annual,Household,Network distribution costs,4100.0,PC,RS,100.0,100.0,100.0,100.0,100.0,:,22.2700 e
Annual,Household,Network distribution costs,4100.0,PC,SE,66.98,66.98,66.98,66.98,68.0,68.0,:
Annual,Household,Network distribution costs,4100.0,PC,SI,81.0,78.0,79.5000 e,72.0,72.0,71.0,57.0
Annual,Household,Network distribution costs,4100.0,PC,SK,88.23,87.6,87.6,85.85,82.41,83.49,86.12
Annual,Household,Network distribution costs,4100.0,PC,TR,83.0000 e,86.0000 e,86.0,82.0,84.35,88.75,85.5019
Annual,Household,Network distribution costs,4100.0,PC,UK,93.0,93.0,93.0,:,:,:,:
Annual,Household,Network distribution costs,6000.0,PC,AL,:,:,:,86.4621 e,86.4621 e,88.31,88.3081 e
Annual,Household,Network distribution costs,6000.0,PC,AT,82.0000 e,79.0000 e,82.3,84.7000 e,84.1000 e,83.3000 e,83.3000 e
Annual,Household,Network distribution costs,6000.0,PC,BA,80.35,79.4937,77.8551,78.3232,78.3928,79.2759,79.3934
Annual,Household,Network distribution costs,6000.0,PC,BE,88.3488,88.3488,88.3,87.7,87.57,87.12,87.0
Annual,Household,Network distribution costs,6000.0,PC,BG,80.5,79.7253,80.0,80.0,79.0,79.0,77.89
Annual,Household,Network distribution costs,6000.0,PC,CY,:,68.1241,69.5803,70.044,70.9016,72.9018,74.7873
Annual,Household,Network distribution costs,6000.0,PC,CZ,91.0,89.0,91.0,88.0,84.0,84.2,84.0
Annual,Household,Network distribution costs,6000.0,PC,DE,:,:,75.54,76.61,75.6,76.3,67.4
Annual,Household,Network distribution costs,6000.0,PC,DK,79.0,80.0,80.0,75.0,72.0,74.0,80.0
Annual,Household,Network distribution costs,6000.0,PC,EE,77.0000 e,77.0000 e,75.0000 e,: u,: u,67.0000 u,67.0000 u
Annual,Household,Network distribution costs,6000.0,PC,EL,80.07,80.0,80.02,79.96,79.63,78.3612,77.39
Annual,Household,Network distribution costs,6000.0,PC,ES,:,:,76.8872,79.7903,75.4,71.19,78.3054
Annual,Household,Network distribution costs,6000.0,PC,FI,85.0,90.0,90.0,90.0,90.0000 e,90.0000 e,90.0000 e
Annual,Household,Network distribution costs,6000.0,PC,FR,78.7826,78.7161,78.503,79.3238,79.6136,80.6258,91.4039
Annual,Household,Network distribution costs,6000.0,PC,GE,:,77.3,77.3,77.3,77.3,77.0,79.9
Annual,Household,Network distribution costs,6000.0,PC,HR,73.33,73.37,73.3763,73.4658,73.2184,72.8893,72.578
Annual,Household,Network distribution costs,6000.0,PC,HU,79.6175 e,81.8812,82.7347,77.2594,74.992,58.932,59.5099
Annual,Household,Network distribution costs,6000.0,PC,IE,82.8884,79.65,77.0,79.1947,75.4215,68.0,64.0
Annual,Household,Network distribution costs,6000.0,PC,IS,:,:,76.0000 e,77.0000 e,75.5000 e,77.7000 e,78.6646 e
Annual,Household,Network distribution costs,6000.0,PC,IT,:,:,84.8977,83.2942,82.5184,82.69,82.2
Annual,Household,Network distribution costs,6000.0,PC,LT,72.5641,72.0845,72.3312,70.3704,72.6433,63.9623,84.48
Annual,Household,Network distribution costs,6000.0,PC,LU,100.0,100.0,100.0,100.0,100.0,99.99,99.9999
Annual,Household,Network distribution costs,6000.0,PC,LV,77.34,77.9,79.03,77.2116,77.9347,78.4363,84.8885
Annual,Household,Network distribution costs,6000.0,PC,MD,100.0,100.0,100.0,100.0,100.0,94.5837,95.3226
Annual,Household,Network distribution costs,6000.0,PC,ME,82.97,82.9,83.0,83.0,83.0,83.0,83.0
