Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Table grape vines,Bulgaria,:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Table grape vines,Spain,2445.86,1791.62
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Table grape vines,European Union - 28 countries (2013-2020),14319.49,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Table grape vines,France,5.57,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Table grape vines,Italy,11576.05,11657.5
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Table grape vines,Romania,292.01,60.9
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Red table grape vines,France,2.33,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Normal red table grape vines,France,2.33,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,White table grape vines,France,3.24,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Total,Normal white table grape vines,France,3.24,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Bulgaria,:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Spain,1151.5,345.01
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,European Union - 28 countries (2013-2020),6552.07,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,France,0.23,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Italy,5321.53,5831.59
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Romania,78.81,11.75
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Red table grape vines,France,0.23,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 10 to 19 years,Normal red table grape vines,France,0.23,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Bulgaria,:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Spain,675.47,535.44
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,European Union - 28 countries (2013-2020),5174.72,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Italy,4411.38,2958.36
Annual,From 1 000 to 1 499 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Romania,87.87,18.93
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Table grape vines,Bulgaria,:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Table grape vines,Spain,594.53,355.19
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Table grape vines,European Union - 28 countries (2013-2020),1641.25,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Table grape vines,France,5.34,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Table grape vines,Italy,937.56,1843.81
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Table grape vines,Romania,103.82,28.7
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Red table grape vines,France,2.1,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Normal red table grape vines,France,2.1,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,White table grape vines,France,3.24,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,20 years or over,Normal white table grape vines,France,3.24,:
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Less than 3 years,Table grape vines,Bulgaria,:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Less than 3 years,Table grape vines,Spain,24.36,555.99
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Less than 3 years,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Less than 3 years,Table grape vines,European Union - 28 countries (2013-2020),951.45,: @C
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Less than 3 years,Table grape vines,Italy,905.58,1023.75
Annual,From 1 000 to 1 499 trees per hectare,Hectare,Less than 3 years,Table grape vines,Romania,21.51,1.52
Annual,1 500 trees per hectare or over,Hectare,Total,Table grape vines,Bulgaria,:,2711.98
Annual,1 500 trees per hectare or over,Hectare,Total,Table grape vines,Spain,5676.15,6361.05
Annual,1 500 trees per hectare or over,Hectare,Total,Table grape vines,European Union - 27 countries (from 2020),:,39736.91
Annual,1 500 trees per hectare or over,Hectare,Total,Table grape vines,European Union - 28 countries (2013-2020),34958.72,39736.91
Annual,1 500 trees per hectare or over,Hectare,Total,Table grape vines,France,4844.87,:
Annual,1 500 trees per hectare or over,Hectare,Total,Table grape vines,Italy,20977.98,25502.72
Annual,1 500 trees per hectare or over,Hectare,Total,Table grape vines,Romania,3459.72,5161.16
Annual,1 500 trees per hectare or over,Hectare,Total,Red table grape vines,France,3478.17,:
Annual,1 500 trees per hectare or over,Hectare,Total,Normal red table grape vines,France,3466.07,:
Annual,1 500 trees per hectare or over,Hectare,Total,Seedless red table grape vines,France,12.09,:
Annual,1 500 trees per hectare or over,Hectare,Total,White table grape vines,France,1366.71,:
Annual,1 500 trees per hectare or over,Hectare,Total,Normal white table grape vines,France,1286.1,:
Annual,1 500 trees per hectare or over,Hectare,Total,Seedless white table grape vines,France,80.61,:
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,Bulgaria,:,778.69
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,Spain,2433.77,1939.61
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,European Union - 27 countries (from 2020),:,17386.29
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,European Union - 28 countries (2013-2020),13929.55,17386.29
