Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0
Annual,Processing and preserving of meat and production of meat products,Number,Belgium,:,57.0,:,72.0
Annual,Processing and preserving of meat and production of meat products,Number,Bulgaria,1.0,0.0,1.0,0.0
Annual,Processing and preserving of meat and production of meat products,Number,Czechia,72.0,63.0,65.0,77.0
Annual,Processing and preserving of meat and production of meat products,Number,Denmark,53.0,131.0,128.0,126.0
Annual,Processing and preserving of meat and production of meat products,Number,Estonia,2.0,2.0,3.0,6.0
Annual,Processing and preserving of meat and production of meat products,Number,Greece,72.0,96.0,56.0,46.0
Annual,Processing and preserving of meat and production of meat products,Number,Spain,220.0,223.0,255.0,345.0
Annual,Processing and preserving of meat and production of meat products,Number,Finland,33.0,53.0,51.0,61.0
Annual,Processing and preserving of meat and production of meat products,Number,France,391.0,:,575.0,550.0
Annual,Processing and preserving of meat and production of meat products,Number,Hungary,:,30.0,19.0,19.0
Annual,Processing and preserving of meat and production of meat products,Number,Ireland,33.0,22.0,:,:
Annual,Processing and preserving of meat and production of meat products,Number,Italy,308.0,383.0,320.0,349.0
Annual,Processing and preserving of meat and production of meat products,Number,Lithuania,3.0,2.0,3.0,:
Annual,Processing and preserving of meat and production of meat products,Number,Latvia,3.0,6.0,5.0,6.0
Annual,Processing and preserving of meat and production of meat products,Number,Netherlands,138.0,151.0,151.0,210.0
Annual,Processing and preserving of meat and production of meat products,Number,Norway,107.0,129.0,88.0,88.0
Annual,Processing and preserving of meat and production of meat products,Number,Poland,:,17.0,11.0,16.0
Annual,Processing and preserving of meat and production of meat products,Number,Romania,0.0,3.0,3.0,2.0
Annual,Processing and preserving of meat and production of meat products,Number,Sweden,71.0,128.0,64.0,107.0
Annual,Processing and preserving of meat and production of meat products,Number,Slovenia,10.0,8.0,11.0,18.0
Annual,Processing and preserving of meat and production of meat products,Number,Slovakia,5.0,5.0,3.0,3.0
Annual,Processing and preserving of meat and production of meat products,Number,United Kingdom,650.0,542.0,464.0,450.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Belgium,:,1.0,:,7.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Denmark,8.0,16.0,19.0,22.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Estonia,:,:,:,1.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Greece,:,:,2.0,7.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Spain,:,8.0,19.0,24.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Finland,0.0,0.0,0.0,2.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,France,59.0,:,88.0,110.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Hungary,:,:,1.0,1.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Ireland,:,18.0,:,:
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Italy,0.0,6.0,19.0,31.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Lithuania,0.0,0.0,1.0,:
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Netherlands,2.0,3.0,3.0,11.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Romania,1.0,1.0,1.0,:
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,Sweden,:,:,18.0,25.0
Annual,"Processing and preserving of fish, crustaceans and molluscs",Number,United Kingdom,:,44.0,40.0,31.0
Annual,Processing and preserving of fruit and vegetables,Number,Belgium,:,79.0,:,162.0
Annual,Processing and preserving of fruit and vegetables,Number,Bulgaria,16.0,29.0,21.0,22.0
Annual,Processing and preserving of fruit and vegetables,Number,Czechia,37.0,35.0,45.0,51.0
Annual,Processing and preserving of fruit and vegetables,Number,Denmark,38.0,46.0,45.0,48.0
Annual,Processing and preserving of fruit and vegetables,Number,Estonia,9.0,15.0,12.0,17.0
Annual,Processing and preserving of fruit and vegetables,Number,Greece,304.0,555.0,300.0,278.0
Annual,Processing and preserving of fruit and vegetables,Number,Spain,520.0,605.0,745.0,735.0
Annual,Processing and preserving of fruit and vegetables,Number,Finland,83.0,95.0,87.0,86.0
Annual,Processing and preserving of fruit and vegetables,Number,France,253.0,:,332.0,492.0
Annual,Processing and preserving of fruit and vegetables,Number,Croatia,:,:,1.0,:
Annual,Processing and preserving of fruit and vegetables,Number,Hungary,:,111.0,110.0,108.0
Annual,Processing and preserving of fruit and vegetables,Number,Ireland,85.0,32.0,:,:
Annual,Processing and preserving of fruit and vegetables,Number,Italy,1277.0,1715.0,1617.0,1695.0
Annual,Processing and preserving of fruit and vegetables,Number,Lithuania,3.0,7.0,12.0,:
Annual,Processing and preserving of fruit and vegetables,Number,Latvia,2.0,15.0,18.0,18.0
Annual,Processing and preserving of fruit and vegetables,Number,Netherlands,307.0,336.0,336.0,413.0
Annual,Processing and preserving of fruit and vegetables,Number,Norway,64.0,67.0,65.0,72.0
Annual,Processing and preserving of fruit and vegetables,Number,Poland,:,95.0,59.0,38.0
Annual,Processing and preserving of fruit and vegetables,Number,Romania,29.0,11.0,20.0,27.0
Annual,Processing and preserving of fruit and vegetables,Number,Sweden,68.0,75.0,97.0,113.0
Annual,Processing and preserving of fruit and vegetables,Number,Slovenia,18.0,18.0,25.0,20.0
Annual,Processing and preserving of fruit and vegetables,Number,Slovakia,10.0,4.0,11.0,6.0
Annual,Processing and preserving of fruit and vegetables,Number,United Kingdom,797.0,709.0,452.0,396.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Belgium,:,14.0,:,26.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Bulgaria,7.0,5.0,15.0,2.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Czechia,1.0,3.0,4.0,6.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Denmark,5.0,7.0,11.0,11.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Estonia,1.0,2.0,1.0,2.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Greece,801.0,897.0,759.0,721.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Spain,297.0,310.0,352.0,371.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Finland,4.0,6.0,5.0,8.0
Annual,Manufacture of vegetable and animal oils and fats,Number,France,50.0,:,60.0,90.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Croatia,:,:,1.0,:
Annual,Manufacture of vegetable and animal oils and fats,Number,Hungary,:,9.0,12.0,12.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Ireland,0.0,0.0,:,:
