Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,Juillet-Décembre 2014,Juillet-Décembre 2015,Juillet-Décembre 2016,Juillet-Décembre 2017,Juillet-Décembre 2018,Juillet-Décembre 2019,Juillet-Décembre 2020,Juillet-Décembre 2021,Janvier-Juin 2022,Juillet-Décembre 2022,Janvier-Juin 2023,Juillet-Décembre 2023
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Austria,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.5,2.4,2.4,2.8,2.5
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Belgium,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3.0,3.2,3.1,3.5,3.1
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Bulgaria,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.8,0.5,0.9
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Cyprus,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Czechia,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2.2,2.2,2.2,1.7,2.2
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Germany,20.1,20.1,20.0,19.9,19.9,19.6,19.4,22.6,22.2,22.3,24.5,21.9
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Denmark,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.8,1.7,1.7,2.4,1.8
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Estonia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Greece,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.3,1.6
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Spain,8.6,8.3,8.3,8.3,8.4,8.3,8.2,9.1,8.9,8.9,8.4,9.1
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",European Union - 27 countries (from 2020),100.0,99.9,100.2,100.2,99.9,99.8,100.3,100.2,100.1,99.9,100.0,100.7
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Finland,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.7,1.4
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",France,14.0,13.9,13.7,13.7,13.6,13.6,13.8,15.7,15.8,15.9,16.7,15.5
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Croatia,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.4,0.6
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Hungary,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.6,1.6,1.6,1.1,1.7
"Half-yearly, semesterly","Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices",Ireland,1.1,1.2,1.6,1.7,1.7,1.8,1.9,2.4,2.5,2.5,3.2,2.7
