Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,37.8,50.8,41.8
Annual,Percentage,From 15 to 24 years,Females,Belgium,18.3,21.3,30.0
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,6.1,20.5,9.2 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,0.0 u,22.0 u,21.6
Annual,Percentage,From 15 to 24 years,Females,Czechia,21.7,47.0 u,39.6 u
Annual,Percentage,From 15 to 24 years,Females,Germany,25.5,31.3,47.8
Annual,Percentage,From 15 to 24 years,Females,Denmark,13.7,23.5,18.4
Annual,Percentage,From 15 to 24 years,Females,Estonia,17.5 u,30.5 u,39.6
Annual,Percentage,From 15 to 24 years,Females,Greece,15.8,6.4 u,29.0 u
Annual,Percentage,From 15 to 24 years,Females,Spain,14.7,17.6,23.2
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),17.9,28.3,35.0
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),20.9,30.8,41.0
Annual,Percentage,From 15 to 24 years,Females,Finland,35.4,54.3,23.3 u
Annual,Percentage,From 15 to 24 years,Females,France,17.7,17.2,30.6
Annual,Percentage,From 15 to 24 years,Females,Croatia,4.6,17.8 u,27.6 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,9.2 u,25.8 u,3.9 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,26.9,34.3,60.7
Annual,Percentage,From 15 to 24 years,Females,Italy,6.9,31.3,39.3 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,25.8,16.5 u,21.3
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,28.2 u,31.4,69.5 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,29.0,51.0 u,35.4
Annual,Percentage,From 15 to 24 years,Females,Malta,26.7,41.2,32.0
Annual,Percentage,From 15 to 24 years,Females,Netherlands,15.7 u,33.8,40.8
Annual,Percentage,From 15 to 24 years,Females,Poland,17.1,28.3,24.0
Annual,Percentage,From 15 to 24 years,Females,Portugal,9.0,25.3 u,34.9 u
Annual,Percentage,From 15 to 24 years,Females,Romania,6.6,31.5 u,37.1 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,30.8 u,26.7 u,19.2
Annual,Percentage,From 15 to 24 years,Females,Slovenia,14.2 u,28.3,18.6 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,20.3,32.6 u,45.9 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,33.7,41.7,63.0
Annual,Percentage,From 15 to 24 years,Males,Austria,23.6,30.3,49.3
Annual,Percentage,From 15 to 24 years,Males,Belgium,22.5,28.7,34.7
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,8.0,9.7 u,12.5
Annual,Percentage,From 15 to 24 years,Males,Cyprus,2.4 u,25.5 u,8.4
Annual,Percentage,From 15 to 24 years,Males,Czechia,25.4,44.0 u,44.9 u
Annual,Percentage,From 15 to 24 years,Males,Germany,20.6,36.5,47.4
Annual,Percentage,From 15 to 24 years,Males,Denmark,11.7,32.0,18.2
Annual,Percentage,From 15 to 24 years,Males,Estonia,15.3,23.2 u,16.3 u
Annual,Percentage,From 15 to 24 years,Males,Greece,16.1,5.0,10.3 u
Annual,Percentage,From 15 to 24 years,Males,Spain,14.8,18.9,19.3
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),18.8,29.6,34.1
