Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Adjud  - Mara?E?Ti,Goods trains,3842.0
Annual,Number,Adjud  - Mara?E?Ti,Passenger trains,9215.0
Annual,Number,Apahida - Coslariu,Goods trains,2712.0
Annual,Number,Apahida - Coslariu,Passenger trains,7642.0
Annual,Number,Arad  - Simeria,Goods trains,3966.0
Annual,Number,Arad  - Simeria,Passenger trains,8296.0
Annual,Number,Arad - Timisoara,Goods trains,1826.0
Annual,Number,Arad - Timisoara,Passenger trains,7775.0
Annual,Number,Bacau  - Adjud,Goods trains,2014.0
Annual,Number,Bacau  - Adjud,Passenger trains,7280.0
Annual,Number,Beclean Pe Somes  - Deda,Goods trains,721.0
Annual,Number,Beclean Pe Somes  - Deda,Passenger trains,4857.0
Annual,Number,Beclean Pe Somes  - Ilva Mica,Goods trains,671.0
Annual,Number,Beclean Pe Somes  - Ilva Mica,Passenger trains,4415.0
Annual,Number,Border ( Curtici Ro/Hu)  - Curtici,Goods trains,2968.0
Annual,Number,Border ( Curtici Ro/Hu)  - Curtici,Passenger trains,4524.0
Annual,Number,Border Ro/Hu  - Episcopia Bihor,Goods trains,1136.0
Annual,Number,Border Ro/Hu  - Episcopia Bihor,Passenger trains,2190.0
Annual,Number,Border Ro/Ua  - Halmeu,Goods trains,1192.0
Annual,Number,Border Ro/Ua  - Halmeu,Passenger trains,1.0
Annual,Number,Border Ro/Ua  - Vic?Ani,Goods trains,1361.0
Annual,Number,Border Ro/Ua  - Vic?Ani,Passenger trains,755.0
Annual,Number,Brazi - Bucuresti,Goods trains,6994.0
Annual,Number,Brazi - Bucuresti,Passenger trains,16520.0
Annual,Number,Brasov  - Predeal,Goods trains,4687.0
Annual,Number,Brasov  - Predeal,Passenger trains,7355.0
Annual,Number,Bucuresti  - Fetesti,Goods trains,4476.0
Annual,Number,Bucuresti  - Fetesti,Passenger trains,5328.0
Annual,Number,Bucuresti - Giurgiu,Goods trains,0.0
Annual,Number,Bucuresti - Giurgiu,Passenger trains,728.0
Annual,Number,Bucuresti  - Videle,Goods trains,6601.0
Annual,Number,Bucuresti  - Videle,Passenger trains,9563.0
Annual,Number,Buzau  - Faurei,Goods trains,7081.0
Annual,Number,Buzau  - Faurei,Passenger trains,5205.0
Annual,Number,Buzau  - Ploiesti Sud,Goods trains,6824.0
Annual,Number,Buzau  - Ploiesti Sud,Passenger trains,11295.0
Annual,Number,Calafat  - Border Ro/Bg,Goods trains,0.0
Annual,Number,Calafat  - Border Ro/Bg,Passenger trains,0.0
Annual,Number,Caracal  - Ro?Iori,Goods trains,5563.0
Annual,Number,Caracal  - Ro?Iori,Passenger trains,7992.0
Annual,Number,Chiajna  - Chitila,Goods trains,5444.0
Annual,Number,Chiajna  - Chitila,Passenger trains,14.0
Annual,Number,Chitila  - Mogo?Oaia,Goods trains,586.0
Annual,Number,Chitila  - Mogo?Oaia,Passenger trains,0.0
Annual,Number,Ciucea  - Apahida,Goods trains,854.0
Annual,Number,Ciucea  - Apahida,Passenger trains,11002.0
Annual,Number,Coslariu  - Sighisoara,Goods trains,1358.0
Annual,Number,Coslariu  - Sighisoara,Passenger trains,6714.0
Annual,Number,Craiova - Calafat,Goods trains,247.0
Annual,Number,Craiova - Calafat,Passenger trains,1418.0
Annual,Number,Craiova  - Caracal,Goods trains,5436.0
Annual,Number,Craiova  - Caracal,Passenger trains,7173.0
Annual,Number,Criste?Ti Jijia  - Border Ro/Md,Goods trains,626.0
Annual,Number,Criste?Ti Jijia  - Border Ro/Md,Passenger trains,1447.0
Annual,Number,Curtici  - Arad,Goods trains,4294.0
Annual,Number,Curtici  - Arad,Passenger trains,6716.0
Annual,Number,Deda  - Siculeni,Goods trains,955.0
Annual,Number,Deda  - Siculeni,Passenger trains,4600.0
Annual,Number,Dej  - Apahida,Goods trains,1594.0
Annual,Number,Dej  - Apahida,Passenger trains,7958.0
Annual,Number,Dej  - Beclean Pe Somes,Goods trains,710.0
Annual,Number,Dej  - Beclean Pe Somes,Passenger trains,4857.0
Annual,Number,Dorne?Ti  - Suceava,Goods trains,1089.0
Annual,Number,Dorne?Ti  - Suceava,Passenger trains,5239.0
Annual,Number,Episcopia Bihor  - Oradea,Goods trains,2346.0
Annual,Number,Episcopia Bihor  - Oradea,Passenger trains,5731.0
Annual,Number,Fetesti  - Constanta,Goods trains,10864.0
Annual,Number,Fetesti  - Constanta,Passenger trains,6301.0
Annual,Number,Filiasi  - Craiova,Goods trains,9981.0
Annual,Number,Filiasi  - Craiova,Passenger trains,9911.0
Annual,Number,Faurei - Fetesti,Goods trains,7608.0
Annual,Number,Faurei - Fetesti,Passenger trains,3291.0
Annual,Number,Faurei  - Gala?I,Goods trains,2078.0
Annual,Number,Faurei  - Gala?I,Passenger trains,5520.0
