Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,Tallinn - Tapa,Goods trains,1477.0
Annual,Number,Tallinn - Tapa,Other trains,0.0
Annual,Number,Tallinn - Tapa,Passenger trains,4408.0
Annual,Number,Tapa - Tartu,Goods trains,1189.0
Annual,Number,Tapa - Tartu,Other trains,0.0
Annual,Number,Tapa - Tartu,Passenger trains,2920.0
Annual,Number,Tartu - Valga,Goods trains,384.0
Annual,Number,Tartu - Valga,Other trains,0.0
Annual,Number,Tartu - Valga,Passenger trains,1095.0
Annual,Number,Tapa - Narva,Goods trains,838.0
Annual,Number,Tapa - Narva,Other trains,0.0
Annual,Number,Tapa - Narva,Passenger trains,1488.0
Annual,Number,Tartu - Petseri,Goods trains,839.0
Annual,Number,Tartu - Petseri,Other trains,0.0
Annual,Number,Tartu - Petseri,Passenger trains,0.0
Annual,Number,Valga - Petseri,Goods trains,48.0
Annual,Number,Valga - Petseri,Other trains,0.0
Annual,Number,Valga - Petseri,Passenger trains,0.0
Annual,Number,Tallinn - Paldiski,Goods trains,261.0
Annual,Number,Tallinn - Paldiski,Other trains,0.0
Annual,Number,Tallinn - Paldiski,Passenger trains,10403.0
Annual,Number,Tapa - Tallinn,Goods trains,1477.0
Annual,Number,Tapa - Tallinn,Other trains,0.0
Annual,Number,Tapa - Tallinn,Passenger trains,4408.0
Annual,Number,Tartu - Tapa,Goods trains,1189.0
Annual,Number,Tartu - Tapa,Other trains,0.0
Annual,Number,Tartu - Tapa,Passenger trains,2920.0
Annual,Number,Valga - Tartu,Goods trains,384.0
Annual,Number,Valga - Tartu,Other trains,0.0
Annual,Number,Valga - Tartu,Passenger trains,1095.0
Annual,Number,Narva - Tapa,Goods trains,838.0
Annual,Number,Narva - Tapa,Other trains,0.0
Annual,Number,Narva - Tapa,Passenger trains,1488.0
Annual,Number,Petseri - Tartu,Goods trains,839.0
Annual,Number,Petseri - Tartu,Other trains,0.0
Annual,Number,Petseri - Tartu,Passenger trains,0.0
Annual,Number,Petseri - Valga,Goods trains,48.0
Annual,Number,Petseri - Valga,Other trains,0.0
Annual,Number,Petseri - Valga,Passenger trains,0.0
Annual,Number,Paldiski - Tallinn,Goods trains,261.0
Annual,Number,Paldiski - Tallinn,Other trains,0.0
Annual,Number,Paldiski - Tallinn,Passenger trains,10403.0
