Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,Savski Marof DG - Savski Marof,Goods trains,1529.0
Annual,Number,Savski Marof DG - Savski Marof,Passenger trains,2339.0
Annual,Number,Savski Marof - Zapre¿ic,Goods trains,1587.0
Annual,Number,Savski Marof - Zapre¿ic,Passenger trains,14510.0
Annual,Number,Zapre¿ic - Zagreb ZK,Goods trains,1878.0
Annual,Number,Zapre¿ic - Zagreb ZK,Passenger trains,19749.0
Annual,Number,Zagreb ZK - Zagreb GK,Goods trains,1590.0
Annual,Number,Zagreb ZK - Zagreb GK,Passenger trains,19740.0
Annual,Number,Zagreb GK - Zagreb Borongaj,Goods trains,1569.0
Annual,Number,Zagreb GK - Zagreb Borongaj,Passenger trains,25806.0
Annual,Number,Zagreb Borongaj - Sesvete,Goods trains,1541.0
Annual,Number,Zagreb Borongaj - Sesvete,Passenger trains,25402.0
Annual,Number,Sesvete - Dugo Selo,Goods trains,4367.0
Annual,Number,Sesvete - Dugo Selo,Passenger trains,25472.0
Annual,Number,Dugo Selo - Kutina,Goods trains,2042.0
Annual,Number,Dugo Selo - Kutina,Passenger trains,7542.0
Annual,Number,Kutina - Banova Jaruga,Goods trains,1939.0
Annual,Number,Kutina - Banova Jaruga,Passenger trains,7071.0
Annual,Number,Banova Jaruga - Novska,Goods trains,1908.0
Annual,Number,Banova Jaruga - Novska,Passenger trains,7070.0
Annual,Number,Novska - Nova Kapela Batrina,Goods trains,1858.0
Annual,Number,Novska - Nova Kapela Batrina,Passenger trains,6041.0
Annual,Number,Nova Kapela Batrina - Slavonski Brod,Goods trains,1887.0
Annual,Number,Nova Kapela Batrina - Slavonski Brod,Passenger trains,6215.0
Annual,Number,Slavonski Brod - Strizivojna Vrpolje,Goods trains,1957.0
Annual,Number,Slavonski Brod - Strizivojna Vrpolje,Passenger trains,6539.0
Annual,Number,Strizivojna Vrpolje - Vinkovci,Goods trains,2134.0
Annual,Number,Strizivojna Vrpolje - Vinkovci,Passenger trains,6392.0
Annual,Number,Vinkovci - Tovarnik,Goods trains,1337.0
Annual,Number,Vinkovci - Tovarnik,Passenger trains,1759.0
Annual,Number,Tovarnik - Tovarnik DG,Goods trains,1324.0
Annual,Number,Tovarnik - Tovarnik DG,Passenger trains,903.0
Annual,Number,Sesvete - Zagreb Resnik,Goods trains,2912.0
Annual,Number,Sesvete - Zagreb Resnik,Passenger trains,49.0
Annual,Number,Zagreb Resnik - Sava,Goods trains,3226.0
Annual,Number,Zagreb Resnik - Sava,Passenger trains,90.0
Annual,Number,Sava - Zagreb RK OS S461,Goods trains,576.0
Annual,Number,Sava - Zagreb RK OS S461,Passenger trains,1.0
Annual,Number,Zagreb RK OS - Zagreb RK PS,Goods trains,3430.0
Annual,Number,Zagreb RK OS - Zagreb RK PS,Passenger trains,154.0
Annual,Number,Zagreb RK PS - Zagreb Klara,Goods trains,3070.0
Annual,Number,Zagreb RK PS - Zagreb Klara,Passenger trains,154.0
Annual,Number,Zagreb Klara - Delta,Goods trains,2786.0
Annual,Number,Zagreb Klara - Delta,Passenger trains,5890.0
Annual,Number,Zagreb ZK - Tre¿njevka (R),Goods trains,1433.0
Annual,Number,Zagreb ZK - Tre¿njevka (R),Passenger trains,20.0
Annual,Number,Zagreb Borongaj - Zagreb Resnik,Goods trains,23.0
Annual,Number,Zagreb Borongaj - Zagreb Resnik,Passenger trains,224.0
Annual,Number,Sava - Micevac,Goods trains,2476.0
Annual,Number,Sava - Micevac,Passenger trains,89.0
Annual,Number,Micevac - Velika Gorica,Goods trains,537.0
Annual,Number,Micevac - Velika Gorica,Passenger trains,60.0
Annual,Number,Zagreb RK OS - Micevac,Goods trains,3312.0
Annual,Number,Zagreb RK OS - Micevac,Passenger trains,45.0
Annual,Number,Zagreb Klara Mlaka - Zagreb RK PS,Goods trains,5.0
Annual,Number,Zagreb Klara Mlaka - Zagreb RK PS,Passenger trains,0.0
Annual,Number,Zagreb RK OS S461 - Zagreb RK PS,Goods trains,576.0
Annual,Number,Zagreb RK OS S461 - Zagreb RK PS,Passenger trains,1.0
Annual,Number,Zagreb GK - Tre¿njevka (S),Goods trains,9.0
