Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,Ventspils - Jelgava,Goods trains,3938.0
Annual,Number,Ventspils - Jelgava,Passenger trains,0.0
Annual,Number,Liepaja - Jelgava,Goods trains,1460.0
Annual,Number,Liepaja - Jelgava,Passenger trains,207.0
Annual,Number,Valka - Meitene,Goods trains,1916.0
Annual,Number,Valka - Meitene,Passenger trains,11435.0
Annual,Number,Riga - Krustpils,Goods trains,10379.0
Annual,Number,Riga - Krustpils,Passenger trains,11741.0
Annual,Number,Jelgava - Krustpils,Goods trains,5673.0
Annual,Number,Jelgava - Krustpils,Passenger trains,0.0
Annual,Number,Krustpils - Daugavpils,Goods trains,8913.0
Annual,Number,Krustpils - Daugavpils,Passenger trains,1273.0
Annual,Number,Zilupe - Krustpils,Goods trains,6786.0
Annual,Number,Zilupe - Krustpils,Passenger trains,1210.0
Annual,Number,Daugavpils - Indra,Goods trains,7629.0
Annual,Number,Daugavpils - Indra,Passenger trains,0.0
Annual,Number,Karsava - Eglaine,Goods trains,2810.0
Annual,Number,Karsava - Eglaine,Passenger trains,297.0
Annual,Number,Jelgava - Ventspils,Goods trains,4235.0
Annual,Number,Jelgava - Ventspils,Passenger trains,0.0
Annual,Number,Jelgava - Liepaja,Goods trains,1533.0
Annual,Number,Jelgava - Liepaja,Passenger trains,207.0
Annual,Number,Meitene - Valka,Goods trains,2734.0
Annual,Number,Meitene - Valka,Passenger trains,11435.0
Annual,Number,Krustpils - Riga,Goods trains,10216.0
Annual,Number,Krustpils - Riga,Passenger trains,11741.0
Annual,Number,Krustpils - Jelgava,Goods trains,6837.0
Annual,Number,Krustpils - Jelgava,Passenger trains,0.0
Annual,Number,Daugavpils - Krustpils,Goods trains,9984.0
Annual,Number,Daugavpils - Krustpils,Passenger trains,1273.0
Annual,Number,Krustpils - Zilupe,Goods trains,6717.0
Annual,Number,Krustpils - Zilupe,Passenger trains,1210.0
Annual,Number,Indra - Daugavpils,Goods trains,8432.0
Annual,Number,Indra - Daugavpils,Passenger trains,0.0
Annual,Number,Eglaine - Karsava,Goods trains,3030.0
Annual,Number,Eglaine - Karsava,Passenger trains,297.0
