Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Helsinki - Pasila,Goods trains,0.0
Annual,Number,Helsinki - Pasila,Passenger trains,159505.0
Annual,Number,Pasila - Huopalahti,Goods trains,75.0
Annual,Number,Pasila - Huopalahti,Passenger trains,86022.0
Annual,Number,Huopalahti - Leppavaara,Goods trains,75.0
Annual,Number,Huopalahti - Leppavaara,Passenger trains,51755.0
Annual,Number,Leppavaara - Espoo,Goods trains,75.0
Annual,Number,Leppavaara - Espoo,Passenger trains,28890.0
Annual,Number,Espoo - Kirkkonummi,Goods trains,75.0
Annual,Number,Espoo - Kirkkonummi,Passenger trains,21680.0
Annual,Number,Kirkkonummi - Karjaa,Goods trains,57.0
Annual,Number,Kirkkonummi - Karjaa,Passenger trains,8086.0
Annual,Number,Karjaa - Turku,Goods trains,64.0
Annual,Number,Karjaa - Turku,Passenger trains,5841.0
Annual,Number,Karjaa - Hanko,Goods trains,1681.0
Annual,Number,Karjaa - Hanko,Passenger trains,2555.0
Annual,Number,Karjaa - Hyvinkaa,Goods trains,1408.0
Annual,Number,Karjaa - Hyvinkaa,Passenger trains,0.0
Annual,Number,Pasila - Tikkurila,Goods trains,1915.0
Annual,Number,Pasila - Tikkurila,Passenger trains,73484.0
Annual,Number,Tikkurila - Kerava,Goods trains,1915.0
Annual,Number,Tikkurila - Kerava,Passenger trains,52583.0
Annual,Number,Kerava - Hyvinkaa,Goods trains,2270.0
Annual,Number,Kerava - Hyvinkaa,Passenger trains,31701.0
Annual,Number,Hyvinkaa - Riihimaki,Goods trains,4017.0
Annual,Number,Hyvinkaa - Riihimaki,Passenger trains,31486.0
Annual,Number,Riihimaki - Toijala,Goods trains,4349.0
Annual,Number,Riihimaki - Toijala,Passenger trains,11181.0
Annual,Number,Toijala - Tampere,Goods trains,6537.0
Annual,Number,Toijala - Tampere,Passenger trains,13947.0
Annual,Number,Tampere - Lielahti,Goods trains,6667.0
Annual,Number,Tampere - Lielahti,Passenger trains,6294.0
Annual,Number,Lielahti - Parkano,Goods trains,2696.0
Annual,Number,Lielahti - Parkano,Passenger trains,4223.0
Annual,Number,Parkano - Seinajoki,Goods trains,2603.0
Annual,Number,Parkano - Seinajoki,Passenger trains,4222.0
Annual,Number,Seinajoki - Kokkola,Goods trains,2270.0
Annual,Number,Seinajoki - Kokkola,Passenger trains,4169.0
Annual,Number,Kokkola - Ylivieska,Goods trains,3274.0
Annual,Number,Kokkola - Ylivieska,Passenger trains,3978.0
Annual,Number,Ylivieska - Tuomioja,Goods trains,2524.0
Annual,Number,Ylivieska - Tuomioja,Passenger trains,3978.0
Annual,Number,Tuomioja - Oulu,Goods trains,2356.0
Annual,Number,Tuomioja - Oulu,Passenger trains,3978.0
Annual,Number,Oulu - Kemi,Goods trains,1822.0
Annual,Number,Oulu - Kemi,Passenger trains,2478.0
Annual,Number,Kemi - Laurila,Goods trains,2362.0
Annual,Number,Kemi - Laurila,Passenger trains,2478.0
Annual,Number,Laurila - Rovaniemi,Goods trains,677.0
Annual,Number,Laurila - Rovaniemi,Passenger trains,2226.0
Annual,Number,Turku - Toijala,Goods trains,1291.0
Annual,Number,Turku - Toijala,Passenger trains,3152.0
Annual,Number,Lielahti - Kokemaki,Goods trains,3615.0
Annual,Number,Lielahti - Kokemaki,Passenger trains,2071.0
Annual,Number,Kokemaki - Pori,Goods trains,1643.0
Annual,Number,Kokemaki - Pori,Passenger trains,2071.0
Annual,Number,Kokemaki - Rauma,Goods trains,2515.0
Annual,Number,Kokemaki - Rauma,Passenger trains,0.0
Annual,Number,Tuomioja - Raahe,Goods trains,1242.0
Annual,Number,Tuomioja - Raahe,Passenger trains,0.0
Annual,Number,Laurila - Tornio,Goods trains,1680.0
Annual,Number,Laurila - Tornio,Passenger trains,252.0
Annual,Number,Riihimaki - Lahti,Goods trains,3574.0
Annual,Number,Riihimaki - Lahti,Passenger trains,9950.0
Annual,Number,Lahti - Kouvola,Goods trains,3996.0
Annual,Number,Lahti - Kouvola,Passenger trains,7704.0
Annual,Number,Kouvola - Luumaki,Goods trains,7408.0
Annual,Number,Kouvola - Luumaki,Passenger trains,3335.0
Annual,Number,Luumaki - Lappeenranta,Goods trains,3852.0
Annual,Number,Luumaki - Lappeenranta,Passenger trains,2238.0
Annual,Number,Lappeenranta - Imatra,Goods trains,4573.0
Annual,Number,Lappeenranta - Imatra,Passenger trains,2238.0
Annual,Number,Imatra - Parikkala,Goods trains,2165.0
Annual,Number,Imatra - Parikkala,Passenger trains,1814.0
Annual,Number,Parikkala - Sakaniemi,Goods trains,1717.0
Annual,Number,Parikkala - Sakaniemi,Passenger trains,1813.0
Annual,Number,Sakaniemi - Niirala,Goods trains,1841.0
Annual,Number,Sakaniemi - Niirala,Passenger trains,0.0
Annual,Number,Sakaniemi - Joensuu,Goods trains,3814.0
Annual,Number,Sakaniemi - Joensuu,Passenger trains,1813.0
Annual,Number,Kouvola - Mikkeli,Goods trains,2042.0
Annual,Number,Kouvola - Mikkeli,Passenger trains,2494.0
Annual,Number,Mikkeli - Pieksamaki,Goods trains,1876.0
Annual,Number,Mikkeli - Pieksamaki,Passenger trains,2493.0
Annual,Number,Pieksamaki - Kuopio,Goods trains,1771.0
Annual,Number,Pieksamaki - Kuopio,Passenger trains,3111.0
Annual,Number,Kuopio - Siilinjarvi,Goods trains,1694.0
Annual,Number,Kuopio - Siilinjarvi,Passenger trains,2381.0
Annual,Number,Siilinjarvi - Iisalmi,Goods trains,2006.0
Annual,Number,Siilinjarvi - Iisalmi,Passenger trains,2381.0
Annual,Number,Iisalmi - Kontiomaki,Goods trains,1077.0
Annual,Number,Iisalmi - Kontiomaki,Passenger trains,1732.0
Annual,Number,Juurikorpi - Kouvola,Goods trains,4769.0
Annual,Number,Juurikorpi - Kouvola,Passenger trains,2080.0
Annual,Number,Kotka - Juurikorpi,Goods trains,2539.0
Annual,Number,Kotka - Juurikorpi,Passenger trains,2079.0
Annual,Number,Juurikorpi - Hamina,Goods trains,2521.0
Annual,Number,Juurikorpi - Hamina,Passenger trains,0.0
Annual,Number,Luumaki - Vainikkala,Goods trains,3234.0
Annual,Number,Luumaki - Vainikkala,Passenger trains,1097.0
Annual,Number,Viinijarvi - Joensuu,Goods trains,1214.0
Annual,Number,Viinijarvi - Joensuu,Passenger trains,1138.0
Annual,Number,Siilinjarvi - Viinijarvi,Goods trains,651.0
Annual,Number,Siilinjarvi - Viinijarvi,Passenger trains,0.0
Annual,Number,Kontiomaki - Vartius,Goods trains,925.0
