Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Oslo - Kornsjo,Goods trains,1950.0
Annual,Number,Oslo - Kornsjo,Passenger trains,27000.0
Annual,Number,Oslo - Skien,Goods trains,0.0
Annual,Number,Oslo - Skien,Passenger trains,4850.0
Annual,Number,Oslo - Charlottenberg,Goods trains,1900.0
Annual,Number,Oslo - Charlottenberg,Passenger trains,5725.0
Annual,Number,Oslo - Stavanger,Goods trains,950.0
Annual,Number,Oslo - Stavanger,Passenger trains,34875.0
Annual,Number,Oslo - Bergen,Goods trains,1450.0
Annual,Number,Oslo - Bergen,Passenger trains,11850.0
Annual,Number,Oslo - Trondheim,Goods trains,2150.0
Annual,Number,Oslo - Trondheim,Passenger trains,6350.0
Annual,Number,Tronheim - Storlien,Goods trains,450.0
Annual,Number,Tronheim - Storlien,Passenger trains,525.0
Annual,Number,Tronheim - Bodo,Goods trains,725.0
Annual,Number,Tronheim - Bodo,Passenger trains,6300.0
Annual,Number,Narvik - Vaissijaure,Goods trains,2450.0
Annual,Number,Narvik - Vaissijaure,Passenger trains,500.0
Annual,Number,Kornsjo - Oslo,Goods trains,1950.0
Annual,Number,Kornsjo - Oslo,Passenger trains,27000.0
Annual,Number,Skien - Oslo,Goods trains,0.0
Annual,Number,Skien - Oslo,Passenger trains,4850.0
Annual,Number,Charlottenberg - Oslo,Goods trains,1900.0
Annual,Number,Charlottenberg - Oslo,Passenger trains,5725.0
Annual,Number,Stavanger - Oslo,Goods trains,950.0
Annual,Number,Stavanger - Oslo,Passenger trains,34875.0
Annual,Number,Bergen - Oslo,Goods trains,1450.0
Annual,Number,Bergen - Oslo,Passenger trains,11850.0
Annual,Number,Trondheim - Oslo,Goods trains,2150.0
Annual,Number,Trondheim - Oslo,Passenger trains,6350.0
Annual,Number,Storlien - Tronheim,Goods trains,450.0
Annual,Number,Storlien - Tronheim,Passenger trains,525.0
Annual,Number,Bodo - Tronheim,Goods trains,725.0
Annual,Number,Bodo - Tronheim,Passenger trains,6300.0
Annual,Number,Vaissijaure - Narvik,Goods trains,2450.0
Annual,Number,Vaissijaure - Narvik,Passenger trains,500.0
