Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Haydarpa?A - Gebze,Goods trains,1120.0
Annual,Number,Haydarpa?A - Gebze,Other trains,25.0
Annual,Number,Haydarpa?A - Gebze,Passenger trains,28747.0
Annual,Number,Gebze - Arifiye,Goods trains,1392.0
Annual,Number,Gebze - Arifiye,Other trains,27.0
Annual,Number,Gebze - Arifiye,Passenger trains,8260.0
Annual,Number,Arifiye - Adapazary,Goods trains,119.0
Annual,Number,Arifiye - Adapazary,Other trains,11.0
Annual,Number,Arifiye - Adapazary,Passenger trains,3741.0
Annual,Number,Arifiye - Eski?Ehir,Goods trains,1601.0
Annual,Number,Arifiye - Eski?Ehir,Other trains,20.0
Annual,Number,Arifiye - Eski?Ehir,Passenger trains,4210.0
Annual,Number,Eski?Ehir - Polatly,Goods trains,1556.0
Annual,Number,Eski?Ehir - Polatly,Other trains,18.0
Annual,Number,Eski?Ehir - Polatly,Passenger trains,4043.0
Annual,Number,Eski?Ehir - Alayunt,Goods trains,1426.0
Annual,Number,Eski?Ehir - Alayunt,Other trains,9.0
Annual,Number,Eski?Ehir - Alayunt,Passenger trains,3531.0
Annual,Number,Kutahya - Seyitomer,Goods trains,10.0
Annual,Number,Kutahya - Seyitomer,Other trains,0.0
Annual,Number,Kutahya - Seyitomer,Passenger trains,0.0
Annual,Number,Tav?Anly - Tuncbilek,Goods trains,636.0
Annual,Number,Tav?Anly - Tuncbilek,Other trains,0.0
Annual,Number,Tav?Anly - Tuncbilek,Passenger trains,0.0
Annual,Number,Alayunt - Balykesir,Goods trains,1492.0
Annual,Number,Alayunt - Balykesir,Other trains,24.0
Annual,Number,Alayunt - Balykesir,Passenger trains,1916.0
Annual,Number,Alayunt - Afyon,Goods trains,1714.0
Annual,Number,Alayunt - Afyon,Other trains,48.0
Annual,Number,Alayunt - Afyon,Passenger trains,1931.0
Annual,Number,Sirkeci - Halkaly,Goods trains,713.0
Annual,Number,Sirkeci - Halkaly,Other trains,24.0
Annual,Number,Sirkeci - Halkaly,Passenger trains,22185.0
Annual,Number,Halkaly - Pehlivankoy,Goods trains,1349.0
Annual,Number,Halkaly - Pehlivankoy,Other trains,63.0
Annual,Number,Halkaly - Pehlivankoy,Passenger trains,1484.0
Annual,Number,Pehlivankoy - Hudut (Yun.),Goods trains,3.0
Annual,Number,Pehlivankoy - Hudut (Yun.),Other trains,1.0
Annual,Number,Pehlivankoy - Hudut (Yun.),Passenger trains,431.0
Annual,Number,Mandyra - Kyrklareli,Goods trains,14.0
Annual,Number,Mandyra - Kyrklareli,Other trains,1.0
Annual,Number,Mandyra - Kyrklareli,Passenger trains,0.0
Annual,Number,Pehlivankoy - Hudut (Bul.),Goods trains,1492.0
Annual,Number,Pehlivankoy - Hudut (Bul.),Other trains,25.0
Annual,Number,Pehlivankoy - Hudut (Bul.),Passenger trains,1131.0
Annual,Number,Ankara - Mar?Andiz,Goods trains,1182.0
Annual,Number,Ankara - Mar?Andiz,Other trains,57.0
Annual,Number,Ankara - Mar?Andiz,Passenger trains,24218.0
Annual,Number,Mar?Andiz - Sincan,Goods trains,1468.0
Annual,Number,Mar?Andiz - Sincan,Other trains,41.0
Annual,Number,Mar?Andiz - Sincan,Passenger trains,26340.0
Annual,Number,Ankara - Kaya?,Goods trains,1384.0
Annual,Number,Ankara - Kaya?,Other trains,68.0
Annual,Number,Ankara - Kaya?,Passenger trains,21633.0
Annual,Number,Sincan - Polatly,Goods trains,1362.0
