Time frequency,annex,indic_sb,priority,cpa02,unit,nace_r1,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V47110,O,CPA_J6512,NR,J6512,TOTAL,ES,:,82000274.0,82543406.0,86948511.0,82755680.0
Annual,6.0,V47110,O,CPA_J6512,NR,J6512,TOTAL,LV,:,:,:,:,1652115 p
Annual,6.0,V47110,O,CPA_J6512,NR,J6512_J652,TOTAL,ES,:,82000307.0,82543459.0,86948579.0,82755731.0
Annual,6.0,V47110,O,CPA_J6512,NR,J6522,TOTAL,ES,:,33.0,53.0,68.0,51.0
Annual,6.0,V47110,O,CPA_J6512A,NR,J6512,TOTAL,CH,20829573.0,20711531.0,: @C,: @C,: @C
Annual,6.0,V47110,O,CPA_J6512A,NR,J6512,TOTAL,ES,:,82000274.0,82543406.0,86948511.0,82755680.0
Annual,6.0,V47110,O,CPA_J6512A,NR,J6512_J652,TOTAL,CH,20950030.0,20712409.0,20757001.0,19697984.0,18718353.0
Annual,6.0,V47110,O,CPA_J6512A,NR,J6512_J652,TOTAL,ES,:,82000307.0,82543459.0,86948579.0,82755731.0
Annual,6.0,V47110,O,CPA_J6512A,NR,J6522,TOTAL,CH,120457.0,878.0,: @C,: @C,: @C
Annual,6.0,V47110,O,CPA_J6512A,NR,J6522,TOTAL,ES,:,33.0,53.0,68.0,51.0
Annual,6.0,V47110,O,CPA_J6512AB,NR,J6512,TOTAL,BE,:,:,:,:,30784 d
Annual,6.0,V47110,O,CPA_J6512AB,NR,J6512,TOTAL,ES,81835108.0,82000274.0,82543406.0,86948511.0,82755680.0
Annual,6.0,V47110,O,CPA_J6512AB,NR,J6512_J652,TOTAL,BE,:,:,:,:,30784 d
Annual,6.0,V47110,O,CPA_J6512AB,NR,J6512_J652,TOTAL,ES,81835136.0,82000307 d,82543459 d,86948579 d,82755731.0
Annual,6.0,V47110,O,CPA_J6512AB,NR,J6522,TOTAL,BE,:,:,:,:,: m
Annual,6.0,V47110,O,CPA_J6512AB,NR,J6522,TOTAL,ES,28.0,33.0,53.0,68.0,51.0
Annual,6.0,V47110,O,CPA_J6512AC,NR,J6512,TOTAL,BE,:,:,:,:,1331 d
Annual,6.0,V47110,O,CPA_J6512AC,NR,J6512_J652,TOTAL,BE,:,:,:,:,1331 d
Annual,6.0,V47110,O,CPA_J6512AC,NR,J6522,TOTAL,BE,:,:,:,:,: m
Annual,6.0,V47110,V,CPA_J6512AA,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512AB,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512AC,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512BA,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512BB,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512BC,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512BD,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512BE,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6512C,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6521,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6522A,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6522B,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6522C,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6522D,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6522E,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6523A,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6523B,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6712A,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6712B,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J6713,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J672A,NR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47110,V,CPA_J672B,NR,J6512,TOTAL,SK,:,:,:,:,: @C
