Time frequency,Nomenclature for the analysis and comparison of scientific programmes and budgets (NABS 2007),Unit of measure,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Agriculture,Euro per inhabitant,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,0.3,:
Annual,Agriculture,Euro per inhabitant,Austria,4.20 d,3.70 d,3.90 d,4.50 d,4.80 d,4.50 d,4.70 d,4.90 d,4.60 d,5.30 d,4.00 d,3.80 d,3.7,4.50 d,4.40 d,4.10 d,4.40 d,5.70 d,6.90 d,6.10 p
Annual,Agriculture,Euro per inhabitant,Belgium,3.1,2.3,2.4,2.8,2.8,3.0,3.0,3.4,3.6,3.1,3.5,3.3,3.3,3.2,5.6,5.0,5.1,6.8,6.2,6.90 p
Annual,Agriculture,Euro per inhabitant,Bulgaria,:,:,:,1.7,3.3,3.1,1.9,2.0,2.3,2.8,2.5,2.5,2.3,3.1,3.2,3.7,3.9,4.4,5.6,6.2
Annual,Agriculture,Euro per inhabitant,Switzerland,6.5,:,6.6,:,6.3,:,7.6,:,9.4,:,13.0,15.3,:,14.80 b,15.5,16.6,17.5,22.9,24.3,23.10 p
Annual,Agriculture,Euro per inhabitant,Cyprus,14.7,14.1,13.3,14.6,12.2,12.5,11.8,11.5,10.5,8.1,7.0,7.0,6.5,6.7,6.9,7.1,8.0,8.6,10.0,7.4
Annual,Agriculture,Euro per inhabitant,Czechia,2.4,2.8,3.3,3.6,4.2,4.3,4.3,4.5,3.9,3.7,3.9,4.0,3.9,4.4,4.6,5.6,5.5,6.0,6.0,5.90 p
Annual,Agriculture,Euro per inhabitant,Germany,4.00 d,3.80 d,4.80 d,5.90 d,6.80 d,8.10 d,9.40 d,9.30 d,8.60 d,8.90 d,9.00 d,10.00 d,10.0,10.7,11.1,11.1,12.4,13.5,13.4,12.80 p
Annual,Agriculture,Euro per inhabitant,Denmark,14.7,15.3,17.3,16.8,13.7,13.5,13.1,14.5,12.3,16.4,12.3,16.5,16.9,13.40 e,15.10 e,17.50 e,15.5,23.8,27.3,16.1
Annual,Agriculture,Euro per inhabitant,Euro area - 19 countries  (2015-2022),5.70 e,6.10 e,6.40 e,7.40 e,7.90 e,7.50 e,7.60 e,7.50 e,6.40 e,6.50 e,6.60 e,6.8,6.90 e,7.20 e,7.40 e,7.50 e,8.10 e,8.6,9.3,9.40 p
Annual,Agriculture,Euro per inhabitant,Euro area – 20 countries (from 2023),5.70 e,6.10 e,6.40 e,7.30 e,7.80 e,7.40 e,7.50 e,7.40 e,6.30 e,6.50 e,6.60 e,6.7,6.90 e,7.10 e,7.40 e,7.40 e,8.00 e,8.5,9.2,9.30 p
Annual,Agriculture,Euro per inhabitant,Estonia,3.90 e,4.50 e,5.10 e,5.50 e,5.50 e,5.50 e,6.10 e,9.20 e,12.10 e,11.00 e,7.00 e,6.5,4.9,6.7,4.1,5.2,7.5,7.6,10.0,10.1
Annual,Agriculture,Euro per inhabitant,Greece,2.6,3.1,3.7,3.9,3.40 b,2.8,2.6,2.8,2.5,2.6,2.7,2.8,3.1,1.7,3.0,5.3,4.1,4.8,5.0,4.30 bp
Annual,Agriculture,Euro per inhabitant,Spain,8.3,10.5,13.3,15.9,15.7,14.4,12.6,11.8,8.3,8.0,7.9,8.7,8.6,8.6,9.3,9.6,10.0,10.5,10.9,10.60 p
Annual,Agriculture,Euro per inhabitant,European Union - 27 countries (from 2020),4.90 e,5.20 e,5.50 e,6.20 e,6.70 e,6.30 e,6.50 e,6.40 e,5.60 e,5.80 e,5.70 e,5.90 e,6.00 e,6.20 e,6.40 e,6.60 e,7.20 e,7.50 e,8.00 e,7.90 e
Annual,Agriculture,Euro per inhabitant,Finland,17.6,18.2,18.6,19.2,18.6,18.9,18.6,18.0,18.4,17.8,17.2,17.7,13.9,13.2,10.3,10.3,10.9,12.6,12.5,12.50 p
Annual,Agriculture,Euro per inhabitant,France,5.50 d,5.80 d,3.50 d,3.70 d,4.20 d,4.50 d,4.80 d,5.70 d,4.40 d,4.70 d,5.30 d,5.90 d,6.00 e,6.90 e,5.90 e,5.40 e,5.50 e,5.2,6.3,7.2
Annual,Agriculture,Euro per inhabitant,Croatia,:,:,:,:,0.7,0.5,0.6,0.8,0.5,0.2,1.5,1.1,2.0,2.7,2.0,2.9,2.8,1.5,3.0,3.10 p
Annual,Agriculture,Euro per inhabitant,Hungary,:,5.4,4.7,3.60 e,4.2,3.7,1.9,0.9,1.9,5.50 d,1.6,1.7,3.3,3.6,3.7,4.0,5.3,4.3,1.9,1.90 p
Annual,Agriculture,Euro per inhabitant,Ireland,17.8,22.0,19.2,23.3,23.3,20.4,18.7,20.4,19.9,19.5,19.4,19.5,20.2,20.6,22.7,19.7,18.7,19.2,18.7,18.3
Annual,Agriculture,Euro per inhabitant,Iceland,61.4,75.3,73.3,76.0,62.1,48.1,50.8,65.0,70.0,16.4,16.0,17.7,21.7,31.3,23.3,23.2,21.4,24.3,27.2,25.2
Annual,Agriculture,Euro per inhabitant,Italy,:,5.6,6.3,7.4,7.5,5.7,5.6,5.2,4.5,4.8,4.4,4.0,4.5,4.3,4.9,5.1,5.0,5.1,5.2,4.60 p
Annual,Agriculture,Euro per inhabitant,Japan,6.90 d,6.80 d,6.50 d,6.30 d,6.70 d,8.10 d,8.40 d,8.00 d,8.10 d,6.00 d,5.90 d,6.10 d,8.70 bd,8.90 bd,11.60 dp,15.70 dp,15.70 dp,15.30 dp,17.70 bd,16.4
Annual,Agriculture,Euro per inhabitant,South Korea,7.3,8.30 b,9.8,9.0,8.00 be,9.00 e,9.80 e,9.60 e,12.1,12.6,13.2,15.3,16.4,16.5,15.5,15.6,16.1,18.2,19.2,:
Annual,Agriculture,Euro per inhabitant,Lithuania,3.7,3.9,2.0,2.10 b,2.7,2.2,1.7,2.0,2.0,2.2,2.4,2.6,2.7,2.9,3.1,3.2,3.6,3.3,2.5,3.00 p
Annual,Agriculture,Euro per inhabitant,Luxembourg,0.1,0.0,0.1,0.1,0.1,0.1,1.2,1.3,0.9,0.6,0.5,0.3,0.2,0.4,0.2,0.3,1.1,0.9,0.9,0.90 p
Annual,Agriculture,Euro per inhabitant,Latvia,:,0.8,3.9,4.3,5.6,2.8,2.1,1.3,2.4,2.6,3.4,4.4,5.6,3.1,3.7,6.1,5.7,5.8,5.5,8.4
