Time frequency,Wastewater treatment plants,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.9,8.0,7.0,7.34,33.6,31.8,30.9,21.63,22.91
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,85.4,86.0,86.96,87.94,88.9,90.35,91.8,92.25,92.7,93.3,93.9,94.2,94.5,94.75,95.0,95.1,99.75 e,99.77 i,99.78 e,99.78 e,99.10 e,99.10 e,99.15 e
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,9.40 i,9.89 e,9.89 e,10.03 e,10.03 e,10.03 e,10.03 e,10.03 e,10.65 e,10.65 e,10.91 e,11.05 e,11.44 e,11.73 e,11.75 e,11.75 e,29.56 e,29.60 e,29.00 e,29.60 e,:,:,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,41.1,45.7,47.7,51.4,53.2,54.4,57.4,68.7,71.0,72.8,75.0,77.2,76.76,79.13,80.51,81.93,82.84,83.33,84.34,84.25,83.58,84.03,84.04
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,36.1,37.4,37.8,37.9,38.0,38.27,38.75,39.66,41.35,42.69,45.1,53.63,53.9,54.54,54.77,60.63,61.84,63.19,63.72,64.51,65.05,65.3,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,96.0,96.0,96.0,:,:,97.0,:,:,:,:,98.0,:,:,98.0,:,:,:,:,:,98.0,:,:,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,14.3,15.9,18.3,22.9,28.4,29.8,:,:,:,:,:,:,:,:,:,:,:,:,82.65,83.07 i,83.48,:,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,:,:,69.7,70.6,70.8,72.8,71.9,73.0,75.4,75.7,76.9,78.0,78.0,79.8,79.8,80.7,81.2,82.3,82.3,82.6,83.4,84.7,84.9
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,:,92.6,93.0,93.4,93.8,97.3,94.6,91.9,93.13,94.37,95.6,95.5,95.41,95.35,95.56,95.77,95.97,96.09,96.2,96.32,:,:,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,92.90 i,87.0,88.0,:,:,:,:,:,:,93.2,93.4,93.8,94.2,95.7,96.3,96.5,96.8,97.3,97.1,97.5,97.7,97.8,97.93
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,69.00 e,69.00 e,71.0,71.0,72.0,78.0,78.0,84.0,84.0,84.0,79.0,81.0,81.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,:,:,:,:,:,:,:,85.0,86.2,87.4,87.4,88.2,92.03,92.8,92.8,93.4,93.4,94.8,94.8,94.2,94.7,94.7,94.9
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,80.00 i,84.00 i,88.00 i,88.00 i,88.00 i,88.00 i,88.0,88.00 i,88.0,90.50 i,93.00 i,90.85 i,88.70 i,86.69 i,84.68 i,85.66 i,86.62 i,87.41 i,88.21 i,87.57 i,86.93 i,86.93 i,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),68.17 i,68.79 i,69.86 i,70.74 i,71.43 i,72.54 i,72.63 i,73.31 i,74.15 i,75.20 i,76.25 i,77.07 i,77.51 i,77.79 i,78.07 i,78.81 i,79.52 i,80.01 i,80.37 i,80.60 i,80.81 i,80.88 i,80.88 i
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,80.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,85.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,85.0
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,:,77.3,78.03,78.77,79.5,:,:,:,:,:,77.7,79.8,80.17,80.44,80.38,80.34,80.46,80.43,80.19,80.02,79.85,79.68,79.56
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,:,:,:,:,:,:,:,:,:,:,:,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,31.39,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,29.8,29.1,32.4,38.9,40.2,41.7,45.3,49.8,50.0,52.1,69.5,70.9,72.8,72.68,73.5,76.47,78.1,79.12,80.36,80.26,80.91,81.9,81.73
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Ireland,:,29.0,:,:,:,:,:,59.0,64.9,71.0,64.58,58.16,58.78,59.38,59.98,60.56,61.15,61.98,62.66,63.09,63.63,64.3,64.72
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Iceland,0.0,0.0,1.0,1.0,1.0,2.0,:,:,2.0,:,1.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Italy,:,:,:,:,:,54.2,55.27,56.43,57.5,57.55,57.6,57.55,57.6,58.27,58.93,59.6,:,:,:,:,:,:,:
