Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Total,Ratio,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.47,6.98,6.38,5.86,5.72,:,:
Annual,Total,Total,Ratio,Austria,4.07 b,3.77,3.81,3.66,3.77,4.19 b,4.15,4.34,4.12,4.2,4.11,4.13,4.05,4.09,4.29,4.04,4.17,4.11,4.0,4.25,4.28
Annual,Total,Total,Ratio,Belgium,4.35 b,3.91,4.04,4.17,3.87,4.06,3.91,3.92,3.86,3.95,3.81,3.81,3.83,3.85,3.84,3.79,3.61 b,3.65,3.42,3.56,3.38
Annual,Total,Total,Ratio,Bulgaria,:,:,:,5.12 b,6.98,6.48,5.91,5.86,6.46,6.12,6.59,6.81,7.11,7.69 b,8.23,7.66,8.1,8.01,7.45,7.3,6.61
Annual,Total,Total,Ratio,Switzerland,:,:,:,:,4.71,4.86,4.76,4.48,4.52,4.4,4.22,4.42 b,4.48,4.42,4.63,4.5,4.75,4.89,4.87,4.79,4.94
Annual,Total,Total,Ratio,Cyprus,:,:,4.34,4.27,4.44,4.30 b,4.37,4.54,4.34,4.67,4.91,5.37,5.2,4.88,4.56,4.29,4.58,4.31,4.23,4.28,4.27
Annual,Total,Total,Ratio,Czechia,:,:,3.67 b,3.53,3.52,3.43,3.47,3.47,3.54,3.49,3.4,3.5,3.51,3.5,3.4,3.32,3.34,3.34,3.43,3.48,3.42
Annual,Total,Total,Ratio,Germany,:,:,3.79 b,4.06,4.93,4.76,4.48,4.49,4.46,4.3,4.6,5.12,4.8,4.62,4.49,5.07,4.89,4.87 b,4.98,4.38,4.44
Annual,Total,Total,Ratio,Denmark,3.58 b,3.42,3.5,3.44,3.73,3.63,4.61,4.41 b,3.98 b,3.94,4.01,4.12,4.08,4.06,4.08,4.11,4.09,4.00 b,3.93,4.03,4.15
Annual,Total,Total,Ratio,Euro area - 19 countries  (2015-2022),:,5.0,4.65,4.68,4.84,4.87,4.85,4.9,5.0,4.98,5.05,5.23,5.16,5.15,5.05,5.07,4.98,4.93 b,5.02,:,:
Annual,Total,Total,Ratio,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,5.22,5.16,5.15,5.04,5.07,4.98,4.93,5.04,4.79,4.75
Annual,Total,Total,Ratio,Estonia,:,7.20 b,5.93,5.51,5.54,4.99,5.01,5.01,5.35,5.41,5.54,6.48 b,6.21,5.56,5.42,5.07,5.08,5.03,5.03,5.39,5.37
Annual,Total,Total,Ratio,Greece,6.38 b,5.92,5.79,6.05,6.01,5.89,5.76,5.61,5.96,6.63,6.6,6.46,6.51,6.55,6.11,5.51,5.11,5.23,5.79,5.2,5.28
Annual,Total,Total,Ratio,Spain,:,5.23 b,5.55,5.52,5.48,5.59 b,5.87,6.16,6.28,6.47,6.29,6.81,6.87,6.6,6.59,6.03,5.94,5.77,6.19,5.63,5.5
Annual,Total,Total,Ratio,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,5.01,4.92,4.94,5.03,4.98,5.0,5.20 e,5.22 e,5.16 e,5.08 e,5.12 e,5.07 e,:,:,:,:
Annual,Total,Total,Ratio,European Union - 27 countries (2007-2013),:,:,5.03,4.95 i,5.02,5.01,4.92,4.94,5.03,4.98,5.0,5.2,5.22,5.16,5.08,5.12,5.08 e,:,:,:,:
Annual,Total,Total,Ratio,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,4.89,4.99,4.98,5.05,5.22 e,5.22 e,5.16 e,5.03 e,5.05 e,4.99 e,4.89 b,4.99,4.73,4.72
Annual,Total,Total,Ratio,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,4.94,5.03,4.98,5.0,5.2,5.22,5.16,5.08,5.12,5.07 e,:,:,:,:
Annual,Total,Total,Ratio,Finland,:,3.54 b,3.64,3.64,3.71,3.76,3.71,3.61,3.69,3.69,3.59,3.62,3.56,3.58,3.54,3.65,3.69,3.72,3.58,3.75,3.78
Annual,Total,Total,Ratio,France,:,4.16 b,4.02,3.98,3.88,4.40 b,4.42,4.43,4.61,4.54,4.48,4.27,4.29,4.32,4.31,4.23,4.27,4.42 b,4.41,4.60 b,4.63
Annual,Total,Total,Ratio,Croatia,:,:,:,:,:,:,:,5.54,5.58,5.36,5.34,4.91,5.14,4.9,4.97,5.0,4.74,4.59,4.77,4.57,4.91 b
Annual,Total,Total,Ratio,Hungary,:,:,4.04 b,5.48,3.67,3.6,3.51,3.41,3.94,4.0,4.29,4.33,4.3,4.26,4.27,4.35,4.23,4.16,4.15,3.99,4.47
Annual,Total,Total,Ratio,Ireland,4.95 b,4.94,5.01,4.86,4.82,4.43,4.24,4.7,4.63,4.82,4.73,4.9,4.5,4.45,4.63,4.23,4.02 b,3.92 b,3.75,3.81,3.86
Annual,Total,Total,Ratio,Iceland,:,3.4,3.51,3.74,3.95,3.84,4.22,3.61,3.32,3.36,3.36,3.12,3.43,3.33,3.59,3.21,3.35,:,:,:,:
Annual,Total,Total,Ratio,Italy,:,5.62 b,5.57,5.45,5.42,5.21,5.31,5.38,5.73,5.64,5.85,5.78,5.84,6.27,5.92,6.09,6.01,5.75,5.86,5.62,5.27
Annual,Total,Total,Ratio,Lithuania,:,:,6.95 b,6.34,5.91,6.11,6.39,7.35,5.84,5.32,6.05,6.1,7.46,7.06,7.28,7.09,6.44,6.14,6.14,6.39,6.32
Annual,Total,Total,Ratio,Luxembourg,4.06 b,3.92,3.87,4.18,4.02,4.11,4.31,4.1,3.97,4.13,4.59,4.42,4.26,4.62 b,4.56,5.18,5.34,4.99 b,4.59 b,4.51 b,4.79
Annual,Total,Total,Ratio,Latvia,:,:,6.69 b,7.76,6.37,7.27,7.4,6.84,6.5,6.47,6.32,6.48,6.51,6.2,6.3,6.78,6.54,6.27,6.63,6.33,6.2
Annual,Total,Total,Ratio,Montenegro,:,:,:,:,:,:,:,:,:,:,8.54,7.27,7.48,7.38,7.57,7.37,6.72,5.96,5.81,5.58,:
Annual,Total,Total,Ratio,North Macedonia,:,:,:,:,:,:,:,:,:,10.2,8.37,7.22,6.62,6.63,6.38,6.16,5.56,5.92,:,:,:
Annual,Total,Total,Ratio,Malta,:,:,3.95 b,4.03,3.89,4.26,3.99,4.33,4.01,3.94,4.14,4.05,4.15,4.22,4.21,4.28,4.18,4.69,5.03,4.75,5.3
Annual,Total,Total,Ratio,Netherlands,:,:,3.99 b,3.82,3.97,4.01,3.97,3.65,3.75,3.61,3.58,3.83,3.82,3.93 b,3.99,4.05,3.94,4.15,3.88,3.94,3.87
Annual,Total,Total,Ratio,Norway,3.76 b,3.59,4.05,4.84,3.54,3.73,3.51,3.42,3.28,3.21,3.25,3.41,3.5,3.69,3.9,3.71,3.81,3.78,3.87 b,4.11,3.63 b
Annual,Total,Total,Ratio,Poland,:,:,6.64 b,5.65,5.26,5.12,4.97,4.98,4.95,4.92,4.88,4.91,4.92,4.76,4.56,4.25,4.37,4.07,4.03,3.91,4.06
Annual,Total,Total,Ratio,Portugal,:,6.96 b,6.96,6.73,6.47,6.11,6.01,5.56,5.68,5.82,6.01,6.23,6.01,5.88,5.75,5.22,5.16,4.99,5.66,5.13,5.6
Annual,Total,Total,Ratio,Romania,:,:,:,:,8.11 b,7.0,6.53,6.11,6.24,6.6,6.83,7.24,8.32,7.2,6.45,7.21,7.08,6.62,7.1,6.0,5.83
Annual,Total,Total,Ratio,Serbia,:,:,:,:,:,:,:,:,:,:,8.59,9.41,10.7,11.02,9.38,8.58,6.46,6.06,5.95,5.54,:
Annual,Total,Total,Ratio,Sweden,:,3.31 b,3.33,3.58,3.35,3.70 b,3.96,3.85,3.95,3.98,3.97,4.15,4.06,4.25,4.27,4.13,4.33,4.12,4.04,4.34,4.73
Annual,Total,Total,Ratio,Slovenia,:,:,3.43 b,3.39,3.31,3.36,3.24,3.42,3.46,3.44,3.6,3.7,3.6,3.56,3.42,3.38,3.39,3.32,3.24,3.28,3.34
Annual,Total,Total,Ratio,Slovakia,:,:,3.92,4.06,3.48,3.36,3.56,3.8,3.81,3.73,3.58,3.93,3.54,3.63,3.49,3.03,3.34,3.03,3.2,3.12,3.63
Annual,Total,Total,Ratio,Türkiye,:,:,:,11.29 b,9.33,9.33,10.35,9.93,9.51,9.33,8.7,8.35,8.62,8.65,8.68,8.66,8.35,9.2,8.64,9.39,8.72
Annual,Total,Total,Ratio,United Kingdom,:,:,5.87 b,5.39,5.34,5.63,5.25,5.35,5.34,4.98 b,4.63,5.06,5.23,5.12,5.40 b,5.63,:,:,:,:,:
Annual,Total,Total,Ratio,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.58,:,:,:,:,:
