Time frequency,Environment indicator,Materials,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Raw material consumption,Total,Thousand tonnes,Austria,:,:,:,:,:,:,:,:,208684.864,203488.145,204453.462,217752.632,207011.509,202090.037,207635.24,202010.391,207319.862,207953.027,211706.827,209411.197,198531.671,222691.6 i,220317.5 i,198536.907 i
Annual,Raw material consumption,Total,Thousand tonnes,Belgium,:,:,:,:,:,:,:,:,172867.983,150614.176,149021.01,171234.147,156264.565,149277.231,162410.631,163773.283,158725.974,152774.44,170491.538,147316.181,149832.282,157427.4 i,145837 i,160310.26 i
Annual,Raw material consumption,Total,Thousand tonnes,Bulgaria,:,:,:,:,:,:,:,:,149367 i,122680.6 i,104021 i,112722 i,114389 i,116049.4 i,124478.9 i,128606.1 i,124099.1 i,115584.2 i,127800.1 i,141880.3 i,139377.4 i,145045.6 i,163158.4 i,143845.589 i
Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,144812.095,151240.39,148672.248,144446.428,145869.952,147379.324,149834.997,153811.116,155849.484,157527.844,144409.036,156308.816,152343.089,155980.771,149967.095,152626.334,158633.837,154300.763,147729.821,145861.628,139800.994,135927.473,140044.817,132491.178 i
Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,:,:,:,:,:,:,:,:,32544.485,28742.131,25815.191,24507.364,17878.275,13162.688,12901.977,13022.14,14448.652,17360.026,16851.307,18084.058,17450.64,18596.918,19038.79 i,19784.631 i
Annual,Raw material consumption,Total,Thousand tonnes,Czechia,:,:,:,:,:,:,:,:,208713.57,172428.803,178084.143,181275.262,157470.833,161019.0,169886.119,179156.486,176325.799,189109.283,189527.053,185010.42,171614.732,191746.527,210561 i,204780.244 i
Annual,Raw material consumption,Total,Thousand tonnes,Germany,:,:,:,:,:,:,:,:,1400018 i,1313631 i,1259290.541,1370288.27,1287398.167,1286184.835,1300486.952,1251072.946,1289986.293,1329874.457,1343883.615,1327977.927,1269950.198,1279228.707 e,1319155 i,1210081.669 i
Annual,Raw material consumption,Total,Thousand tonnes,Denmark,:,:,:,:,:,:,:,:,158708.14,137378.575,100696.428,118637.332,126263.92,119964.608,119237.382,131298.494,133662.392,131830.372,134317.607,140923.499,131234.1 i,132364.6 i,136444.2 i,126625.166 i
Annual,Raw material consumption,Total,Thousand tonnes,Estonia,:,:,:,:,:,:,:,:,36121.082,33926.182,31493.203,34833.838,35962.07,35090.695,31941.942,33472.734,32302.43,38028.487,40425.332,38050.427,37712.794,35755.396,37513.86 i,41347.559 i
Annual,Raw material consumption,Total,Thousand tonnes,Greece,:,:,:,:,:,:,:,:,304511.1 i,265221.4 i,209097.5 i,189420.3 i,170005.6 i,156687.5 i,159957.2 i,148668 i,143027.7 i,140669.6 i,134390.6 i,134852.8 i,120286.9 i,116730.9 i,122153.1 i,121876.053 i
Annual,Raw material consumption,Total,Thousand tonnes,Spain,:,:,:,:,:,:,:,:,927220.4 i,755650 i,620890.7 i,580779.1 i,439136.1 i,411753.5 i,419559 i,425435.8 i,446881.6 i,452732 i,508267.7 i,475915.6 i,464904.4 i,470465.3 i,444394.7 i,375633.192 i
Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),6991168.875 i,7202980.718 i,7293937.685 i,7354595.123 i,7529408.795 i,7554785.716 i,7901962.219 i,8064105.992 i,8229196.951 i,7189981.357 i,6579269.1 i,7124243.204 i,6391936.657 i,6271409.322 i,6355072.108 i,6190953.354 i,6363711.263 i,6435081.536 i,6567952.044 i,6712162.681 i,6419609.382 i,6591446.891 i,6591724.504 i,6309150.857 i
Annual,Raw material consumption,Total,Thousand tonnes,Finland,:,:,:,:,:,:,:,:,264941.3 i,202910.4 i,251653.8 i,264715.4 i,258122.2 i,290469.1 i,258233.8 i,233062.2 i,258957.7 i,243047.5 i,269292.2 i,261345.4 i,266173.9 i,266306.9 i,281166 i,254633.216 i
Annual,Raw material consumption,Total,Thousand tonnes,France,:,:,:,:,:,:,:,:,1031717.79,1012169.169,961952.83,1016808.131,969922.116,952680.301,963698.578,901918.983,919319.445,972188.346,960457.675,965497.054,879473.792,965083.215,947854.4 i,928053.665 i
Annual,Raw material consumption,Total,Thousand tonnes,Croatia,:,:,:,:,:,:,:,:,89543.18 i,68302.93 i,54885.37 i,56753.09 i,51529.84 i,53444.97 i,47926.11 i,50255.38 i,49660.51 i,51879.73 i,53158.03 i,55428.53 i,52437.98 i,54173.66 i,54271.43 i,56734.428 i
Annual,Raw material consumption,Total,Thousand tonnes,Hungary,:,:,:,:,:,:,:,:,122830.3 i,107576.4 i,89899.91 i,88147.4 i,77172.7 i,89736.07 i,119917.5 i,117104.5 i,113568.2 i,129597 i,149534 i,158778.2 i,138320.2 i,136414.6 i,133974.8 i,147142.868 i
Annual,Raw material consumption,Total,Thousand tonnes,Ireland,:,:,:,:,:,:,:,:,138726.3 i,88199.62 i,68014.41 i,64042.41 i,68100.58 i,75319.67 i,74220.06 i,65874.96 i,78990.45 i,78999.67 i,82595.16 i,116736.6 i,97110.18 i,70359.16 i,74028.02 i,63467.629 i
Annual,Raw material consumption,Total,Thousand tonnes,Italy,:,:,:,:,:,:,:,:,1031276 i,929991.5 i,861793.5 i,869493.1 i,708514.6 i,638483.3 i,617424.2 i,609027 i,616420.6 i,594641.3 i,609394.3 i,603547.5 i,553714.1 i,619657.9 i,607817.3 i,599636.195 i
Annual,Raw material consumption,Total,Thousand tonnes,Lithuania,:,:,:,:,:,:,:,:,58435.251,38480.103,42725.684,48269.826,43632.933,51509.224,50791.869,48129.089,51539.871,57353.966,56573.577,57453.922,61105.868,65012.918,62825.72 i,66151.5 i
Annual,Raw material consumption,Total,Thousand tonnes,Luxembourg,13596.403,13239.738,15119.807,15461.235,16344.995,17069.236,17531.275,17967.033,18981.466,17469.603,16470.372,16980.835,15800.645,16667.953,16601.897,19160.366,17979.116,19337.361,17226.049,16782.079,17270.525,17634.447,20709.612,21359.36 i
Annual,Raw material consumption,Total,Thousand tonnes,Latvia,18418.902,20243.471,22929.491,25865.345,28297.891,32388.658,36768.634,40088.86,35387.058,21753.995,24444.718,29755.4,27681.412,30710.04 i,30111.66 i,31238.95 i,28050.69 i,32527.27 i,33228.02 i,33603.36 i,32493.14 i,35591.28 i,36301.41 i,36865.504 i
Annual,Raw material consumption,Total,Thousand tonnes,Malta,:,:,:,:,:,:,:,:,7158.682,6829.699,5710.463,5656.532,4928.618,5361.915,5098.261,6218.748,5455.781,5044.929,4845.347,5538.704,5719.155,4853.698,5424.131 i,3315.367 i
Annual,Raw material consumption,Total,Thousand tonnes,Netherlands,:,:,:,:,:,:,:,:,229525.6 i,190330 i,191108.5 i,203217.2 i,172886.5 i,157782.5 i,155656.052,182995.678,141703.755,135865.833,155102.647,161236.549,161581.574,151685.963,147791.9 i,105454.268 i
Annual,Raw material consumption,Total,Thousand tonnes,Poland,:,:,:,:,:,:,:,:,608259.3 i,586030.8 i,596138 i,746462.4 i,625812 i,590981.5 i,587954.1 i,575911 i,588627.3 i,639176.6 i,656867.1 i,628836.2 i,611630.3 i,619628.4 i,622627 i,609111.038 i
Annual,Raw material consumption,Total,Thousand tonnes,Portugal,:,:,:,:,:,:,:,:,265686.583,236062.662,208527.576,192516.907,169088.185,145053.572,160162.875,167716.034,158949.158,177303.018,175472.957,177685.321,160035.635,188989.099,166702.5 i,173618.183 i
Annual,Raw material consumption,Total,Thousand tonnes,Romania,:,:,:,:,:,:,:,:,473140.868,366071.847,278256.733,388325.115,359715.752,354053.837,370392.694,444308.804,453227.662,422912.013,456025.953,541630.112,565843.594,583082.748,578497.4 i,631369.403 i
Annual,Raw material consumption,Total,Thousand tonnes,Serbia,:,:,:,:,:,:,:,:,119845.422,113667.999,109067.231,110161.584,101634.439,105402.366,103120.39,106657.159,117652.644,115487.953,122202.29,134703.246,132266.646,:,:,:
Annual,Raw material consumption,Total,Thousand tonnes,Sweden,:,:,:,:,:,:,:,:,215120.6 i,197398.5 i,213266.6 i,238451.2 i,229184.2 i,245732.6 i,230242 i,224842.5 i,239036.3 i,236488.1 i,252996.3 i,257031.2 i,246957.5 i,247922.6 i,256610.7 i,222723.182 i
Annual,Raw material consumption,Total,Thousand tonnes,Slovenia,:,:,:,:,:,:,:,:,50533.099,43142.393,39070.478,37912.352,32158.057,33255.371,35483.14,32955.329,31049.179,33662.395,37182.293,34394.258,35168.174,43638.769,45175.83 i,48104.852 i
Annual,Raw material consumption,Total,Thousand tonnes,Slovakia,:,:,:,:,:,:,:,:,103147.1 i,80710.06 i,77337.11 i,76965.64 i,64042.27 i,65277.24 i,66797.82 i,70664.05 i,73728.31 i,73494.69 i,79137.96 i,74739.79 i,71290.02 i,70276.33 i,71203.49 i,69319.607 i
Annual,Raw material consumption,Total,Tonnes per capita,Austria,:,:,:,:,:,:,:,:,25.078,24.389,24.446,25.949,24.557,23.832,24.295,23.374,23.73,23.638,23.947,23.583,22.265,24.866 i,24.366 i,21.741 i
Annual,Raw material consumption,Total,Tonnes per capita,Belgium,:,:,:,:,:,:,:,:,16.141,13.95,13.677,15.513,14.069,13.377,14.489,14.526,14.008,13.431,14.92,12.822,12.985,13.587 i,12.486 i,13.6 i
Annual,Raw material consumption,Total,Tonnes per capita,Bulgaria,:,:,:,:,:,:,:,:,19.935 i,16.479 i,14.065 i,15.34 i,15.657 i,16.208 i,17.598 i,18.414 i,18.001 i,16.989 i,19.044 i,21.443 i,21.277 i,22.29 i,25.237 i,22.313 i
Annual,Raw material consumption,Total,Tonnes per capita,Switzerland,20.157,20.919,20.409,19.682,19.74,19.817,20.021,20.369,20.379,20.342,18.455,19.755,19.05,19.282,18.314,18.428,18.945,18.256,17.351,17.01,16.184,15.616,15.956,14.907 i
Annual,Raw material consumption,Total,Tonnes per capita,Cyprus,:,:,:,:,:,:,:,:,41.372,35.57,31.123,28.802,20.694,15.271,15.134,15.362,16.967,20.197,19.368,20.505,19.563,20.655,20.86 i,21.34 i
Annual,Raw material consumption,Total,Tonnes per capita,Czechia,:,:,:,:,:,:,:,:,20.098,16.51,17.002,17.271,14.982,15.314,16.141,16.988,16.688,17.85,17.83,17.336,16.042,18.252,19.73 i,18.849 i
Annual,Raw material consumption,Total,Tonnes per capita,Germany,:,:,:,:,:,:,:,:,17.05 i,16.039 i,15.399,17.07,16.007,15.949,16.059,15.316,15.665,16.089,16.21,15.982,15.271,15.376 e,15.742 i,14.423 i
Annual,Raw material consumption,Total,Tonnes per capita,Denmark,:,:,:,:,:,:,:,:,28.89,24.873,18.151,21.297,22.581,21.365,21.128,23.102,23.335,22.867,23.184,24.237,22.505 i,22.6 i,23.114 i,21.292 i
