Time frequency,Month,Live animals,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,December,"Live swine, domestic species",Thousand heads (animals),Albania,:,:,172.4,177.44,183.62 p,180.09,184.13,183.85,158.4,159.24,137.3,114.83
Annual,December,"Live swine, domestic species",Thousand heads (animals),Austria,2983.16,2895.84,2868.19,2845.45,2792.8,2820.08,2776.57,2773.23,2806.46,2785.59,2650.15,2516.46
Annual,December,"Live swine, domestic species",Thousand heads (animals),Bosnia and Herzegovina,539.00 e,530.00 e,533.00 e,564.00 e,545.00 e,548.00 e,542.00 e,543.00 e,547.00 e,569.62,471.55,400.67
Annual,December,"Live swine, domestic species",Thousand heads (animals),Belgium,6447.75,6351.28,6350.29,6364.16,6176.58,6108.08,6209.13,6085.1,6218.27,6042.15,5751.18,5380.02
Annual,December,"Live swine, domestic species",Thousand heads (animals),Bulgaria,530.95,586.42,553.11,600.07,616.43,593.15,654.55,491.81,592.1,694.66,601.7,724.75
Annual,December,"Live swine, domestic species",Thousand heads (animals),Switzerland,1544.02,1484.73,1498.32,1494.13,1442.33,1419.2,1393.19,1354.03,1315.1,1371.44 p,1352.35,1315.5
Annual,December,"Live swine, domestic species",Thousand heads (animals),Cyprus,395.21,357.9,342.07,358.06,352.61,350.16,362.05,351.76,359.06,360.59,330.87,309.76
Annual,December,"Live swine, domestic species",Thousand heads (animals),Czechia,1533.81,1547.69,1606.86,1555.4,1479.28,1531.69,1507.58,1508.91,1546.02,1493.44,1328.82,1362.28
Annual,December,"Live swine, domestic species",Thousand heads (animals),Germany,28331.41,28133.26,28338.99,27652.42,27376.06,27577.57,26445.4,26053.4,26069.9,23762.3,21366.3,21223.7
Annual,December,"Live swine, domestic species",Thousand heads (animals),Denmark,12281.0,12402.0,12709.0,12702.0,12281.0,12832.0,12642.0,12728.0,13391.0,13152.0,11541.0,11368.0
Annual,December,"Live swine, domestic species",Thousand heads (animals),Estonia,375.1,358.7,357.9,304.5,265.9,289.1,290.4,301.6,316.6,308.0,269.38,274.96
Annual,December,"Live swine, domestic species",Thousand heads (animals),Greece,1044.0,1031.0,1046.0,877.0,743.0,744.0,721.0,733.0,743.0,758.9,741.6,787.60 p
Annual,December,"Live swine, domestic species",Thousand heads (animals),Spain,25250.38,25494.72,26567.58,28367.34,29231.6,29971.36,30804.10 p,31246.04,32796.07 p,34454.09 p,34073.38,33803.04
Annual,December,"Live swine, domestic species",Thousand heads (animals),European Union - 27 countries (from 2020),142739.66,141858.51,143820.8,144324.03 e,142649.62,145543.55,143518.56,143146.16,145918.6,141681.38 p,134410.04,132861.77
Annual,December,"Live swine, domestic species",Thousand heads (animals),Finland,1270.5,1258.3,1222.6,1239.0,1196.7,1108.4,1041.2,1062.2,1103.9,1093.7,997.67,984.34
Annual,December,"Live swine, domestic species",Thousand heads (animals),France,13778.0,13428.0,13300.0,13307.0,12791.00 p,13353.0,13713.0,13510.0,13393.0,12941.0,12182.59,11794.05
Annual,December,"Live swine, domestic species",Thousand heads (animals),Croatia,1182.0,1110.0,1156.0,1167.0,1163.0,1121.0,1049.0,1022.0,1033.0,972.0,945.00 b,853.0
Annual,December,"Live swine, domestic species",Thousand heads (animals),Hungary,2989.0,3004.0,3136.0,3124.0,2907.0,2870.0,2872.0,2634.0,2850.0,2725.9,2558.1,2607.7
